Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
Frame,3655,3655.000000,59.655888,0.003816,0.020391,0.016322,0.016540,0.516531,0.000001,0.003042,0.000141,0.000063
SceneRender,3655,3655.000000,58.010286,0.003772,0.020336,0.015871,0.016153,10.385185,0.000001,0.007399,0.002841,0.002317
RenderGraphExecute,7307,7307.000000,48.638845,0.000009,0.018298,0.006656,0.003704,2.038730,0.000001,0.003513,0.000279,0.000036
Scene,3654,3654.000000,45.246144,0.003770,0.017107,0.012383,0.012123,2.057255,0.000005,0.003986,0.000563,0.000327
DiffuseIndirectAndAO,3654,3654.000000,8.555191,0.000043,0.008061,0.002341,0.002513,0.068397,0.000001,0.002095,0.000019,0.000001
LumenScreenProbeGather,3654,3654.000000,7.648539,0.000041,0.006358,0.002093,0.002115,5.213803,0.000001,0.005984,0.001427,0.000575
PostProcessing,3654,3654.000000,7.257170,0.000260,0.004555,0.001986,0.002212,0.627242,0.000003,0.002744,0.000172,0.000141
TemporalSuperResolution(sg.AntiAliasingQuality=%d%s) %dx%d -> %dx%d,3654,3654.000000,5.318453,0.000256,0.003647,0.001456,0.001249,5.318453,0.000256,0.003647,0.001456,0.001249
PrepareImageBasedVRS,1826,1826.000000,4.987218,0.001112,0.004645,0.002731,0.002789,0.036122,0.000001,0.002089,0.000020,0.000001
ContrastAdaptiveShading,1826,1826.000000,4.951096,0.001092,0.004639,0.002711,0.002776,4.951096,0.001092,0.004639,0.002711,0.002776
ParallelDraw,7305,7305.000000,4.773653,0.000000,0.003431,0.000653,0.000139,4.773653,0.000000,0.003431,0.000653,0.000139
RenderDeferredLighting,1827,1827.000000,3.665225,0.000878,0.005493,0.002006,0.001996,0.022821,0.000001,0.001921,0.000012,0.000001
BasePass,1826,1826.000000,2.847583,0.000268,0.003609,0.001559,0.001382,0.172650,0.000023,0.002102,0.000095,0.000023
PrePass %s %s,1826,1826.000000,2.463447,0.000113,0.003455,0.001349,0.001160,0.124611,0.000020,0.002020,0.000068,0.000020
ShadowDepths,1827,1827.000000,2.417132,0.000725,0.003398,0.001323,0.001103,0.082784,0.000007,0.002031,0.000045,0.000007
Nanite::DrawGeometry,3653,3653.000000,2.120930,0.000173,0.002930,0.000581,0.000284,0.355088,0.000028,0.002249,0.000097,0.000051
DiffuseIndirectAndAO,3654,3654.000000,2.023590,0.000070,0.002655,0.000554,0.000331,0.425864,0.000000,0.002316,0.000117,0.000058
UpdateRadianceCaches,3654,3654.000000,1.690452,0.000039,0.002694,0.000463,0.000307,1.690452,0.000039,0.002694,0.000463,0.000307
LumenReflections,1827,1827.000000,1.597726,0.000201,0.002653,0.000875,0.000944,1.597726,0.000201,0.002653,0.000875,0.000944
RenderVirtualShadowMaps,1827,1827.000000,1.555000,0.000264,0.002678,0.000851,0.000922,0.138146,0.000021,0.002421,0.000076,0.000021
ComputeVolumetricFog,1827,1827.000000,1.522762,0.000231,0.003268,0.000833,0.000875,0.002350,0.000000,0.000003,0.000001,0.000001
VolumetricFog,1827,1827.000000,1.520412,0.000230,0.003266,0.000832,0.000874,0.047632,0.000002,0.001945,0.000026,0.000002
FXSystemPreRender,3652,3652.000000,1.346387,0.000000,0.002443,0.000369,0.000111,1.346249,0.000000,0.002443,0.000369,0.000111
CaptureConvolveSkyEnvMap,3652,3652.000000,1.344915,0.000008,0.002595,0.000368,0.000217,0.034308,0.000000,0.002105,0.000009,0.000000
Lights,1827,1827.000000,1.326767,0.000168,0.002477,0.000726,0.000844,0.000161,0.000000,0.000002,0.000000,0.000000
DirectLighting,1827,1827.000000,1.326606,0.000166,0.002477,0.000726,0.000843,0.103303,0.000022,0.002016,0.000057,0.000022
LumenSceneLighting%s,1826,1826.000000,1.304337,0.000168,0.002567,0.000714,0.000822,0.088306,0.000010,0.001980,0.000048,0.000010
UnbatchedLights,1827,1827.000000,1.223304,0.000139,0.002444,0.000670,0.000815,0.000296,0.000000,0.000003,0.000000,0.000000
%s,1827,1827.000000,1.223008,0.000138,0.002444,0.000669,0.000814,0.179859,0.000028,0.002121,0.000098,0.000028
MainPass,3653,3653.000000,1.087192,0.000063,0.002403,0.000298,0.000111,0.577991,0.000040,0.002247,0.000158,0.000062
ShadowProjectionOnOpaque,1827,1827.000000,1.043149,0.000107,0.002400,0.000571,0.000756,1.043149,0.000107,0.002400,0.000571,0.000756
VolumetricFog::LightScattering,1827,1827.000000,1.015094,0.000138,0.002462,0.000556,0.000701,1.015094,0.000138,0.002462,0.000556,0.000701
HZB,1826,1826.000000,0.902671,0.000128,0.002344,0.000494,0.000598,0.000207,0.000000,0.000003,0.000000,0.000000
BeginOcclusionTests,1826,1826.000000,0.902465,0.000128,0.002344,0.000494,0.000598,0.000222,0.000000,0.000003,0.000000,0.000000
BeginOcclusionTests,1826,1826.000000,0.902243,0.000128,0.002344,0.000494,0.000598,0.000797,0.000000,0.000564,0.000000,0.000000
ViewOcclusionTests,1826,1826.000000,0.901446,0.000128,0.002343,0.000494,0.000587,0.000222,0.000000,0.000003,0.000000,0.000000
BeginOcclusionTests,1826,1826.000000,0.901224,0.000128,0.002343,0.000494,0.000587,0.020115,0.000001,0.001904,0.000011,0.000001
IndividualQueries,1826,1826.000000,0.876629,0.000123,0.002339,0.000480,0.000425,0.876629,0.000123,0.002339,0.000480,0.000425
TranslucencyVolumeLighting,1827,1827.000000,0.838256,0.000128,0.004457,0.000459,0.000172,0.838256,0.000128,0.004457,0.000459,0.000172
Integrate,1827,1827.000000,0.744284,0.000082,0.002388,0.000407,0.000152,0.744284,0.000082,0.002388,0.000407,0.000152
Nanite::VisBuffer,1826,1826.000000,0.704513,0.000173,0.002930,0.000386,0.000173,0.000437,0.000000,0.000002,0.000000,0.000000
VirtualShadowMapMarkPages,1827,1827.000000,0.626247,0.000134,0.002359,0.000343,0.000134,0.003864,0.000001,0.000005,0.000002,0.000002
ShadowDepths,1827,1827.000000,0.622384,0.000133,0.002358,0.000341,0.000133,0.026885,0.000001,0.002150,0.000015,0.000001
DirectLighting,1826,1826.000000,0.620229,0.000060,0.002273,0.000340,0.000105,0.082896,0.000010,0.002198,0.000045,0.000010
FVirtualShadowMapArray::BeginMarkPages,1827,1827.000000,0.595498,0.000129,0.002355,0.000326,0.000151,0.595498,0.000129,0.002355,0.000326,0.000151
StochasticLighting,1826,1826.000000,0.590757,0.000066,0.002209,0.000324,0.000066,0.590757,0.000066,0.002209,0.000324,0.000066
SlateUI Title = %s,1826,1826.000000,0.544728,0.000077,0.002565,0.000298,0.000102,0.519068,0.000070,0.002556,0.000284,0.000095
PostPass,3653,3653.000000,0.516251,0.000055,0.002083,0.000141,0.000076,0.351383,0.000038,0.002064,0.000096,0.000038
Bloom,1827,1827.000000,0.457066,0.000061,0.002124,0.000250,0.000061,0.457066,0.000061,0.002124,0.000250,0.000061
Capture,2052,2052.000000,0.446318,0.000000,0.002521,0.000218,0.000025,0.224381,0.000000,0.002521,0.000109,0.000000
VirtualTextureUpdate,1827,1827.000000,0.438911,0.000078,0.002327,0.000240,0.000078,0.438911,0.000078,0.002327,0.000240,0.000078
InstanceCulling,7306,7306.000000,0.377666,0.000004,0.002111,0.000052,0.000004,0.377666,0.000004,0.002111,0.000052,0.000004
FVirtualShadowMapArray::BuildPageAllocation,1827,1827.000000,0.360787,0.000072,0.002200,0.000197,0.000093,0.336654,0.000068,0.002195,0.000184,0.000089
Nanite::Streaming,1826,1826.000000,0.349542,0.000095,0.002453,0.000191,0.000119,0.001775,0.000000,0.000004,0.000001,0.000001
Nanite::Readback,1826,1826.000000,0.347768,0.000094,0.002452,0.000190,0.000118,0.347768,0.000094,0.002452,0.000190,0.000118
Offscreen,1826,1826.000000,0.346153,0.000017,0.002058,0.000190,0.000038,0.346153,0.000017,0.002058,0.000190,0.000038
RenderVirtualShadowMaps,1827,1827.000000,0.314425,0.000049,0.002357,0.000172,0.000073,0.001902,0.000000,0.000624,0.000001,0.000000
Batched,1827,1827.000000,0.312523,0.000049,0.002356,0.000171,0.000073,0.033707,0.000006,0.002295,0.000018,0.000006
Radiosity,1826,1826.000000,0.306831,0.000054,0.002159,0.000168,0.000075,0.306831,0.000054,0.002159,0.000168,0.000075
RayTracingScene,1826,1826.000000,0.302939,0.000065,0.002149,0.000166,0.000086,0.302939,0.000065,0.002149,0.000166,0.000086
TranslucencyLightingVolume,1827,1827.000000,0.291865,0.000033,0.004250,0.000160,0.000075,0.025641,0.000001,0.001830,0.000014,0.000001
BuildCardUpdateContext,1826,1826.000000,0.288971,0.000026,0.002412,0.000158,0.000050,0.288971,0.000026,0.002412,0.000158,0.000050
MotionBlur,1827,1827.000000,0.287090,0.000049,0.002047,0.000157,0.000049,0.219161,0.000034,0.002029,0.000120,0.000034
SkyAtmosphereLUTs,1826,1826.000000,0.279019,0.000052,0.002194,0.000153,0.000074,0.020600,0.000002,0.002014,0.000011,0.000002
CullingPasses,1827,1827.000000,0.278815,0.000042,0.002129,0.000153,0.000063,0.278815,0.000042,0.002129,0.000153,0.000063
NodeAndClusterCull,7306,7306.000000,0.237853,0.000007,0.001875,0.000033,0.000007,0.237853,0.000007,0.001875,0.000033,0.000007
RenderSky,684,684.000000,0.225661,0.000015,0.002427,0.000330,0.000197,0.001149,0.000000,0.000005,0.000002,0.000002
RenderCloud,684,684.000000,0.225559,0.000008,0.002525,0.000330,0.000186,0.003754,0.000000,0.000634,0.000005,0.000000
VolumetricFog::FinalIntegration,1827,1827.000000,0.224907,0.000028,0.002003,0.000123,0.000048,0.224907,0.000028,0.002003,0.000123,0.000048
Capture,1026,1026.000000,0.221936,0.000000,0.002420,0.000216,0.000024,0.221936,0.000000,0.002420,0.000216,0.000024
FilterTranslucentVolume,1827,1827.000000,0.219519,0.000021,0.004233,0.000120,0.000021,0.219519,0.000021,0.004233,0.000120,0.000021
NaniteBasePass,1826,1826.000000,0.212748,0.000025,0.002077,0.000117,0.000046,0.006050,0.000001,0.000636,0.000003,0.000001
LumenSceneUpdate:,3652,3652.000000,0.212236,0.000011,0.002149,0.000058,0.000033,0.212236,0.000011,0.002149,0.000058,0.000033
DiffuseIrradiance,228,228.000000,0.209970,0.000064,0.002121,0.000921,0.000812,0.209970,0.000064,0.002121,0.000921,0.000812
Nanite::BasePass,1826,1826.000000,0.206698,0.000023,0.002074,0.000113,0.000044,0.046556,0.000007,0.001864,0.000025,0.000007
TextureDownsampleChain,3654,3654.000000,0.203936,0.000011,0.002084,0.000056,0.000032,0.203936,0.000011,0.002084,0.000056,0.000032
UpdateDistanceFieldAtlas,1826,1826.000000,0.198949,0.000036,0.002059,0.000109,0.000036,0.198949,0.000036,0.002059,0.000109,0.000036
NaniteBasePass,1826,1826.000000,0.194914,0.000048,0.001980,0.000107,0.000048,0.002523,0.000001,0.000003,0.000001,0.000001
BuildHZB,3652,3652.000000,0.194327,0.000019,0.002762,0.000053,0.000019,0.194327,0.000019,0.002762,0.000053,0.000019
Translucency,1827,1827.000000,0.193146,0.000036,0.002312,0.000106,0.000059,0.004530,0.000001,0.000804,0.000002,0.000001
Nanite::EmitDepthTargets,1826,1826.000000,0.192392,0.000046,0.001979,0.000105,0.000046,0.192392,0.000046,0.001979,0.000105,0.000046
RenderTranslucency,1827,1827.000000,0.188616,0.000034,0.002309,0.000103,0.000057,0.117371,0.000017,0.002061,0.000064,0.000017
PostProcessMaterial %dx%d Material=%s,1827,1827.000000,0.187518,0.000027,0.002134,0.000103,0.000027,0.187518,0.000027,0.002134,0.000103,0.000027
Submit,1826,1826.000000,0.183831,0.000035,0.002424,0.000101,0.000035,0.183831,0.000035,0.002424,0.000101,0.000035
CullTiles,1826,1826.000000,0.167627,0.000019,0.002228,0.000092,0.000019,0.167627,0.000019,0.002228,0.000092,0.000019
Nanite::ShadeBinning,1826,1826.000000,0.160142,0.000014,0.002064,0.000088,0.000035,0.160142,0.000014,0.002064,0.000088,0.000035
VolumetricFog::InitialiseVolume,1827,1827.000000,0.153499,0.000032,0.002143,0.000084,0.000032,0.153499,0.000032,0.002143,0.000084,0.000032
SkyAtmosphere::CameraVolumeLut,1826,1826.000000,0.145747,0.000022,0.002082,0.000080,0.000022,0.145747,0.000022,0.002082,0.000080,0.000022
RenderVelocities(%s),1826,1826.000000,0.142353,0.000024,0.002270,0.000078,0.000024,0.141132,0.000024,0.002269,0.000077,0.000024
Nanite::VisBuffer,1826,1826.000000,0.140658,0.000029,0.002134,0.000077,0.000029,0.001506,0.000000,0.000002,0.000001,0.000001
Nanite::InitContext,1826,1826.000000,0.139152,0.000028,0.002133,0.000076,0.000028,0.139152,0.000028,0.002133,0.000076,0.000028
HZB,1826,1826.000000,0.131852,0.000024,0.001957,0.000072,0.000024,0.002260,0.000000,0.000003,0.000001,0.000001
BuildHZB,1826,1826.000000,0.129592,0.000023,0.001956,0.000071,0.000023,0.010511,0.000001,0.001041,0.000006,0.000001
BuildRenderingCommandsDeferred(Culling=%s),3653,3653.000000,0.114607,0.000011,0.001953,0.000031,0.000011,0.114607,0.000011,0.001953,0.000031,0.000011
ExponentialHeightFog,1827,1827.000000,0.112971,0.000020,0.001958,0.000062,0.000020,0.112971,0.000020,0.001958,0.000062,0.000020
EditorPrimitives,1826,1826.000000,0.099834,0.000021,0.002014,0.000055,0.000021,0.099834,0.000021,0.002014,0.000055,0.000021
UpdateDistanceFieldObjectBuffers,1796,1796.000000,0.099616,0.000024,0.002024,0.000055,0.000024,0.099616,0.000024,0.002024,0.000055,0.000024
FRDGBuilder::SubmitBufferUploads,5479,5479.000000,0.098076,0.000000,0.002172,0.000018,0.000000,0.098076,0.000000,0.002172,0.000018,0.000000
GPUSkinCache_UpdateSkinningBatches,1826,1826.000000,0.095035,0.000020,0.001907,0.000052,0.000020,0.024367,0.000001,0.001026,0.000013,0.000001
BuildPreviousOccluderHZB,1826,1826.000000,0.090033,0.000021,0.002767,0.000049,0.000021,0.014787,0.000001,0.001031,0.000008,0.000001
SkyAtmosphere,1827,1827.000000,0.089822,0.000021,0.002041,0.000049,0.000021,0.089822,0.000021,0.002041,0.000049,0.000021
VolumetricFog::ConservativeDepth,1827,1827.000000,0.079280,0.000004,0.002078,0.000043,0.000004,0.079280,0.000004,0.002078,0.000043,0.000004
ConvolutionMip0Face23,230,230.000000,0.076372,0.000010,0.002257,0.000332,0.000214,0.076372,0.000010,0.002257,0.000332,0.000214
ConvolutionMip1,228,228.000000,0.075638,0.000011,0.002269,0.000332,0.000205,0.075638,0.000011,0.002269,0.000332,0.000205
ConvolutionMip0Face01,228,228.000000,0.073836,0.000010,0.002383,0.000324,0.000166,0.073836,0.000010,0.002383,0.000324,0.000166
TemporalSuperResolution,1827,1827.000000,0.073565,0.000013,0.001247,0.000040,0.000013,0.073565,0.000013,0.001247,0.000040,0.000013
ComputeLightGrid,1826,1826.000000,0.073351,0.000015,0.002090,0.000040,0.000015,0.015076,0.000001,0.002073,0.000008,0.000001
ConvolutionMip0Face45,230,230.000000,0.072900,0.000010,0.002299,0.000317,0.000160,0.072900,0.000010,0.002299,0.000317,0.000160
BuildPreviousOccluderHZB,1827,1827.000000,0.072367,0.000010,0.002020,0.000040,0.000010,0.072367,0.000010,0.002020,0.000040,0.000010
ConvolutionMip2,228,228.000000,0.072342,0.000016,0.002206,0.000317,0.000193,0.072342,0.000016,0.002206,0.000317,0.000193
GenCubeMips,228,228.000000,0.072303,0.000020,0.002228,0.000317,0.000199,0.072303,0.000020,0.002228,0.000317,0.000199
ConvolutionMip6Etc,228,228.000000,0.071754,0.000013,0.002357,0.000315,0.000191,0.071754,0.000013,0.002357,0.000315,0.000191
SkinCacheDispatch,21912,21912.000000,0.070667,0.000000,0.001881,0.000003,0.000000,0.070667,0.000000,0.001881,0.000003,0.000000
ConvolutionMip3,228,228.000000,0.069778,0.000015,0.002188,0.000306,0.000180,0.069778,0.000015,0.002188,0.000306,0.000180
MotionBlur FullResFilter(BlurDirections=%d MaxSamples=%d%s%s%s%s) %dx%d,1827,1827.000000,0.067929,0.000014,0.001925,0.000037,0.000014,0.067929,0.000014,0.001925,0.000037,0.000014
ConvolutionMip45,228,228.000000,0.064495,0.000014,0.002013,0.000283,0.000196,0.064495,0.000014,0.002013,0.000283,0.000196
LocalExposure,1827,1827.000000,0.063555,0.000014,0.002228,0.000035,0.000014,0.063555,0.000014,0.002228,0.000035,0.000014
UpdateAllPrimitiveSceneInfos,1826,1826.000000,0.063060,0.000015,0.001547,0.000035,0.000015,0.016423,0.000004,0.001081,0.000009,0.000004
PatchSplit,7306,7306.000000,0.058550,0.000003,0.001465,0.000008,0.000003,0.058550,0.000003,0.001465,0.000008,0.000003
CullLights,1826,1826.000000,0.058275,0.000014,0.001074,0.000032,0.000014,0.058275,0.000014,0.001074,0.000032,0.000014
Histogram,1827,1827.000000,0.057983,0.000013,0.001516,0.000032,0.000013,0.057983,0.000013,0.001516,0.000032,0.000013
LocalExposure,1827,1827.000000,0.054326,0.000010,0.001084,0.000030,0.000010,0.054326,0.000010,0.001084,0.000030,0.000010
InjectTranslucencyLightingVolume,1827,1827.000000,0.046705,0.000004,0.001016,0.000026,0.000014,0.046705,0.000004,0.001016,0.000026,0.000014
GPUSceneUpdate,1826,1826.000000,0.046637,0.000010,0.001541,0.000026,0.000010,0.002368,0.000001,0.000003,0.000001,0.000001
GPUScene.Update,1826,1826.000000,0.044268,0.000009,0.001540,0.000024,0.000009,0.026630,0.000004,0.000953,0.000015,0.000004
SkyAtmosphere::SkyViewLut,1826,1826.000000,0.043157,0.000009,0.001603,0.000024,0.000009,0.043157,0.000009,0.001603,0.000024,0.000009
SkyAtmosphere::RealTimeCaptureSkyViewLut,1826,1826.000000,0.037601,0.000008,0.001079,0.000021,0.000008,0.037601,0.000008,0.001079,0.000021,0.000008
SkyAtmosphere::DistantSkyLightLut,1826,1826.000000,0.031915,0.000008,0.001038,0.000017,0.000008,0.031915,0.000008,0.001038,0.000017,0.000008
DrawDebugCanvas,1826,1826.000000,0.025660,0.000006,0.001978,0.000014,0.000006,0.001465,0.000000,0.000017,0.000001,0.000001
CanvasFlush,1826,1826.000000,0.024195,0.000006,0.001977,0.000013,0.000006,0.024195,0.000006,0.001977,0.000013,0.000006
InitializePhysicalPages,1827,1827.000000,0.024132,0.000003,0.001143,0.000013,0.000003,0.024132,0.000003,0.001143,0.000013,0.000003
FVirtualShadowMapArray::MergeStaticPhysicalPages,1827,1827.000000,0.022470,0.000003,0.001845,0.000012,0.000003,0.022470,0.000003,0.001845,0.000012,0.000003
SceneCulling_ComputeExplicitChunkBounds,1826,1826.000000,0.021247,0.000006,0.001049,0.000012,0.000006,0.021247,0.000006,0.001049,0.000012,0.000006
UpdateGPUScene,1826,1826.000000,0.017639,0.000004,0.001531,0.000010,0.000004,0.017639,0.000004,0.001531,0.000010,0.000004
Lights,1826,1826.000000,0.016078,0.000001,0.002048,0.000009,0.000001,0.016078,0.000001,0.002048,0.000009,0.000001
UpdateLumenSceneBuffers,1826,1826.000000,0.016023,0.000003,0.000945,0.000009,0.000003,0.016023,0.000003,0.000945,0.000009,0.000003
GPUSceneUpdate,1826,1826.000000,0.013789,0.000004,0.000625,0.000008,0.000004,0.013789,0.000004,0.000625,0.000008,0.000004
PostRenderOpsFX,1827,1827.000000,0.008675,0.000002,0.000028,0.000005,0.000005,0.003713,0.000001,0.000004,0.000002,0.000002
Light,1826,1826.000000,0.007475,0.000000,0.001248,0.000004,0.000000,0.007475,0.000000,0.001248,0.000004,0.000000
Shadow.Virtual.ProcessInvalidationsGPU,1826,1826.000000,0.006026,0.000000,0.001059,0.000003,0.000000,0.006026,0.000000,0.001059,0.000003,0.000000
FXSystemPostRenderOpaque,1827,1827.000000,0.004962,0.000001,0.000024,0.000003,0.000003,0.003727,0.000001,0.000023,0.000002,0.000002
GroupedQueries,1826,1826.000000,0.004469,0.000001,0.000006,0.000002,0.000002,0.004469,0.000001,0.000006,0.000002,0.000002
TexturePoolCopyOps,3653,3653.000000,0.003686,0.000000,0.000645,0.000001,0.000000,0.003686,0.000000,0.000645,0.000001,0.000000
BufferPoolCopyOps,3653,3653.000000,0.002555,0.000000,0.000007,0.000001,0.000001,0.002555,0.000000,0.000007,0.000001,0.000001
ScaleVariableRateShadingTexture,1826,1826.000000,0.001376,0.000000,0.000003,0.000001,0.000001,0.001376,0.000000,0.000003,0.000001,0.000001
GPUParticles_PostRenderOpaque,1827,1827.000000,0.001235,0.000000,0.000002,0.000001,0.000001,0.001235,0.000000,0.000002,0.000001,0.000001
SendAllEndOfFrameUpdates,1826,1826.000000,0.001201,0.000000,0.000004,0.000001,0.000001,0.001201,0.000000,0.000004,0.000001,0.000001
WorldTick,1826,1826.000000,0.001189,0.000000,0.000001,0.000001,0.000001,0.001189,0.000000,0.000001,0.000001,0.000001
LightFunctionAtlasGeneration,1826,1826.000000,0.001087,0.000000,0.000002,0.000001,0.000001,0.001087,0.000000,0.000002,0.000001,0.000001
