monotonic_seconds,send_ms,receive_ms,ack_ms,capture_ms,wire_read_ms,send_calls,receive_calls,ack_calls,capture_calls,wire_read_calls,decoded_samples,decode_failures,absolute_samples,delta_samples,payload_bytes,cache_bytes,peak_cache_bytes,sample_gap_count,sample_gap_ticks,gap_1,gap_2,gap_3,gap_4,gap_5,gap_6,gap_7,gap_8,gap_9,gap_10,gap_11,gap_12,gap_13,gap_14,gap_15,gap_16,gap_17,gap_18,gap_19,gap_20,gap_21
16802883.343113799,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16802883.361840900,0.000000000,0.060398132,0.000000000,0.000000000,0.081505626,0,13,0,0,13,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16802883.378939301,0.000000000,0.060398132,0.000000000,0.000000000,0.081505626,0,13,0,0,13,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16802883.394460399,0.000000000,0.109001994,0.000000000,0.000000000,0.153407454,0,26,0,0,26,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16802883.412927099,0.000000000,0.109001994,0.000000000,0.000000000,0.153407454,0,26,0,0,26,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16802883.431322198,0.000000000,0.165209174,0.000000000,0.000000000,0.254902989,0,36,0,0,36,860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16802883.448388200,0.000000000,0.180210918,0.000000000,0.000000000,0.274103135,0,39,0,0,39,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16802883.464550499,0.000000000,0.212408602,0.000000000,0.000000000,0.336505473,0,49,0,0,49,1160,0,0,0,0,0,0,200,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16802883.481826100,0.000000000,0.212408602,0.000000000,0.000000000,0.336505473,0,49,0,0,49,1160,0,0,0,0,0,0,200,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16802883.500625201,0.000000000,0.263113528,0.000000000,0.000000000,0.427506864,0,59,0,0,59,1420,0,0,0,0,0,0,400,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16802883.515936501,0.000000000,0.314112753,0.000000000,0.000000000,0.525303185,0,75,0,0,75,1760,0,0,0,0,0,0,600,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16802883.533898801,0.000000000,0.314112753,0.000000000,0.000000000,0.525303185,0,75,0,0,75,1760,0,0,0,0,0,0,600,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16802883.551998898,0.000000000,0.314112753,0.000000000,0.000000000,0.525303185,0,75,0,0,75,1760,0,0,0,0,0,0,600,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16802883.568147201,0.000000000,0.367917120,0.000000000,0.000000000,0.637304038,0,88,0,0,88,2060,0,0,0,0,0,0,900,1000,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16802883.587126400,0.000000000,0.367917120,0.000000000,0.000000000,0.637304038,0,88,0,0,88,2060,0,0,0,0,0,0,900,1000,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16802883.603302501,0.000000000,0.406514853,0.000000000,0.000000000,0.720895827,0,101,0,0,101,2360,0,0,0,0,0,0,1200,1400,1000,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16802883.621802699,0.000000000,0.446218997,0.000000000,0.000000000,0.812094659,0,114,0,0,114,2660,0,0,0,0,0,0,1500,1800,1200,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16802883.637299702,0.000000000,0.446218997,0.000000000,0.000000000,0.812094659,0,114,0,0,114,2660,0,0,0,0,0,0,1500,1800,1200,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16802883.656454202,0.000000000,0.446218997,0.000000000,0.000000000,0.812094659,0,114,0,0,114,2660,0,0,0,0,0,0,1500,1800,1200,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16802883.673649501,0.000000000,0.482123345,0.000000000,0.000000000,0.885892659,0,127,0,0,127,2960,0,0,0,0,0,0,1760,2120,1400,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16802883.691650499,0.000000000,0.482123345,0.000000000,0.000000000,0.885892659,0,127,0,0,127,2960,0,0,0,0,0,0,1760,2120,1400,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16802883.708904099,0.000000000,0.518020242,0.000000000,0.000000000,0.965181738,0,140,0,0,140,3260,0,0,0,0,0,0,2060,2520,1600,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16802883.725269001,0.000000000,0.564731658,0.000000000,0.000000000,1.078777015,0,153,0,0,153,3560,0,0,0,0,0,0,2360,2920,1800,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16802883.744800702,0.000000000,0.564731658,0.000000000,0.000000000,1.078777015,0,153,0,0,153,3560,0,0,0,0,0,0,2360,2920,1800,560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16802883.761433199,0.000000000,0.613242388,0.000000000,0.000000000,1.149978489,0,165,0,0,165,3850,0,0,0,0,0,0,2650,3300,2000,650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16802883.778361700,0.000000000,0.620443374,0.000000000,0.000000000,1.159776002,0,166,0,0,166,3860,0,0,0,0,0,0,2660,3320,2000,660,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16802883.795899998,0.000000000,0.668343157,0.000000000,0.000000000,1.265872270,0,179,0,0,179,4160,0,0,0,0,0,0,2960,3720,2200,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16802883.813453700,0.000000000,0.668343157,0.000000000,0.000000000,1.265872270,0,179,0,0,179,4160,0,0,0,0,0,0,2960,3720,2200,760,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16802883.831296001,0.000000000,0.718034804,0.000000000,0.000000000,1.374367625,0,192,0,0,192,4460,0,0,0,0,0,0,3260,4120,2400,860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16802883.848221101,0.000000000,0.718034804,0.000000000,0.000000000,1.374367625,0,192,0,0,192,4460,0,0,0,0,0,0,3260,4120,2400,860,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16802883.865519401,0.000000000,0.749435276,0.000000000,0.000000000,1.444663852,0,202,0,0,202,4721,0,0,0,0,0,0,3521,4442,2600,921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16802883.882258501,0.000000000,0.749435276,0.000000000,0.000000000,1.444663852,0,202,0,0,202,4721,0,0,0,0,0,0,3521,4442,2600,921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16802883.899828199,0.000000000,0.788636506,0.000000000,0.000000000,1.528762281,0,212,0,0,212,4981,0,0,0,0,0,0,3781,4762,2800,981,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16802883.917715501,0.000000000,0.832635909,0.000000000,0.000000000,1.623265445,0,228,0,0,228,5321,0,0,0,0,0,0,4121,5242,3000,1121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16802883.935902499,0.000000000,0.832635909,0.000000000,0.000000000,1.623265445,0,228,0,0,228,5321,0,0,0,0,0,0,4121,5242,3000,1121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16802883.951669000,0.000000000,0.879231840,0.000000000,0.000000000,1.723866910,0,241,0,0,241,5621,0,0,0,0,0,0,4421,5642,3200,1221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
