"Seconds","QpcSeconds","Role","Pid","CpuCoreEquivalents","WorkingSetMiB","PrivateMiB"
"0.0012922","25625.4317561","server","34020","0","5474.66796875","6254.046875"
"0.0012922","25625.4317561","client1","32584","0","58.57421875","47.81640625"
"0.0012922","25625.4317561","client2","32348","0","58.79296875","49.00390625"
"1.0721484","25626.5007758","server","34020","0.17509353730220734","5474.73046875","6253.796875"
"1.0721484","25626.5007758","client1","32584","1.2986104016580378","572.37890625","526.39453125"
"1.0721484","25626.5007758","client2","32348","1.415339426526176","574.0234375","551"
"2.0965055","25627.5251372","server","34020","0.18304163655428365","5474.98828125","6253.796875"
"2.0965055","25627.5251372","client1","32584","0.5186179702371371","706.25390625","576.58203125"
"2.0965055","25627.5251372","client2","32348","0.5796318490885649","607.1328125","601.734375"
"3.1145827","25628.5432196","server","34020","0.19951826835921677","5475.37109375","6253.796875"
"3.1145827","25628.5432196","client1","32584","0.6445974823913156","642.359375","591.7109375"
"3.1145827","25628.5432196","client2","32348","0.9975913417960838","617.8984375","615.47265625"
"4.142746","25629.5713668","server","34020","0.21275803172511606","5475.62109375","6253.796875"
"4.142746","25629.5713668","client1","32584","1.0030021495612613","627.12890625","618.6328125"
"4.142746","25629.5713668","client2","32348","0.6686680997075076","683.34765625","695.5859375"
"5.1725326","25630.601151","server","34020","0.12138437225732011","5475.93359375","6253.796875"
"5.1725326","25630.601151","client1","32584","0.9255558384620658","839.4375","916.421875"
"5.1725326","25630.601151","client2","32348","0.6524410008830955","978.08984375","969.96875"
"6.2012102","25631.6298348","server","34020","0.16708344771967426","5476.24609375","6253.796875"
"6.2012102","25631.6298348","client1","32584","0.30378808676304414","960.859375","1067.28125"
"6.2012102","25631.6298348","client2","32348","0.34935629977750077","1079.921875","1097.34765625"
"7.2402508","25632.6688762","server","34020","0.285720307753133","5476.49609375","6253.796875"
"7.2402508","25632.6688762","client1","32584","0.030075821868750845","960.86328125","1067.28125"
"7.2402508","25632.6688762","client2","32348","0","1079.921875","1097.34765625"
"8.2600721","25633.6886996","server","34020","0.21449836358585567","5476.8203125","6253.796875"
"8.2600721","25633.6886996","client1","32584","0.15321311684703975","1006.84375","1109.40234375"
"8.2600721","25633.6886996","client2","32348","0.015321311684703976","1079.95703125","1097.36328125"
"9.2849373","25634.7135562","server","34020","0.2134427044649384","5477.0859375","6253.796875"
"9.2849373","25634.7135562","client1","32584","7.2418060443461245","1073.21484375","1179.875"
"9.2849373","25634.7135562","client2","32348","0.1981967970031571","1133.63671875","1147.5546875"
"10.3029688","25635.7315885","server","34020","0.13813423258514104","5477.3515625","6253.796875"
"10.3029688","25635.7315885","client1","32584","0.7367159071207522","1172.10546875","1293.7578125"
"10.3029688","25635.7315885","client2","32348","6.9527563734520985","1191.43359375","1210.75390625"
"11.3356244","25636.7642491","server","34020","0.19670159150834024","5477.6640625","6253.796875"
"11.3356244","25636.7642491","client1","32584","0.9078534992692626","1624.8203125","1882.18359375"
"11.3356244","25636.7642491","client2","32348","1.044031524159652","1675.41015625","1836.73828125"
"12.3637903","25637.7924185","server","34020","0.30393927672567234","5477.9765625","6253.796875"
"12.3637903","25637.7924185","client1","32584","0.8814239025044498","1716.4609375","2001.95703125"
"12.3637903","25637.7924185","client2","32348","1.0485905047035697","1792.109375","1976.796875"
"13.3916129","25638.8202429","server","34020","0.13681835756481714","5478.2578125","6253.796875"
"13.3916129","25638.8202429","client1","32584","1.4745978537541402","1814.9375","2053.26953125"
"13.3916129","25638.8202429","client2","32348","1.3833856153775954","1925.59765625","2054.98046875"
"14.4161628","25639.8447859","server","34020","0.0762529965597576","5478.54296875","6253.796875"
"14.4161628","25639.8447859","client1","32584","1.3725539380756369","2057.2265625","2292.0390625"
"14.4161628","25639.8447859","client2","32348","1.4793081332592974","2173.3828125","2298.7734375"
"15.4433569","25640.8719855","server","34020","0.15211341264518555","5478.86328125","6253.796875"
"15.4433569","25640.8719855","client1","32584","4.21354153027164","2408.86328125","2682.40234375"
"15.4433569","25640.8719855","client2","32348","4.228752871536159","2509.6640625","2678.82421875"
"16.4749435","25641.9035666","server","34020","0.16661228441703294","5479.17578125","6253.796875"
"16.4749435","25641.9035666","client1","32584","0.8482079933958041","2444.06640625","2716.97265625"
"16.4749435","25641.9035666","client2","32348","0.6967422802894105","2546.21484375","2717.65625"
"17.5053141","25642.9339648","server","34020","0.18197335987653376","5479.5234375","6253.796875"
"17.5053141","25642.9339648","client1","32584","2.653778164866117","2650.6953125","2959.5859375"
"17.5053141","25642.9339648","client2","32348","2.0168714052982493","2757.75390625","2958.76953125"
"18.5302133","25643.958838","server","34020","0.15245401694137337","5480.41015625","6253.796875"
"18.5302133","25643.958838","client1","32584","0.7927608880951416","2715.73828125","3018.4765625"
"18.5302133","25643.958838","client2","32348","0.7775154864010042","2826.88671875","3025.16796875"
"19.5595672","25644.9881825","server","34020","0.25805021965720437","5480.72265625","6253.796875"
"19.5595672","25644.9881825","client1","32584","0.10625597280002533","2727.83984375","3034.5078125"
"19.5595672","25644.9881825","client2","32348","0.13661482217146115","2839.2265625","3041.19921875"
"20.586647","25646.0152644","server","34020","0.2586215793553724","5481.03515625","6253.796875"
"20.586647","25646.0152644","client1","32584","0.212982477116189","2758.98828125","3075.4609375"
"20.586647","25646.0152644","client2","32348","0.2281955111959168","2870.296875","3073.76171875"
"21.6143139","25647.042943","server","34020","0.19765645852756375","5481.41015625","6253.796875"
"21.6143139","25647.042943","client1","32584","1.0490996644924537","2815.5390625","3135.42578125"
"21.6143139","25647.042943","client2","32348","1.033895321528795","2926.7734375","3132.75"
"22.6378458","25648.0664704","server","34020","0.16792344234703382","5481.72265625","6253.796875"
"22.6378458","25648.0664704","client1","32584","4.243883361134127","3415.1796875","3963.9296875"
"22.6378458","25648.0664704","client2","32348","4.839248293091793","3556.37890625","4060.734375"
"23.662045","25649.0906736","server","34020","0.2593489625846222","5482.03515625","6253.796875"
"23.662045","25649.0906736","client1","32584","8.222887696065374","2846.4921875","3183.5703125"
"23.662045","25649.0906736","client2","32348","8.146608589422838","2996.17578125","3245.2109375"
"24.6912516","25650.1198984","server","34020","0.13663437447836033","5482.34765625","6253.796875"
"24.6912516","25650.1198984","client1","32584","1.0778933986626202","2902.39453125","3230.375"
"24.6912516","25650.1198984","client2","32348","1.062711801498358","3031.3125","3273.9765625"
"25.7201139","25651.1487342","server","34020","0.22780016334547395","5482.66015625","6253.796875"
"25.7201139","25651.1487342","client1","32584","2.7639753152584174","3417.13671875","3812.78515625"
"25.7201139","25651.1487342","client2","32348","3.082895543942081","3526.19921875","3823.08203125"
