Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
Frame,3690,3690.000000,59.669978,0.002977,0.023944,0.016171,0.016320,0.561409,0.000003,0.002728,0.000152,0.000086
SceneRender,3690,3690.000000,58.251743,0.002923,0.023483,0.015786,0.016007,10.399279,0.000001,0.007114,0.002818,0.002911
RenderGraphExecute,7378,7378.000000,48.576621,0.000030,0.023337,0.006584,0.007210,1.801029,0.000002,0.003066,0.000244,0.000033
Scene,3690,3690.000000,45.667077,0.002920,0.021063,0.012376,0.012083,1.985232,0.000006,0.003995,0.000538,0.000329
FEngineLoop::Tick,1845,1845.000000,29.998487,0.001806,0.023053,0.016259,0.016400,0.017159,0.000001,0.000214,0.000009,0.000008
Frame,1845,1845.000000,29.955973,0.001805,0.023030,0.016236,0.016384,0.007683,0.000000,0.000044,0.000004,0.000004
FrameTime,3689,3689.000000,29.919004,0.000110,0.022730,0.008110,0.001710,0.098740,0.000001,0.000158,0.000027,0.000006
Frame Sync Time,1845,1845.000000,15.646963,0.001619,0.016280,0.008481,0.008579,0.019161,0.000003,0.000051,0.000010,0.000010
GameThreadWaitForTask,1845,1845.000000,15.612118,0.001606,0.016261,0.008462,0.008563,0.002369,0.000000,0.000003,0.000001,0.000001
Game thread idle time,1845,1845.000000,15.609749,0.001605,0.016260,0.008461,0.008562,15.609749,0.001605,0.016260,0.008461,0.008562
Tick_Engine,1844,1844.000000,10.272965,0.004207,0.008311,0.005571,0.005493,0.002220,0.000001,0.000013,0.000001,0.000001
GameEngine Tick,1844,1844.000000,10.270745,0.004206,0.008308,0.005570,0.005491,0.091556,0.000037,0.000208,0.000050,0.000048
DiffuseIndirectAndAO,3689,3689.000000,8.769199,0.000042,0.012476,0.002377,0.002429,0.048952,0.000001,0.001177,0.000013,0.000001
UWorld_Tick,1844,1844.000000,8.003632,0.003235,0.006705,0.004340,0.004287,0.039961,0.000016,0.000070,0.000022,0.000021
World Tick Time,1844,1844.000000,7.944327,0.003202,0.006648,0.004308,0.004246,0.047390,0.000020,0.000066,0.000026,0.000025
LumenScreenProbeGather,3689,3689.000000,7.789226,0.000040,0.006280,0.002111,0.002183,5.306883,0.000001,0.005875,0.001439,0.000891
PostProcessing,3688,3688.000000,7.211436,0.000293,0.004665,0.001955,0.002192,0.664115,0.000003,0.002776,0.000180,0.000115
Tick Time,7376,7376.000000,6.430835,0.000004,0.002997,0.000872,0.001289,0.017870,0.000000,0.000056,0.000002,0.000002
ReleaseTickGroup Block,11064,11064.000000,6.227812,0.000036,0.002572,0.000563,0.000292,0.001789,0.000000,0.000016,0.000000,0.000000
TickCompletionEvents,12908,12908.000000,6.226023,0.000011,0.002572,0.000482,0.000244,0.014059,0.000000,0.000046,0.000001,0.000001
ProcessUntilTasksComplete,12908,12908.000000,6.197113,0.000010,0.002565,0.000480,0.000242,0.125108,0.000002,0.000225,0.000010,0.000004
ExecuteTask,127380,127380.000000,5.653179,0.000000,0.002349,0.000044,0.000000,0.050059,0.000000,0.000096,0.000000,0.000000
TemporalSuperResolution(sg.AntiAliasingQuality=%d%s) %dx%d -> %dx%d,3688,3688.000000,5.268483,0.000288,0.003657,0.001429,0.001241,5.268483,0.000288,0.003657,0.001429,0.001241
FTickFunctionTask,112604,112604.000000,5.251319,0.000000,0.002348,0.000047,0.000000,0.070160,0.000000,0.000044,0.000001,0.000001
