seconds,frame_ms,sim_steps,sim_ms,combat_ms,alive,ordered_moving,observed_moving,blocked,arrived,in_bytes_s,out_bytes_s,pose_age_ms
0.020744,20.74360,0,0.00000,0.00000,1200,1200,0,0,0,4215,364763,0.000
0.037028,16.28460,0,0.00000,0.00000,1200,1200,0,0,0,4215,364763,0.000
0.050573,13.54440,0,0.00000,0.00000,1200,1200,0,0,0,4215,364763,0.000
0.071919,21.34660,0,0.00000,0.00000,1200,1200,0,0,0,4215,364763,0.000
0.090449,18.52970,1,7.55840,1.47380,1200,1200,0,0,0,4215,364763,0.000
0.104971,14.52230,0,0.00000,0.00000,1200,1200,0,0,0,4215,364763,0.000
0.117597,12.62630,0,0.00000,0.00000,1200,1200,0,0,0,4215,364763,0.000
0.137054,19.45670,0,0.00000,0.00000,1200,1200,0,0,0,4215,364763,0.000
0.151771,14.71710,0,0.00000,0.00000,1200,1200,0,0,0,4215,364763,0.000
0.168635,16.86340,0,0.00000,0.00000,1200,1200,0,0,0,4215,364763,0.000
0.191010,22.37570,1,7.67600,1.29540,1200,1200,0,0,0,4215,364763,0.000
0.205577,14.56690,0,0.00000,0.00000,1200,1200,0,0,0,4215,364763,0.000
0.219220,13.64320,0,0.00000,0.00000,1200,1200,0,0,0,4215,364763,0.000
0.236752,17.53150,0,0.00000,0.00000,1200,1200,0,0,0,4215,364763,0.000
0.250285,13.53330,0,0.00000,0.00000,1200,1200,0,0,0,4215,364763,0.000
0.271703,21.41750,0,0.00000,0.00000,1200,1200,0,0,0,4215,364763,0.000
0.292683,20.98020,1,7.81860,1.31780,1200,1200,0,0,0,4215,364763,0.000
0.307039,14.35610,0,0.00000,0.00000,1200,1200,0,0,0,4215,364763,0.000
0.321422,14.38300,0,0.00000,0.00000,1200,1200,0,0,0,4215,364763,0.000
0.340704,19.28190,0,0.00000,0.00000,1200,1200,0,0,0,4215,364763,0.000
0.353822,13.11810,0,0.00000,0.00000,1200,1200,0,0,0,4215,364763,0.000
0.374576,20.75430,0,0.00000,0.00000,1200,1200,0,0,0,4215,364763,0.000
0.394344,19.76810,1,7.47880,1.43690,1200,1200,0,0,0,4215,364763,0.000
0.407810,13.46600,0,0.00000,0.00000,1200,1200,0,0,0,4215,364763,0.000
0.421210,13.39980,0,0.00000,0.00000,1200,1200,0,0,0,4215,364763,0.000
0.442730,21.51930,0,0.00000,0.00000,1200,1200,0,0,0,4215,364763,0.000
0.456689,13.95970,0,0.00000,0.00000,1200,1200,0,0,0,4176,370801,0.000
0.473096,16.40660,0,0.00000,0.00000,1200,1200,0,0,0,4176,370801,0.000
0.495026,21.92970,1,7.82180,1.82040,1200,1200,0,0,0,4176,370801,0.000
0.508843,13.81740,0,0.00000,0.00000,1200,1200,0,0,0,4176,370801,0.000
0.521433,12.59010,0,0.00000,0.00000,1200,1200,1200,0,0,4176,370801,0.000
0.540435,19.00150,0,0.00000,0.00000,1200,1200,1200,0,0,4176,370801,0.000
0.555360,14.92510,0,0.00000,0.00000,1200,1200,1200,0,0,4176,370801,0.000
0.574501,19.14180,0,0.00000,0.00000,1200,1200,1200,0,0,4176,370801,0.000
0.596556,22.05500,1,7.80120,1.71030,1200,1200,1200,0,0,4134,398974,0.000
0.607497,10.94080,0,0.00000,0.00000,1200,1200,1200,0,0,4134,398974,0.000
0.620569,13.07130,0,0.00000,0.00000,1200,1200,1200,0,0,4134,398974,0.000
0.641003,20.43430,0,0.00000,0.00000,1200,1200,1200,0,0,4134,398974,0.000
0.654456,13.45310,0,0.00000,0.00000,1200,1200,1200,0,0,4134,398974,0.000
0.674361,19.90530,0,0.00000,0.00000,1200,1200,1200,0,0,4134,398974,0.000
0.692878,18.51710,1,5.70940,1.33220,1200,1200,1200,0,0,4134,398974,0.000
0.707183,14.30430,0,0.00000,0.00000,1200,1200,1200,0,0,4134,398974,0.000
0.721189,14.00660,0,0.00000,0.00000,1200,1200,1200,0,0,4134,398974,0.000
0.741260,20.07040,0,0.00000,0.00000,1200,1200,1200,0,0,4134,398974,0.000
0.754526,13.26670,0,0.00000,0.00000,1200,1200,1200,0,0,4134,398974,0.000
0.775369,20.84300,0,0.00000,0.00000,1200,1200,1200,0,0,4134,398974,0.000
0.795974,20.60470,1,7.55860,1.55390,1200,1200,1200,0,0,4134,398974,0.000
0.810275,14.30070,0,0.00000,0.00000,1200,1200,1200,0,0,4134,398974,0.000
0.824828,14.55330,0,0.00000,0.00000,1200,1200,1200,0,0,4134,398974,0.000
0.840589,15.76110,0,0.00000,0.00000,1200,1200,1200,0,0,4134,398974,0.000
0.856274,15.68510,0,0.00000,0.00000,1200,1200,1200,0,0,4134,398974,0.000
0.875343,19.06860,0,0.00000,0.00000,1200,1200,1200,0,0,4134,398974,0.000
0.898167,22.82460,1,8.19490,1.76350,1200,1200,1200,0,0,4134,398974,0.000
0.911555,13.38740,0,0.00000,0.00000,1200,1200,1200,0,0,4134,398974,0.000
0.924615,13.06030,0,0.00000,0.00000,1200,1200,1200,0,0,4134,398974,0.000
0.942675,18.05970,0,0.00000,0.00000,1200,1200,1200,0,0,4134,398974,0.000
0.959177,16.50170,0,0.00000,0.00000,1200,1200,1200,0,0,4134,398974,0.000
0.977379,18.20230,0,0.00000,0.00000,1200,1200,1200,0,0,4134,398974,0.000
0.998933,21.55380,1,8.30350,1.43800,1200,1200,1200,0,0,4134,398974,0.000
1.011242,12.30980,0,0.00000,0.00000,1200,1200,1200,0,0,4134,398974,0.000
1.023114,11.87130,0,0.00000,0.00000,1200,1200,1200,0,0,4134,398974,0.000
1.040167,17.05330,0,0.00000,0.00000,1200,1200,1200,0,0,4134,398974,0.000
1.055912,15.74490,0,0.00000,0.00000,1200,1200,1200,0,0,4134,398974,0.000
1.073803,17.89110,0,0.00000,0.00000,1200,1200,1200,0,0,4134,398974,0.000
1.098547,24.74430,1,7.59750,1.38190,1200,1200,1200,0,0,4134,398974,0.000
1.109465,10.91720,0,0.00000,0.00000,1200,1200,1200,0,0,4134,398974,0.000
1.121430,11.96530,0,0.00000,0.00000,1200,1200,1200,0,0,4134,398974,0.000
1.140979,19.54890,0,0.00000,0.00000,1200,1200,1200,0,0,4134,398974,0.000
1.155672,14.69360,0,0.00000,0.00000,1200,1200,1200,0,0,4134,398974,0.000
1.172503,16.83080,0,0.00000,0.00000,1200,1200,1200,0,0,4134,398974,0.000
1.196791,24.28760,1,6.22050,1.35020,1200,1200,1200,0,0,4134,398974,0.000
1.207925,11.13370,0,0.00000,0.00000,1200,1200,1200,0,0,4134,398974,0.000
1.222416,14.49110,0,0.00000,0.00000,1200,1200,1200,0,0,4134,398974,0.000
1.242888,20.47210,0,0.00000,0.00000,1200,1200,1200,0,0,4134,398974,0.000
1.256209,13.32130,0,0.00000,0.00000,1200,1200,1200,0,0,4134,398974,0.000
1.276145,19.93630,0,0.00000,0.00000,1200,1200,1200,0,0,4134,398974,0.000
1.296649,20.50380,1,7.74170,1.48770,1200,1200,1200,0,0,4134,398974,0.000
1.309809,13.15970,0,0.00000,0.00000,1200,1200,1200,0,0,4134,398974,0.000
1.322056,12.24690,0,0.00000,0.00000,1200,1200,1200,0,0,4134,398974,0.000
1.341536,19.48040,0,0.00000,0.00000,1200,1200,1200,0,0,4134,398974,0.000
1.355706,14.17040,0,0.00000,0.00000,1200,1200,1200,0,0,4134,398974,0.000
1.373242,17.53550,0,0.00000,0.00000,1200,1200,1200,0,0,4134,398974,0.000
