monotonic_seconds,engine_seconds,connection,in_total_bytes,out_total_bytes,packet_overhead
16803024.726217601,84.379973903,127.0.0.1:54545,34638,2510258,28
16803024.726217601,84.379973903,127.0.0.1:61980,29216,2386188,28
16803024.746961199,84.400717501,127.0.0.1:54545,34676,2510564,28
16803024.746961199,84.400717501,127.0.0.1:61980,29292,2386494,28
16803024.763245799,84.417002100,127.0.0.1:54545,34714,2516588,28
16803024.763245799,84.417002100,127.0.0.1:61980,29330,2392529,28
16803024.776790202,84.430546504,127.0.0.1:54545,34714,2516635,28
16803024.776790202,84.430546504,127.0.0.1:61980,29330,2392574,28
16803024.798136801,84.451893102,127.0.0.1:54545,34752,2522665,28
16803024.798136801,84.451893102,127.0.0.1:61980,29406,2398605,28
16803024.816666499,84.470422801,127.0.0.1:54545,34752,2522727,28
16803024.816666499,84.470422801,127.0.0.1:61980,29406,2398667,28
16803024.831188802,84.484945104,127.0.0.1:54545,34790,2530903,28
16803024.831188802,84.484945104,127.0.0.1:61980,29444,2406856,28
16803024.843815099,84.497571401,127.0.0.1:54545,34828,2534402,28
16803024.843815099,84.497571401,127.0.0.1:61980,29482,2406894,28
16803024.863271799,84.517028101,127.0.0.1:54545,34866,2539214,28
16803024.863271799,84.517028101,127.0.0.1:61980,29520,2412899,28
16803024.877988901,84.531745203,127.0.0.1:54545,34904,2539276,28
16803024.877988901,84.531745203,127.0.0.1:61980,29558,2412961,28
16803024.894852299,84.548608601,127.0.0.1:54545,34942,2545339,28
16803024.894852299,84.548608601,127.0.0.1:61980,29596,2419038,28
16803024.917227998,84.570984300,127.0.0.1:54545,34980,2545377,28
16803024.917227998,84.570984300,127.0.0.1:61980,29634,2419076,28
16803024.931794900,84.585551202,127.0.0.1:54545,35018,2553544,28
16803024.931794900,84.585551202,127.0.0.1:61980,29672,2428594,28
16803024.945438098,84.599194400,127.0.0.1:54545,35056,2553649,28
16803024.945438098,84.599194400,127.0.0.1:61980,29710,2430823,28
16803024.962969601,84.616725903,127.0.0.1:54545,35094,2559666,28
16803024.962969601,84.616725903,127.0.0.1:61980,29748,2435644,28
16803024.976502899,84.630259201,127.0.0.1:54545,35132,2559728,28
16803024.976502899,84.630259201,127.0.0.1:61980,29786,2435706,28
16803024.997920401,84.651676703,127.0.0.1:54545,35170,2566011,28
16803024.997920401,84.651676703,127.0.0.1:61980,29824,2442003,28
16803025.018900599,84.672656901,127.0.0.1:54545,35208,2566090,28
16803025.018900599,84.672656901,127.0.0.1:61980,29862,2442065,28
16803025.033256698,84.687013000,127.0.0.1:54545,35246,2575579,28
16803025.033256698,84.687013000,127.0.0.1:61980,29900,2450260,28
16803025.047639702,84.701396003,127.0.0.1:54545,35284,2577796,28
16803025.047639702,84.701396003,127.0.0.1:61980,29938,2450343,28
16803025.066921599,84.720677901,127.0.0.1:54545,35322,2582958,28
16803025.066921599,84.720677901,127.0.0.1:61980,29976,2456409,28
16803025.080039699,84.733796000,127.0.0.1:54545,35360,2583033,28
16803025.080039699,84.733796000,127.0.0.1:61980,30014,2456471,28
16803025.100793999,84.754550301,127.0.0.1:54545,35398,2589059,28
16803025.100793999,84.754550301,127.0.0.1:61980,30052,2462511,28
16803025.120562099,84.774318401,127.0.0.1:54545,35436,2589097,28
16803025.120562099,84.774318401,127.0.0.1:61980,30090,2462549,28
16803025.134028099,84.787784401,127.0.0.1:54545,35436,2597273,28
16803025.134028099,84.787784401,127.0.0.1:61980,30128,2470738,28
16803025.147427902,84.801184203,127.0.0.1:54545,35474,2597311,28
16803025.147427902,84.801184203,127.0.0.1:61980,30166,2474238,28
16803025.168947201,84.822703503,127.0.0.1:54545,35512,2603342,28
16803025.168947201,84.822703503,127.0.0.1:61980,30204,2479041,28
16803025.182906900,84.836663201,127.0.0.1:54545,35550,2603430,28
16803025.182906900,84.836663201,127.0.0.1:61980,30242,2479143,28
16803025.199313499,84.853069801,127.0.0.1:54545,35588,2609455,28
16803025.199313499,84.853069801,127.0.0.1:61980,30280,2485182,28
16803025.221243199,84.874999501,127.0.0.1:54545,35588,2609455,28
16803025.221243199,84.874999501,127.0.0.1:61980,30318,2485220,28
16803025.235060599,84.888816901,127.0.0.1:54545,35626,2618944,28
16803025.235060599,84.888816901,127.0.0.1:61980,30318,2493409,28
16803025.247650702,84.901407003,127.0.0.1:54545,35626,2621410,28
16803025.247650702,84.901407003,127.0.0.1:61980,30356,2493715,28
16803025.266652200,84.920408502,127.0.0.1:54545,35664,2621480,28
16803025.266652200,84.920408502,127.0.0.1:61980,30394,2493783,28
16803025.281577300,84.935333602,127.0.0.1:54545,35702,2627533,28
16803025.281577300,84.935333602,127.0.0.1:61980,30432,2499847,28
16803025.300719101,84.954475403,127.0.0.1:54545,35740,2633605,28
16803025.300719101,84.954475403,127.0.0.1:61980,30470,2505924,28
16803025.322774101,84.976530403,127.0.0.1:54545,35778,2633650,28
16803025.322774101,84.976530403,127.0.0.1:61980,30508,2505962,28
16803025.333714899,84.987471201,127.0.0.1:54545,35816,2641832,28
16803025.333714899,84.987471201,127.0.0.1:61980,30508,2514151,28
16803025.346786201,85.000542503,127.0.0.1:54545,35854,2641870,28
16803025.346786201,85.000542503,127.0.0.1:61980,30508,2514151,28
16803025.367220499,85.020976800,127.0.0.1:54545,35892,2641932,28
16803025.367220499,85.020976800,127.0.0.1:61980,30546,2517674,28
16803025.380673598,85.034429900,127.0.0.1:54545,35892,2647925,28
16803025.380673598,85.034429900,127.0.0.1:61980,30546,2523680,28
16803025.400578901,85.054335203,127.0.0.1:54545,35930,2648011,28
16803025.400578901,85.054335203,127.0.0.1:61980,30584,2523767,28
16803025.419096000,85.072852302,127.0.0.1:54545,35930,2654003,28
16803025.419096000,85.072852302,127.0.0.1:61980,30622,2529772,28
16803025.433400299,85.087156601,127.0.0.1:54545,35968,2660056,28
16803025.433400299,85.087156601,127.0.0.1:61980,30660,2535838,28
16803025.447406899,85.101163201,127.0.0.1:54545,36006,2660120,28
16803025.447406899,85.101163201,127.0.0.1:61980,30698,2535902,28
16803025.467477299,85.121233601,127.0.0.1:54545,36044,2666136,28
16803025.467477299,85.121233601,127.0.0.1:61980,30736,2541931,28
16803025.480744001,85.134500302,127.0.0.1:54545,36082,2666174,28
16803025.480744001,85.134500302,127.0.0.1:61980,30774,2541969,28
16803025.501587000,85.155343302,127.0.0.1:54545,36120,2672480,28
16803025.501587000,85.155343302,127.0.0.1:61980,30812,2548297,28
16803025.522191700,85.175948001,127.0.0.1:54545,36158,2672541,28
16803025.522191700,85.175948001,127.0.0.1:61980,30850,2548350,28
16803025.536492400,85.190248702,127.0.0.1:54545,36158,2680725,28
16803025.536492400,85.190248702,127.0.0.1:61980,30888,2556545,28
16803025.551045701,85.204802003,127.0.0.1:54545,36196,2684237,28
16803025.551045701,85.204802003,127.0.0.1:61980,30926,2556590,28
16803025.566806801,85.220563103,127.0.0.1:54545,36234,2684299,28
16803025.566806801,85.220563103,127.0.0.1:61980,30964,2556652,28
16803025.582491901,85.236248203,127.0.0.1:54545,36272,2690328,28
16803025.582491901,85.236248203,127.0.0.1:61980,31002,2562694,28
16803025.601560500,85.255316801,127.0.0.1:54545,36310,2696390,28
16803025.601560500,85.255316801,127.0.0.1:61980,31040,2568770,28
16803025.624385100,85.278141402,127.0.0.1:54545,36348,2696428,28
16803025.624385100,85.278141402,127.0.0.1:61980,31078,2568808,28
16803025.637772501,85.291528802,127.0.0.1:54545,36386,2704654,28
16803025.637772501,85.291528802,127.0.0.1:61980,31116,2578362,28
16803025.650832798,85.304589100,127.0.0.1:54545,36386,2704739,28
16803025.650832798,85.304589100,127.0.0.1:61980,31154,2580571,28
16803025.668892499,85.322648801,127.0.0.1:54545,36424,2704777,28
16803025.668892499,85.322648801,127.0.0.1:61980,31192,2580609,28
16803025.685394201,85.339150503,127.0.0.1:54545,36462,2710769,28
16803025.685394201,85.339150503,127.0.0.1:61980,31230,2586614,28
16803025.703596499,85.357352801,127.0.0.1:54545,36500,2710866,28
16803025.703596499,85.357352801,127.0.0.1:61980,31268,2586712,28
16803025.725150298,85.378906600,127.0.0.1:54545,36538,2716882,28
16803025.725150298,85.378906600,127.0.0.1:61980,31306,2592741,28
16803025.737460099,85.391216401,127.0.0.1:54545,36576,2726371,28
16803025.737460099,85.391216401,127.0.0.1:61980,31344,2600906,28
16803025.749331400,85.403087702,127.0.0.1:54545,36614,2728813,28
16803025.749331400,85.403087702,127.0.0.1:61980,31344,2601188,28
16803025.766384698,85.420141000,127.0.0.1:54545,36652,2728889,28
16803025.766384698,85.420141000,127.0.0.1:61980,31382,2601264,28
16803025.782129601,85.435885902,127.0.0.1:54545,36690,2734935,28
16803025.782129601,85.435885902,127.0.0.1:61980,31420,2607319,28
16803025.800020698,85.453777000,127.0.0.1:54545,36690,2735006,28
