seconds,frame_ms,sim_steps,sim_ms,combat_ms,alive,ordered_moving,observed_moving,blocked,arrived,in_bytes_s,out_bytes_s,pose_age_ms
0.017283,17.28290,0,0.00000,0.00000,1200,1200,1200,0,0,181834,1952,6.908
0.035167,17.88450,0,0.00000,0.00000,1200,1200,1200,0,0,181834,1952,24.792
0.051830,16.66250,0,0.00000,0.00000,1200,1200,1200,0,0,181834,1952,14.944
0.070791,18.96150,0,0.00000,0.00000,1200,1200,1200,0,0,181834,1952,18.185
0.088744,17.95310,0,0.00000,0.00000,1200,1200,1200,0,0,181834,1952,16.983
0.106061,17.31600,0,0.00000,0.00000,1200,1200,1200,0,0,181834,1952,16.637
0.123518,17.45730,0,0.00000,0.00000,1200,1200,1200,0,0,181834,1952,16.567
0.140751,17.23370,0,0.00000,0.00000,1200,1200,1200,0,0,181834,1952,16.432
0.158494,17.74300,0,0.00000,0.00000,1200,1200,1200,0,0,181834,1952,16.469
0.176402,17.90730,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,17.222
0.194199,17.79730,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,16.802
0.210952,16.75340,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,33.555
0.228321,17.36850,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,16.311
0.245902,17.58090,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,33.892
0.263632,17.72960,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,16.585
0.281256,17.62490,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,34.210
0.298366,17.10970,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,16.219
0.318080,19.71430,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,35.933
0.334104,16.02380,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,15.058
0.353321,19.21680,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,34.275
0.368980,15.65860,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,14.554
0.389304,20.32400,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,18.811
0.406279,16.97560,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,16.191
0.423671,17.39130,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,33.582
0.440752,17.08160,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,16.120
0.458462,17.71010,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,16.410
0.475656,17.19410,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,33.604
0.493712,18.05540,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,51.659
0.510445,16.73310,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,15.773
0.528422,17.97740,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,16.972
0.544952,16.52940,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,33.501
0.563389,18.43780,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,17.470
0.581756,18.36610,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,35.836
0.598848,17.09240,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,52.928
0.618037,19.18860,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,18.262
0.633894,15.85750,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,14.830
0.652548,18.65450,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,33.484
0.668672,16.12310,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,15.218
0.687965,19.29350,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,18.417
0.704800,16.83530,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,16.138
0.721920,17.11920,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,16.250
0.739555,17.63510,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,16.916
0.757263,17.70870,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,16.825
0.774309,17.04560,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,16.364
0.797772,23.46290,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,39.827
0.815420,17.64780,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,16.502
0.833152,17.73220,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,34.235
0.850256,17.10440,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,16.155
0.867062,16.80550,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,15.873
0.885046,17.98390,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,33.857
0.903795,18.74970,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,17.824
0.922233,18.43810,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,17.756
0.939942,17.70860,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,16.721
0.957839,17.89680,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,16.696
0.975762,17.92320,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,34.619
0.992456,16.69430,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,51.313
1.009884,17.42800,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,16.527
1.028414,18.52960,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,35.057
1.046101,17.68730,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,16.715
1.063965,17.86390,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,16.616
1.080101,16.13570,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,32.752
1.098689,18.58830,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,51.340
1.115831,17.14190,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,16.045
1.132478,16.64670,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,15.728
1.151928,19.44970,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,35.178
1.167813,15.88540,0,0.00000,0.00000,1200,1200,1200,0,0,191567,2012,14.979
1.186988,19.17530,0,0.00000,0.00000,1200,1200,1200,0,0,209994,2071,34.155
1.202732,15.74410,0,0.00000,0.00000,1200,1200,1200,0,0,209994,2071,14.595
1.221996,19.26380,0,0.00000,0.00000,1200,1200,1200,0,0,209994,2071,33.859
1.238908,16.91210,0,0.00000,0.00000,1200,1200,1200,0,0,209994,2071,15.758
1.256501,17.59270,0,0.00000,0.00000,1200,1200,1200,0,0,209994,2071,16.279
1.274194,17.69310,0,0.00000,0.00000,1200,1200,1200,0,0,209994,2071,16.880
1.291219,17.02510,0,0.00000,0.00000,1200,1200,1200,0,0,209994,2071,33.905
1.308809,17.59030,0,0.00000,0.00000,1200,1200,1200,0,0,209994,2071,16.441
1.327793,18.98380,0,0.00000,0.00000,1200,1200,1200,0,0,209994,2071,17.965
1.343830,16.03650,0,0.00000,0.00000,1200,1200,1200,0,0,209994,2071,34.001
1.361785,17.95490,0,0.00000,0.00000,1200,1200,1200,0,0,209994,2071,17.006
1.379230,17.44570,0,0.00000,0.00000,1200,1200,1200,0,0,209994,2071,34.452
1.396985,17.75430,0,0.00000,0.00000,1200,1200,1200,0,0,209994,2071,52.206
1.413906,16.92190,0,0.00000,0.00000,1200,1200,1200,0,0,209994,2071,15.815
1.430912,17.00590,0,0.00000,0.00000,1200,1200,1200,0,0,209994,2071,32.820
1.449561,18.64890,0,0.00000,0.00000,1200,1200,1200,0,0,209994,2071,17.726
1.465964,16.40310,0,0.00000,0.00000,1200,1200,1200,0,0,209994,2071,15.543
1.485586,19.62200,0,0.00000,0.00000,1200,1200,1200,0,0,209994,2071,35.165
1.500313,14.72630,0,0.00000,0.00000,1200,1200,1200,0,0,209994,2071,13.973
1.519727,19.41460,0,0.00000,0.00000,1200,1200,1200,0,0,209994,2071,33.387
1.537014,17.28660,0,0.00000,0.00000,1200,1200,1200,0,0,209994,2071,15.969
1.555786,18.77200,0,0.00000,0.00000,1200,1200,1200,0,0,209994,2071,17.671
1.573240,17.45370,0,0.00000,0.00000,1200,1200,1200,0,0,209994,2071,16.651
1.589761,16.52170,0,0.00000,0.00000,1200,1200,1200,0,0,209994,2071,15.686
1.607091,17.32950,0,0.00000,0.00000,1200,1200,1200,0,0,209994,2071,33.015
1.625097,18.00640,0,0.00000,0.00000,1200,1200,1200,0,0,209994,2071,16.693
1.642577,17.47940,0,0.00000,0.00000,1200,1200,1200,0,0,209994,2071,34.172
1.660389,17.81230,0,0.00000,0.00000,1200,1200,1200,0,0,209994,2071,16.728
1.677746,17.35680,0,0.00000,0.00000,1200,1200,1200,0,0,209994,2071,34.085
1.694791,17.04540,0,0.00000,0.00000,1200,1200,1200,0,0,209994,2071,51.131
1.712279,17.48740,0,0.00000,0.00000,1200,1200,1200,0,0,209994,2071,16.543
1.729378,17.09930,0,0.00000,0.00000,1200,1200,1200,0,0,209994,2071,33.643
1.746661,17.28320,0,0.00000,0.00000,1200,1200,1200,0,0,209994,2071,16.334
1.763530,16.86940,0,0.00000,0.00000,1200,1200,1200,0,0,209994,2071,15.998
