seconds,frame_ms,sim_steps,sim_ms,combat_ms,alive,ordered_moving,observed_moving,blocked,arrived,in_bytes_s,out_bytes_s,pose_age_ms
0.017613,17.61310,0,0.00000,0.00000,1200,1200,1200,0,0,182693,2155,35.512
0.034649,17.03620,0,0.00000,0.00000,1200,1200,1200,0,0,182693,2155,52.549
0.052209,17.56010,0,0.00000,0.00000,1200,1200,1200,0,0,182693,2155,16.679
0.069671,17.46120,0,0.00000,0.00000,1200,1200,1200,0,0,182693,2155,34.140
0.086678,17.00710,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,15.993
0.104471,17.79280,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,16.892
0.121164,16.69350,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,33.585
0.139014,17.85020,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,16.979
0.156256,17.24220,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,34.222
0.174391,18.13480,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,17.133
0.190936,16.54510,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,15.515
0.209672,18.73540,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,34.251
0.226348,16.67600,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,15.658
0.244567,18.21930,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,33.877
0.259980,15.41290,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,14.149
0.277895,17.91550,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,17.135
0.293979,16.08330,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,15.170
0.310463,16.48430,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,15.301
0.329243,18.77960,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,18.075
0.345891,16.64880,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,15.522
0.363821,17.92970,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,17.148
0.379605,15.78420,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,14.765
0.397288,17.68300,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,17.017
0.414773,17.48500,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,16.580
0.431534,16.76070,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,15.995
0.448206,16.67180,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,15.617
0.465673,17.46710,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,16.657
0.483446,17.77310,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,16.914
0.500181,16.73480,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,15.973
0.517737,17.55660,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,16.501
0.534772,17.03490,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,33.536
0.550942,16.17000,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,15.230
0.568146,17.20350,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,16.422
0.586105,17.95870,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,16.653
0.602616,16.51130,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,33.164
0.620850,18.23460,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,17.401
0.638540,17.68910,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,16.930
0.655340,16.80000,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,15.750
0.673026,17.68640,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,33.436
0.689879,16.85300,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,15.907
0.708269,18.39020,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,34.297
0.725486,17.21720,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,51.514
0.743552,18.06520,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,17.040
0.759906,16.35440,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,33.394
0.777070,17.16450,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,16.389
0.795254,18.18350,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,17.261
0.812913,17.65860,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,34.919
0.831131,18.21880,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,17.255
0.849106,17.97500,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,35.230
0.865730,16.62350,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,15.590
0.883594,17.86430,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,33.454
0.901394,17.79950,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,16.980
0.920157,18.76310,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,17.583
0.937939,17.78200,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,16.989
0.955067,17.12790,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,15.988
0.971779,16.71230,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,15.867
0.990768,18.98910,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,17.905
1.009355,18.58690,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,17.746
1.024187,14.83210,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,32.578
1.042031,17.84410,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,16.881
1.058655,16.62370,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,33.504
1.076933,18.27810,0,0.00000,0.00000,1200,1200,1200,0,0,183908,2054,17.352
1.094108,17.17470,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,16.035
1.111829,17.72090,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,33.755
1.128608,16.77940,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,50.535
1.145994,17.38560,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,16.408
1.163853,17.85990,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,34.268
1.181185,17.33170,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,16.199
1.197964,16.77900,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,15.860
1.216102,18.13740,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,33.997
1.232717,16.61520,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,50.613
1.250071,17.35420,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,16.415
1.267250,17.17950,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,33.594
1.284988,17.73740,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,16.654
1.301662,16.67450,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,15.486
1.318500,16.83760,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,32.324
1.337829,19.32890,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,18.557
1.353714,15.88560,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,14.444
1.369959,16.24410,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,15.505
1.388488,18.52970,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,34.034
1.405979,17.49060,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,16.445
1.424026,18.04670,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,34.492
1.440289,16.26370,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,14.922
1.459082,18.79240,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,33.714
1.475018,15.93640,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,14.965
1.494476,19.45820,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,18.381
1.510275,15.79900,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,34.180
1.528697,18.42210,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,52.602
1.546304,17.60630,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,16.656
1.563536,17.23240,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,16.261
1.580191,16.65510,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,32.916
1.594978,14.78680,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,13.671
1.614033,19.05530,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,32.726
1.631175,17.14150,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,16.022
1.647910,16.73500,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,32.757
1.666736,18.82590,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,17.898
1.682022,15.28650,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,33.184
1.698894,16.87180,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,15.827
1.716117,17.22330,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,33.050
1.733662,17.54520,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,16.543
1.750226,16.56320,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,33.106
1.767923,17.69760,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,16.788
1.787008,19.08450,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,35.872
1.804204,17.19660,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,16.301
1.821882,17.67810,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,16.573
1.840407,18.52440,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,17.848
1.857033,16.62580,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,34.474
1.874844,17.81120,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,16.519
1.891975,17.13160,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,16.035
1.909353,17.37730,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,33.412
1.926252,16.89930,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,15.816
1.942781,16.52900,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,32.345
1.962447,19.66640,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,18.682
1.981207,18.75930,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,37.441
1.997509,16.30240,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,15.315
2.014138,16.62870,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,31.944
2.031685,17.54740,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,16.515
2.048850,17.16440,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,33.679
2.066313,17.46370,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,16.524
2.083790,17.47690,0,0.00000,0.00000,1200,1200,1200,0,0,213779,2149,34.001
2.100864,17.07430,0,0.00000,0.00000,1200,1200,1200,0,0,187277,2077,16.094
2.119146,18.28190,0,0.00000,0.00000,1200,1200,1200,0,0,187277,2077,34.376
2.136137,16.99040,0,0.00000,0.00000,1200,1200,1200,0,0,187277,2077,16.073
2.153827,17.68990,0,0.00000,0.00000,1200,1200,1200,0,0,187277,2077,33.762
2.170490,16.66380,0,0.00000,0.00000,1200,1200,1200,0,0,187277,2077,15.650
