monotonic_seconds,engine_seconds,connection,in_total_bytes,out_total_bytes,packet_overhead
16800534.360657200,40.024814602,127.0.0.1:18062,2355985,28945,28
16800534.379647300,40.043804701,127.0.0.1:18062,2362020,28983,28
16800534.394988000,40.059145402,127.0.0.1:18062,2362065,28983,28
16800534.412810098,40.076967500,127.0.0.1:18062,2368085,29021,28
16800534.429798499,40.093955901,127.0.0.1:18062,2376274,29059,28
16800534.447431698,40.111589100,127.0.0.1:18062,2376370,29097,28
16800534.463743601,40.127901003,127.0.0.1:18062,2382375,29135,28
16800534.481895801,40.146053202,127.0.0.1:18062,2382456,29173,28
16800534.498204902,40.162362304,127.0.0.1:18062,2388522,29211,28
16800534.517673701,40.181831103,127.0.0.1:18062,2398025,29249,28
16800534.534446798,40.198604200,127.0.0.1:18062,2402742,29287,28
16800534.551680200,40.215837602,127.0.0.1:18062,2403444,29325,28
16800534.567454699,40.231612101,127.0.0.1:18062,2403444,29325,28
16800534.584135398,40.248292800,127.0.0.1:18062,2409302,29363,28
16800534.603525698,40.267683100,127.0.0.1:18062,2409794,29401,28
16800534.621443901,40.285601303,127.0.0.1:18062,2418034,29439,28
16800534.637228101,40.301385503,127.0.0.1:18062,2424126,29477,28
16800534.655849501,40.320006903,127.0.0.1:18062,2424188,29515,28
16800534.671796400,40.335953802,127.0.0.1:18062,2430217,29553,28
16800534.688776098,40.352933500,127.0.0.1:18062,2430217,29553,28
16800534.707534999,40.371692400,127.0.0.1:18062,2435441,29591,28
16800534.723604199,40.387761600,127.0.0.1:18062,2441969,29629,28
16800534.740367200,40.404524602,127.0.0.1:18062,2447166,29667,28
16800534.758845501,40.423002902,127.0.0.1:18062,2447243,29705,28
16800534.774957798,40.439115200,127.0.0.1:18062,2453272,29743,28
16800534.792723302,40.456880704,127.0.0.1:18062,2453272,29743,28
16800534.809413299,40.473570701,127.0.0.1:18062,2461499,29781,28
16800534.825405899,40.489563301,127.0.0.1:18062,2461561,29819,28
