"Seconds","QpcSeconds","Role","Pid","CpuCoreEquivalents","WorkingSetMiB","PrivateMiB"
"0.0019107","23278.2715513","server","16776","0","5466.48046875","6229.52734375"
"0.0019107","23278.2715513","client1","32436","0","50.24609375","35.31640625"
"0.0019107","23278.2715513","client2","38800","0","48.25","33.31640625"
"1.0726351","23279.3399874","server","16776","0.1897080144993427","5466.78125","6229.77734375"
"1.0726351","23279.3399874","client1","32436","1.692779206301827","575.84375","534.2734375"
"1.0726351","23279.3399874","client2","38800","1.225805632149599","576.2421875","557.4921875"
"2.0968921","23280.3642254","server","16776","0.30509920849942934","5467.10546875","6229.77734375"
"2.0968921","23280.3642254","client1","32436","0.8542777837984021","614.0703125","594.859375"
"2.0968921","23280.3642254","client2","38800","0.9305525859232595","614.28515625","618.6796875"
"3.1131391","23281.3804777","server","16776","0.15375199139579257","5467.42578125","6229.77734375"
"3.1131391","23281.3804777","client1","32436","0.8763863509560177","633.84375","636.66796875"
"3.1131391","23281.3804777","client2","38800","0.8763863509560177","627.9921875","646.8828125"
"4.1429771","23282.4103046","server","16776","0.09103373540304398","5467.74609375","6229.77734375"
"4.1429771","23282.4103046","client1","32436","0.8193036186273958","924.73046875","818.078125"
"4.1429771","23282.4103046","client2","38800","0.8193036186273958","812.984375","875.24609375"
"5.1621209","23283.4294727","server","16776","0.2912984409069653","5468.05859375","6229.77734375"
"5.1621209","23283.4294727","client1","32436","0.3219614346866458","1079.21484375","1078.42578125"
"5.1621209","23283.4294727","client2","38800","0.36795592535616667","961.5390625","1102.203125"
"6.1819836","23284.449332","server","16776","0.22981034603971692","5468.30859375","6229.77734375"
"6.1819836","23284.449332","client1","32436","0.015320689735981127","1079.23046875","1078.42578125"
"6.1819836","23284.449332","client2","38800","0","961.5390625","1102.203125"
"7.2072777","23285.4746149","server","16776","0.2590720067539645","5468.62109375","6229.77734375"
"7.2072777","23285.4746149","client1","32436","3.322217498374369","1186.50390625","1183.81640625"
"7.2072777","23285.4746149","client2","38800","0","961.5703125","1102.21875"
