EVENTS,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/NetworkProfiler,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/FlushNet,Exclusive/GameThread/EventWait/PrePhysics,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,GuLiCommanderPoseDispatch/AttemptedChunks,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AIController,Ticks/PathFollowingComponent,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/GuLiCommanderGameMode,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,Trace/MemoryUsedMb,Trace/BlockPoolMb,Trace/FixedBuffersMb,Trace/SharedBuffersMb,Trace/CacheMb,RHI/DrawCalls,RHI/PrimitivesDrawn,Ticks/GuLiBuildingShieldComponent,Ticks/GuLiCombatEffectReplicationComponent,Exclusive/GameThread/Pathfinding,GuLiCommanderAuthority/GameThread/FixedStep,FMsgLogf/FMsgLogfCount,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,GuLiCommanderPoseDispatch/SaturatedAtAttempt,Ticks/GameplayDebuggerPlayerManager,Exclusive/GameThread/LogFlush,FMsgLogf/FMsgLogfCount,Exclusive/GameThread/ActorDestroying,Exclusive/GameThread/ActorSpawning,PackageMap/NetGuidExports,Exclusive/GameThread/EventWait
,4.3547,0.064600,0.2224,0.012500,0.1323,0.017000,0.080700,0.001900,0.007500,0.003600,0.022100,0.001300,0.004600,0.033900,2.4029,0.2695,0.014800,1.0039,0.006100,0.4936,0.8053,0.4791,0.028200,0.001000,0.002400,0.1472,0.2621,0.002000,0.001000,0.002800,0.018900,0.057500,0.6215,0.001700,0.035900,0.003700,0.001600,0.3057,0.030600,0.000100,0,0,0,0,59,0,0,26,0,0,0,0,2,2,1,2,48,4,96,0,6,9,9,0,0,26,0,26,0,0,3,18,0,0,0,0,0,0,0,0.1573,0,30,0,0,0.5397,0.6970,0,2,2,1,2,3,12,1,2,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0607,4719.4180,5465.3555,6205.7969,0,10184.7734,32.8225,0.4375,32.0039,0.004883,0.3762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3.5599,0.071000,0.1422,0.014000,0.095400,0.015900,0.069800,0.002300,0.007400,0.003700,0.024400,0.001500,0.004500,0.037900,0.5099,0.2203,0.016000,0.9248,0.003700,0.097800,2.2846,0.3092,0.028900,0.000700,0.067700,0.2767,0.3819,0.001700,0.000800,0.002800,0.017700,0.050800,0.6498,0.005100,0.023000,0.001100,0.001600,0.089300,0.012800,0.000100,0,0,0,0,62,0,0,0,0,0,0,0,2,2,0,1,50,2,100,0,6,1,1,0,68,8,0,0,1,0,1,2,0,0,0,0,0,0,0,0.1314,0,20.5000,0,0,0.6128,0.7442,0,2,2,1,2,3,12,1,2,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5850,4718.9336,5465.4375,6205.8047,0,10184.3711,32.8186,0.4375,32.0039,0.000977,0.3762,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1775,0.073700,0.092800,0.013600,0.096300,0.020800,0.072600,0.002300,0.006900,0.003900,0.024100,0.001500,0.004800,0.035400,0.3984,0.2818,0.016000,0.9874,0.004000,0.095700,0.081600,0.4108,0.027400,0.000500,0.002700,0.2695,0.3905,0.001400,0.000800,0.001800,0.015200,0.048800,0.5935,0.001700,0.023400,0.001400,0.002700,0.097300,0.011500,0.000100,0,0,0,0,59,0,0,0,0,0,0,0,2,2,0,1,50,2,100,0,8,1,1,0,3,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0.1343,0,29.5000,0,0,0.5344,0.6687,0,2,2,1,2,3,12,1,2,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7614,4718.4961,5465.4375,6205.8047,0,10183.9336,32.8186,0.4375,32.0039,0.000977,0.3762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3.2959,0.1417,0.3133,0.011000,0.089300,0.014300,0.071000,0.002500,0.006600,0.003000,0.020800,0.001400,0.003800,0.029100,1.3012,0.2300,0.016500,0.9476,0.005600,0.4472,0.9006,0.3248,0.032200,0.000500,0.002300,1.3706,1.3690,0.001300,0.000800,0.002400,0.018700,0.094500,0.5429,0.001600,0.019900,0.001200,0.001700,0.082100,0.012800,0.000200,0,0,0,0,59,0,0,26,0,0,0,0,2,2,1,1,50,2,100,0,10,9,9,0,3,27,0,26,1,0,2,18,0,0,0,0,0,0,0,0.1222,0,24.5000,0,0,0.4870,0.6092,0,2,2,1,2,3,12,1,2,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.7735,4717.6719,5465.4531,6205.8047,0,10183.1250,32.8186,0.4375,32.0039,0.000977,0.3762,0,0,0,0,0.1074,0,0,82603,40367,0,2.3601,0,0,0,0,0,0,0,0
,0.1479,0.077300,0.1335,0.013500,0.1553,0.017200,0.078400,0.002500,0.007800,0.004200,0.025800,0.001600,0.004500,0.035500,0.4163,0.2763,0.013400,1.1730,0.005200,0.1934,0,0.4549,0.032400,0.000700,0.002500,8.1610,8.2980,0.003900,0.001100,0.005000,0.025200,0.1440,0.8621,0.002300,0.029900,0.001500,0.002000,0.7900,0.016300,0.000100,0,0,0,0,60,0,0,0,0,0,0,0,2,2,1,1,50,2,100,0,9,1,1,0,1,1,0,0,1,0,2,2,0,0,0,0,0,0,0,0.2028,0,27,0,0,0.7625,0.9653,0,2,2,1,2,3,12,1,2,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,60,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9698,4718.1250,5465.4570,6205.8047,0,10183.5820,32.8186,0.4375,32.0039,0.000977,0.3762,0,0,0,1,0,8.0364,1,0,0,0,0,0,0,0,0,0,0,0,0
,4.9065,0.062300,0.2124,0.010200,0.085700,0.014900,0.067500,0.002200,0.007500,0.003400,0.023900,0.001100,0.003900,0.032000,1.2600,0.2720,0.015100,0.9192,0.004400,0.5070,2.6602,0.2957,0.031700,0.000600,0.002400,0.2686,0.3767,0.001300,0.000800,0.002900,0.018100,0.049200,0.6996,0.001800,0.021300,0.001300,0.001400,0.092900,0.013700,0.000200,0,0,0,0,59,0,0,26,0,0,0,0,2,2,0,1,50,2,99,0,8,11,13,1,2,426,0,26,0,0,1,22,0,0,0,0,0,0,0,0.1288,0,15.5000,3.7354,0,0.8173,0.9461,0,2,2,1,2,3,12,1,2,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6514,4716.5430,5465.5195,6205.8047,0,10182.0625,32.8186,0.4375,32.0039,0.000977,0.3762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1524,0.068600,0.1718,0.009800,0.096400,0.014600,0.029600,0.002300,0.008700,0.003000,0.024700,0.011600,0.004300,0.030400,2.3728,0.2319,0.019900,1.4232,0.006600,0.4732,0,0.4528,0.032300,0.000500,0.002700,0.3565,0.4779,0.001600,0.001300,0.003200,0.020000,0.049600,0.5763,0.001600,0.019300,0.001200,0.001500,0.092400,0.013900,0.000100,0,0,0,0,59,0,0,26,0,0,0,0,2,2,0,0,50,2,99,0,8,8,12,2,2,318,0,18,0,0,0,17,0,0,0,0,0,0,0,0.1462,0,2.5000,2.7783,0,0.5875,0.7337,0,2,2,1,2,3,12,1,2,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6090,4716.7852,5465.5195,6205.8047,0,10182.3047,32.8186,0.4375,32.0039,0.000977,0.3762,0,0,0,0,0,0,0,4292,391,0,0.4764,8,0,0,0,0,0,0,0
,4.7750,0.066600,0.1696,0.009700,0.1132,0.016400,0.079500,0.002400,0.007100,0.003900,0.023700,0.001200,0.004700,0.029700,0.4411,0.3168,0.019400,1.2124,0.003400,0.1339,3.0306,0.2790,0.030300,0.000700,0.077700,1.3586,1.3515,0.001900,0.001300,0.003900,0.027200,0.1151,0.9864,0.001800,0.022200,0.001300,0.001700,0.087100,0.013700,0.000100,0,0,0,0,60,0,0,0,0,0,0,0,2,2,1,1,50,2,98,0,8,2,3,0,5,300,0,0,1,0,2,4,0,0,0,0,0,0,0,0.1960,0,41.5000,1.9492,0,1.0032,1.1992,0,2,2,1,2,3,12,1,2,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,60,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1606,4711,5465.5195,6205.8047,0,10176.5195,32.8186,0.4375,32.0039,0.000977,0.3762,0,0,0,1,0.1304,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1523,0.062100,0.2381,0.009000,0.078500,0.013500,0.067000,0.002400,0.007100,0.003100,0.022600,0.000800,0.003700,0.029700,1.2344,0.2381,0.013700,0.8737,0.004400,0.5719,0,0.3836,0.025000,0.000900,0.002200,0.1777,0.2735,0.001800,0.000800,0.001700,0.013800,0.041400,0.4280,0.001700,0.017800,0.001200,0.001200,0.084500,0.014300,0.000200,0,0,0,0,59,0,0,26,0,0,0,0,2,2,1,1,48,4,98,0,6,9,9,1,0,26,0,26,0,0,2,18,0,0,0,0,0,0,0,0.1160,0,18.5000,0,0,0.3368,0.4528,0,2,2,1,2,3,12,1,2,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3849,4711.7070,5465.5820,6205.8047,0,10177.2891,32.8186,0.4375,32.0039,0.000977,0.3762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3.6840,0.070900,0.1076,0.014100,0.1006,0.016000,0.1068,0.002500,0.008000,0.003800,0.027200,0.001400,0.006600,0.041600,0.4830,0.3358,0.017400,1.0397,0.005200,0.098400,2.1252,0.3170,0.027500,0.000800,0.002100,0.2485,1.2757,0.001300,0.000800,0.003000,0.018300,0.048900,0.7305,0.001400,0.021900,0.001300,0.001400,0.1039,0.012300,0.000200,0,0,0,0,59,0,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,0,8,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.1537,0,38,0,0,0.6664,0.8201,0,2,2,1,2,3,12,1,2,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5786,4711.6836,5465.5820,6205.8047,0,10177.2656,32.8186,0.4375,32.0039,0.000977,0.3762,0,0,0,0,0,0,0,5150,398,0,0.3597,0,0,0,0,0,0,0,0
