seconds,frame_ms,sim_steps,sim_ms,combat_ms,alive,ordered_moving,observed_moving,blocked,arrived,in_bytes_s,out_bytes_s,pose_age_ms
0.019122,19.12160,0,0.00000,0.00000,1200,1200,0,0,0,4199,367711,0.000
0.033948,14.82670,0,0.00000,0.00000,1200,1200,0,0,0,4199,367711,0.000
0.048706,14.75740,0,0.00000,0.00000,1200,1200,0,0,0,4199,367711,0.000
0.068487,19.78150,0,0.00000,0.00000,1200,1200,0,0,0,4199,367711,0.000
0.090750,22.26260,1,8.03160,1.87970,1200,1200,0,0,0,4199,367711,0.000
0.103103,12.35350,0,0.00000,0.00000,1200,1200,0,0,0,4199,367711,0.000
0.118710,15.60700,0,0.00000,0.00000,1200,1200,0,0,0,4199,367711,0.000
0.136876,18.16530,0,0.00000,0.00000,1200,1200,0,0,0,4199,367711,0.000
0.150263,13.38700,0,0.00000,0.00000,1200,1200,0,0,0,4199,367711,0.000
0.168834,18.57100,0,0.00000,0.00000,1200,1200,0,0,0,4199,367711,0.000
0.190940,22.10640,1,7.33260,1.35480,1200,1200,0,0,0,4199,367711,0.000
0.202668,11.72770,0,0.00000,0.00000,1200,1200,0,0,0,4199,367711,0.000
0.217827,15.15880,0,0.00000,0.00000,1200,1200,0,0,0,4199,367711,0.000
0.235460,17.63380,0,0.00000,0.00000,1200,1200,0,0,0,4199,367711,0.000
0.249678,14.21750,0,0.00000,0.00000,1200,1200,0,0,0,4199,367711,0.000
0.268905,19.22710,0,0.00000,0.00000,1200,1200,0,0,0,4199,367711,0.000
0.293077,24.17160,1,9.39450,2.03310,1200,1200,0,0,0,4199,367711,0.000
0.303929,10.85290,0,0.00000,0.00000,1200,1200,0,0,0,4199,367711,0.000
0.318263,14.33320,0,0.00000,0.00000,1200,1200,0,0,0,4199,367711,0.000
0.334832,16.56910,0,0.00000,0.00000,1200,1200,0,0,0,4199,367711,0.000
0.349791,14.95930,0,0.00000,0.00000,1200,1200,0,0,0,4211,382256,0.000
0.370807,21.01550,0,0.00000,0.00000,1200,1200,0,0,0,4211,382256,0.000
0.390334,19.52710,1,7.25590,1.33640,1200,1200,0,0,0,4211,382256,0.000
0.405238,14.90420,0,0.00000,0.00000,1200,1200,0,0,0,4211,382256,0.000
0.419072,13.83440,0,0.00000,0.00000,1200,1200,0,0,0,4211,382256,0.000
0.437084,18.01150,0,0.00000,0.00000,1200,1200,0,0,0,4211,382256,0.000
0.450717,13.63310,0,0.00000,0.00000,1200,1200,0,0,0,4211,382256,0.000
0.470575,19.85800,0,0.00000,0.00000,1200,1200,0,0,0,4211,382256,0.000
0.492831,22.25640,1,8.56960,2.06380,1200,1200,0,0,0,4211,382256,0.000
0.506014,13.18310,0,0.00000,0.00000,1200,1200,0,0,0,4109,398544,0.000
0.517869,11.85520,0,0.00000,0.00000,1200,1200,0,0,0,4109,398544,0.000
0.538482,20.61300,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
0.552935,14.45220,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
0.573728,20.79290,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
0.592839,19.11140,1,7.91060,1.82560,1200,1200,1200,0,0,4109,398544,0.000
0.607019,14.18010,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
0.619876,12.85720,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
0.641083,21.20670,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
0.654506,13.42320,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
0.676065,21.55920,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
0.693971,17.90540,1,5.74460,1.51330,1200,1200,1200,0,0,4109,398544,0.000
0.710616,16.64490,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
0.721979,11.36290,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
0.740412,18.43360,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
0.756266,15.85370,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
0.773628,17.36160,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
0.797169,23.54170,1,7.20770,1.33870,1200,1200,1200,0,0,4109,398544,0.000
0.808757,11.58750,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
0.824761,16.00410,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
0.842960,18.19870,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
0.856451,13.49190,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
0.875766,19.31480,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
0.898743,22.97630,1,7.91850,1.79150,1200,1200,1200,0,0,4109,398544,0.000
0.911096,12.35350,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
0.926631,15.53460,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
0.942668,16.03770,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
0.960291,17.62300,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
0.978302,18.01080,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
1.000040,21.73810,1,7.50470,1.41760,1200,1200,1200,0,0,4109,398544,0.000
1.012475,12.43480,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
1.026542,14.06690,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
1.045755,19.21280,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
1.060215,14.46040,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
1.078949,18.73340,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
1.104204,25.25530,1,8.71880,1.81030,1200,1200,1200,0,0,4109,398544,0.000
1.112024,7.82060,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
1.126384,14.35950,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
1.144451,18.06740,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
1.161020,16.56880,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
1.177603,16.58330,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
1.201983,24.37970,1,7.95200,2.11330,1200,1200,1200,0,0,4109,398544,0.000
1.211626,9.64280,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
1.224560,12.93380,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
1.244528,19.96840,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
1.259958,15.43040,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
1.278037,18.07840,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
1.300588,22.55150,1,7.44900,1.36250,1200,1200,1200,0,0,4109,398544,0.000
1.313196,12.60800,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
1.326032,12.83600,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
1.345232,19.19920,0,0.00000,0.00000,1200,1200,1200,0,0,4109,398544,0.000
1.360256,15.02460,0,0.00000,0.00000,1200,1200,1200,0,0,4140,408626,0.000
1.378848,18.59180,0,0.00000,0.00000,1200,1200,1200,0,0,4140,408626,0.000
1.399373,20.52540,1,6.07670,1.37620,1200,1200,1200,0,0,4140,408626,0.000
1.413796,14.42270,0,0.00000,0.00000,1200,1200,1200,0,0,4140,408626,0.000
1.427524,13.72740,0,0.00000,0.00000,1200,1200,1200,0,0,4140,408626,0.000
1.445905,18.38170,0,0.00000,0.00000,1200,1200,1200,0,0,4140,408626,0.000
1.460307,14.40140,0,0.00000,0.00000,1200,1200,1200,0,0,4140,408626,0.000
1.478087,17.78040,0,0.00000,0.00000,1200,1200,1200,0,0,4140,408626,0.000
1.502440,24.35340,1,9.31290,2.46900,1200,1200,1200,0,0,4140,408626,0.000
1.512088,9.64720,0,0.00000,0.00000,1200,1200,1200,0,0,4333,412897,0.000
1.526327,14.23940,0,0.00000,0.00000,1200,1200,1200,0,0,4333,412897,0.000
1.545076,18.74880,0,0.00000,0.00000,1200,1200,1200,0,0,4333,412897,0.000
1.560304,15.22860,0,0.00000,0.00000,1200,1200,1200,0,0,4333,412897,0.000
1.578704,18.40000,0,0.00000,0.00000,1200,1200,1200,0,0,4333,412897,0.000
1.599369,20.66500,1,5.90890,1.45280,1200,1200,1200,0,0,4333,412897,0.000
1.611748,12.37890,0,0.00000,0.00000,1200,1200,1200,0,0,4333,412897,0.000
1.628232,16.48400,0,0.00000,0.00000,1200,1200,1200,0,0,4333,412897,0.000
1.646084,17.85200,0,0.00000,0.00000,1200,1200,1200,0,0,4333,412897,0.000
1.659065,12.98040,0,0.00000,0.00000,1200,1200,1200,0,0,4333,412897,0.000
1.679396,20.33110,0,0.00000,0.00000,1200,1200,1200,0,0,4333,412897,0.000
1.698488,19.09240,1,5.79380,1.45070,1200,1200,1200,0,0,4333,412897,0.000
1.712625,14.13660,0,0.00000,0.00000,1200,1200,1200,0,0,4333,412897,0.000
1.728178,15.55310,0,0.00000,0.00000,1200,1200,1200,0,0,4333,412897,0.000
1.746166,17.98840,0,0.00000,0.00000,1200,1200,1200,0,0,4333,412897,0.000
1.758992,12.82550,0,0.00000,0.00000,1200,1200,1200,0,0,4333,412897,0.000
1.780976,21.98430,0,0.00000,0.00000,1200,1200,1200,0,0,4333,412897,0.000
1.799025,18.04920,1,6.13220,1.51820,1200,1200,1200,0,0,4333,412897,0.000
1.812936,13.91090,0,0.00000,0.00000,1200,1200,1200,0,0,4333,412897,0.000
1.827287,14.35050,0,0.00000,0.00000,1200,1200,1200,0,0,4333,412897,0.000
1.846500,19.21330,0,0.00000,0.00000,1200,1200,1200,0,0,4333,412897,0.000
1.859572,13.07230,0,0.00000,0.00000,1200,1200,1200,0,0,4333,412897,0.000
1.880424,20.85130,0,0.00000,0.00000,1200,1200,1200,0,0,4333,412897,0.000
1.899926,19.50240,1,6.37050,1.86650,1200,1200,1200,0,0,4333,412897,0.000
1.913173,13.24660,0,0.00000,0.00000,1200,1200,1200,0,0,4333,412897,0.000
1.927982,14.80900,0,0.00000,0.00000,1200,1200,1200,0,0,4333,412897,0.000
1.946172,18.19080,0,0.00000,0.00000,1200,1200,1200,0,0,4333,412897,0.000
1.959178,13.00520,0,0.00000,0.00000,1200,1200,1200,0,0,4333,412897,0.000
1.980094,20.91610,0,0.00000,0.00000,1200,1200,1200,0,0,4333,412897,0.000
1.998581,18.48760,1,5.83240,1.38940,1200,1200,1200,0,0,4333,412897,0.000
2.014105,15.52380,0,0.00000,0.00000,1200,1200,1200,0,0,4333,412897,0.000
2.027692,13.58660,0,0.00000,0.00000,1200,1200,1200,0,0,4333,412897,0.000
2.047468,19.77620,0,0.00000,0.00000,1200,1200,1200,0,0,4333,412897,0.000
2.061146,13.67800,0,0.00000,0.00000,1200,1200,1200,0,0,4333,412897,0.000
2.079748,18.60220,0,0.00000,0.00000,1200,1200,1200,0,0,4333,412897,0.000
2.099821,20.07330,1,6.03350,1.48410,1200,1200,1200,0,0,4333,412897,0.000
2.112494,12.67290,0,0.00000,0.00000,1200,1200,1200,0,0,4333,412897,0.000
