monotonic_seconds,engine_seconds,connection,in_total_bytes,out_total_bytes,packet_overhead
16800534.285331700,84.774248701,127.0.0.1:54697,35584,2599508,28
16800534.285331700,84.774248701,127.0.0.1:54706,28755,2379697,28
16800534.304453298,84.793370299,127.0.0.1:54697,35622,2605500,28
16800534.304453298,84.793370299,127.0.0.1:54706,28831,2385702,28
16800534.319279999,84.808196999,127.0.0.1:54697,35660,2605793,28
16800534.319279999,84.808196999,127.0.0.1:54706,28831,2385996,28
16800534.334037401,84.822954401,127.0.0.1:54697,35660,2605863,28
16800534.334037401,84.822954401,127.0.0.1:54706,28869,2386058,28
16800534.353818901,84.842735901,127.0.0.1:54697,35698,2611887,28
16800534.353818901,84.842735901,127.0.0.1:54706,28907,2392093,28
16800534.376081500,84.864998501,127.0.0.1:54697,35736,2611934,28
16800534.376081500,84.864998501,127.0.0.1:54706,28945,2392138,28
16800534.388434999,84.877351999,127.0.0.1:54697,35736,2621438,28
16800534.388434999,84.877351999,127.0.0.1:54706,28983,2398158,28
16800534.404042002,84.892959002,127.0.0.1:54697,35736,2624579,28
16800534.404042002,84.892959002,127.0.0.1:54706,28983,2406347,28
16800534.422207300,84.911124300,127.0.0.1:54697,35774,2626811,28
16800534.422207300,84.911124300,127.0.0.1:54706,29021,2406443,28
16800534.435594302,84.924511302,127.0.0.1:54697,35812,2632803,28
16800534.435594302,84.924511302,127.0.0.1:54706,29059,2412448,28
16800534.454165298,84.943082299,127.0.0.1:54697,35850,2632884,28
16800534.454165298,84.943082299,127.0.0.1:54706,29097,2412529,28
16800534.476271700,84.965188701,127.0.0.1:54697,35888,2638937,28
16800534.476271700,84.965188701,127.0.0.1:54706,29135,2418595,28
16800534.487999398,84.976916399,127.0.0.1:54697,35926,2647113,28
16800534.487999398,84.976916399,127.0.0.1:54706,29173,2428098,28
16800534.503158201,84.992075201,127.0.0.1:54697,35964,2647189,28
16800534.503158201,84.992075201,127.0.0.1:54706,29211,2430298,28
16800534.520792000,85.009709001,127.0.0.1:54697,36002,2653192,28
16800534.520792000,85.009709001,127.0.0.1:54706,29249,2433455,28
16800534.535009500,85.023926500,127.0.0.1:54697,36040,2653254,28
16800534.535009500,85.023926500,127.0.0.1:54706,29287,2433517,28
16800534.554236598,85.043153599,127.0.0.1:54697,36078,2653316,28
16800534.554236598,85.043153599,127.0.0.1:54706,29325,2433579,28
16800534.578408200,85.067325201,127.0.0.1:54697,36116,2659591,28
16800534.578408200,85.067325201,127.0.0.1:54706,29325,2439867,28
16800534.589261100,85.078178100,127.0.0.1:54697,36154,2667767,28
16800534.589261100,85.078178100,127.0.0.1:54706,29363,2448056,28
16800534.603594299,85.092511300,127.0.0.1:54697,36192,2671266,28
16800534.603594299,85.092511300,127.0.0.1:54706,29401,2448107,28
16800534.620163400,85.109080400,127.0.0.1:54697,36230,2674417,28
16800534.620163400,85.109080400,127.0.0.1:54706,29439,2454199,28
16800534.635122702,85.124039702,127.0.0.1:54697,36268,2674510,28
16800534.635122702,85.124039702,127.0.0.1:54706,29477,2454261,28
16800534.656138200,85.145055201,127.0.0.1:54697,36306,2680526,28
16800534.656138200,85.145055201,127.0.0.1:54706,29515,2460290,28
16800534.675665300,85.164582301,127.0.0.1:54697,36344,2680564,28
16800534.675665300,85.164582301,127.0.0.1:54706,29553,2460328,28
16800534.690569501,85.179486502,127.0.0.1:54697,36382,2688753,28
16800534.690569501,85.179486502,127.0.0.1:54706,29553,2468517,28
16800534.704403900,85.193320900,127.0.0.1:54697,36420,2688816,28
16800534.704403900,85.193320900,127.0.0.1:54706,29591,2472042,28
16800534.722415399,85.211332399,127.0.0.1:54697,36458,2694842,28
16800534.722415399,85.211332399,127.0.0.1:54706,29629,2477239,28
16800534.736048501,85.224965502,127.0.0.1:54697,36496,2694919,28
16800534.736048501,85.224965502,127.0.0.1:54706,29667,2477316,28
16800534.755906500,85.244823501,127.0.0.1:54697,36534,2700935,28
16800534.755906500,85.244823501,127.0.0.1:54706,29705,2483345,28
16800534.778162900,85.267079901,127.0.0.1:54697,36572,2700973,28
16800534.778162900,85.267079901,127.0.0.1:54706,29743,2483383,28
16800534.791345999,85.280262999,127.0.0.1:54697,36610,2710462,28
16800534.791345999,85.280262999,127.0.0.1:54706,29743,2491572,28
16800534.803201199,85.292118199,127.0.0.1:54697,36648,2712647,28
16800534.803201199,85.292118199,127.0.0.1:54706,29781,2491634,28
16800534.823814198,85.312731199,127.0.0.1:54697,36686,2717801,28
16800534.823814198,85.312731199,127.0.0.1:54706,29819,2497956,28
16800534.838266399,85.327183399,127.0.0.1:54697,36724,2718108,28
16800534.838266399,85.327183399,127.0.0.1:54706,29857,2498035,28
16800534.859059300,85.347976301,127.0.0.1:54697,36762,2724189,28
16800534.859059300,85.347976301,127.0.0.1:54706,29895,2504129,28
16800534.878170699,85.367087699,127.0.0.1:54697,36800,2724251,28
16800534.878170699,85.367087699,127.0.0.1:54706,29933,2504191,28
16800534.892350800,85.381267801,127.0.0.1:54697,36838,2732403,28
