Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
Frame,3693,3693.000000,59.679692,0.002448,0.019608,0.016160,0.016315,0.544046,0.000002,0.002836,0.000147,0.000088
SceneRender,3693,3693.000000,58.298289,0.002446,0.019405,0.015786,0.015979,10.512704,0.000001,0.007930,0.002847,0.002644
RenderGraphExecute,7383,7383.000000,48.469396,0.000018,0.018593,0.006565,0.007335,1.770955,0.000002,0.003625,0.000240,0.000039
Scene,3692,3692.000000,45.580018,0.007362,0.016841,0.012346,0.012102,2.020031,0.000025,0.004309,0.000547,0.000328
FEngineLoop::Tick,1847,1847.000000,29.998539,0.003901,0.020221,0.016242,0.016430,0.016888,0.000001,0.000051,0.000009,0.000009
Frame,1847,1847.000000,29.956886,0.003882,0.020201,0.016219,0.016410,0.006819,0.000000,0.000014,0.000004,0.000004
FrameTime,3693,3693.000000,29.920179,0.000105,0.019886,0.008102,0.003502,0.099145,0.000001,0.000198,0.000027,0.000005
Frame Sync Time,1846,1846.000000,15.585110,0.002972,0.013205,0.008443,0.008554,0.019267,0.000007,0.000117,0.000010,0.000010
GameThreadWaitForTask,1846,1846.000000,15.549641,0.002954,0.013189,0.008423,0.008537,0.001981,0.000000,0.000023,0.000001,0.000001
Game thread idle time,1846,1846.000000,15.547660,0.002953,0.013188,0.008422,0.008536,15.547660,0.002953,0.013188,0.008422,0.008536
Tick_Engine,1846,1846.000000,10.318534,0.003560,0.008177,0.005590,0.005542,0.002643,0.000001,0.000015,0.000001,0.000001
GameEngine Tick,1846,1846.000000,10.315890,0.003559,0.008176,0.005588,0.005541,0.092617,0.000029,0.000172,0.000050,0.000050
DiffuseIndirectAndAO,3692,3692.000000,8.804623,0.000043,0.006658,0.002385,0.002348,0.072903,0.000001,0.002084,0.000020,0.000001
UWorld_Tick,1846,1846.000000,8.036633,0.003336,0.006812,0.004354,0.004319,0.040968,0.000016,0.000058,0.000022,0.000022
World Tick Time,1846,1846.000000,7.976141,0.003306,0.006775,0.004321,0.004287,0.047197,0.000017,0.000058,0.000026,0.000025
LumenScreenProbeGather,3692,3692.000000,7.812206,0.000041,0.006192,0.002116,0.002153,5.325696,0.000001,0.005805,0.001442,0.000558
PostProcessing,3692,3692.000000,7.166429,0.000252,0.004749,0.001941,0.002205,0.648504,0.000003,0.002402,0.000176,0.000124
Tick Time,7384,7384.000000,6.469778,0.000003,0.002771,0.000876,0.001303,0.017805,0.000000,0.000028,0.000002,0.000002
ReleaseTickGroup Block,11076,11076.000000,6.266461,0.000033,0.002434,0.000566,0.000300,0.001809,0.000000,0.000045,0.000000,0.000000
TickCompletionEvents,12922,12922.000000,6.264652,0.000012,0.002434,0.000485,0.000232,0.013423,0.000000,0.000054,0.000001,0.000001
ProcessUntilTasksComplete,12922,12922.000000,6.236135,0.000010,0.002432,0.000483,0.000230,0.127217,0.000002,0.000178,0.000010,0.000006
ExecuteTask,127522,127522.000000,5.677372,0.000000,0.002226,0.000045,0.000000,0.050040,0.000000,0.000025,0.000000,0.000000
FTickFunctionTask,112726,112726.000000,5.281274,0.000000,0.002225,0.000047,0.000000,0.070962,0.000000,0.000096,0.000001,0.000001
TemporalSuperResolution(sg.AntiAliasingQuality=%d%s) %dx%d -> %dx%d,3692,3692.000000,5.231577,0.000246,0.003675,0.001417,0.001250,5.231577,0.000246,0.003675,0.001417,0.001250
