Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
Frame,3693,3693.000000,59.679692,0.002448,0.019608,0.016160,0.016315,0.544046,0.000002,0.002836,0.000147,0.000088
SceneRender,3693,3693.000000,58.298289,0.002446,0.019405,0.015786,0.015979,10.512704,0.000001,0.007930,0.002847,0.002644
RenderGraphExecute,7383,7383.000000,48.469396,0.000018,0.018593,0.006565,0.007335,1.770955,0.000002,0.003625,0.000240,0.000039
Scene,3692,3692.000000,45.580018,0.007362,0.016841,0.012346,0.012102,2.020031,0.000025,0.004309,0.000547,0.000328
DiffuseIndirectAndAO,3692,3692.000000,8.804623,0.000043,0.006658,0.002385,0.002348,0.072903,0.000001,0.002084,0.000020,0.000001
LumenScreenProbeGather,3692,3692.000000,7.812206,0.000041,0.006192,0.002116,0.002153,5.325696,0.000001,0.005805,0.001442,0.000558
PostProcessing,3692,3692.000000,7.166429,0.000252,0.004749,0.001941,0.002205,0.648504,0.000003,0.002402,0.000176,0.000124
TemporalSuperResolution(sg.AntiAliasingQuality=%d%s) %dx%d -> %dx%d,3692,3692.000000,5.231577,0.000246,0.003675,0.001417,0.001250,5.231577,0.000246,0.003675,0.001417,0.001250
PrepareImageBasedVRS,1846,1846.000000,4.953102,0.001217,0.004545,0.002683,0.002561,0.040242,0.000000,0.001056,0.000022,0.000000
ContrastAdaptiveShading,1846,1846.000000,4.912860,0.001213,0.004534,0.002661,0.002522,4.912860,0.001213,0.004534,0.002661,0.002522
ParallelDraw,7384,7384.000000,4.674855,0.000000,0.003446,0.000633,0.000105,4.674855,0.000000,0.003446,0.000633,0.000105
RenderDeferredLighting,1846,1846.000000,3.626259,0.000855,0.003702,0.001964,0.002005,0.024913,0.000000,0.001241,0.000013,0.000000
BasePass,1846,1846.000000,3.079886,0.000270,0.003555,0.001668,0.001863,0.202522,0.000023,0.002118,0.000110,0.000023
ShadowDepths,1846,1846.000000,2.441396,0.000704,0.003369,0.001323,0.001108,0.077995,0.000007,0.002181,0.000042,0.000007
PrePass %s %s,1846,1846.000000,2.295066,0.000114,0.003396,0.001243,0.001142,0.253833,0.000011,0.002263,0.000138,0.000034
Nanite::DrawGeometry,3692,3692.000000,2.244576,0.000172,0.002652,0.000608,0.000773,0.369260,0.000028,0.002260,0.000100,0.000050
DiffuseIndirectAndAO,3692,3692.000000,2.045529,0.000072,0.002649,0.000554,0.000332,0.447571,0.000000,0.002315,0.000121,0.000058
UpdateRadianceCaches,3692,3692.000000,1.856646,0.000039,0.002596,0.000503,0.000323,1.856646,0.000039,0.002596,0.000503,0.000323
LumenReflections,1846,1846.000000,1.597958,0.000197,0.002648,0.000866,0.000939,1.597958,0.000197,0.002648,0.000866,0.000939
RenderVirtualShadowMaps,1846,1846.000000,1.557366,0.000261,0.002682,0.000844,0.000921,0.129745,0.000021,0.001996,0.000070,0.000021
ComputeVolumetricFog,1846,1846.000000,1.485558,0.000231,0.002551,0.000805,0.000887,0.002388,0.000000,0.000003,0.000001,0.000001
VolumetricFog,1846,1846.000000,1.483170,0.000230,0.002550,0.000803,0.000886,0.055275,0.000002,0.001997,0.000030,0.000002
CaptureConvolveSkyEnvMap,3692,3692.000000,1.455543,0.000008,0.003045,0.000394,0.000223,0.032668,0.000000,0.001717,0.000009,0.000000
