EVENTS,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/NetworkProfiler,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Exclusive/GameThread/FlushNet,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,Exclusive/GameThread/EventWait/PrePhysics,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AIController,Ticks/PathFollowingComponent,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/GuLiCommanderGameMode,Ticks/GuLiCombatEffectReplicationComponent,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,Trace/MemoryUsedMb,Trace/BlockPoolMb,Trace/FixedBuffersMb,Trace/SharedBuffersMb,Trace/CacheMb,RHI/DrawCalls,RHI/PrimitivesDrawn,GuLiCommanderPoseDispatch/AttemptedChunks,Exclusive/GameThread/Pathfinding,GuLiCommanderAuthority/GameThread/FixedStep,FMsgLogf/FMsgLogfCount,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,Ticks/GameplayDebuggerPlayerManager,Ticks/GuLiBuildingShieldComponent,GuLiCommanderPoseDispatch/SaturatedAtAttempt,Exclusive/GameThread/LogFlush,FMsgLogf/FMsgLogfCount,Exclusive/GameThread/ActorDestroying,Exclusive/GameThread/ActorSpawning,PackageMap/NetGuidExports,Exclusive/GameThread/EventWait
,0.1491,0.062000,0.1216,0.013000,0.1198,0.014800,0.077000,0.002600,0.008000,0.003800,0.024100,0.001200,0.004100,0.034900,0.8795,0.2492,0.014400,1.0334,0.004700,0.4548,0.025800,0.000800,0.076300,0.1225,0.2240,0.001400,0.000700,0.002200,0.016800,0.043800,0.5974,0.095300,0.001300,0.027900,0.003200,0.001500,0.3071,0.029000,0.000200,0,0,0,0,0,60,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0.2091,0,28.5000,0,0,0.4474,0.6565,0,2,2,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,60,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3369,4440.3086,5475.2500,6220.6602,0,9915.5586,32.8186,0.4375,32.0039,0.000977,0.3762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.3466,0.071900,0.1532,0.013700,0.095800,0.016600,0.079700,0.002000,0.007800,0.002900,0.022400,0.001300,0.004600,0.030600,1.0378,0.6669,0.013900,1.2515,0.005200,0.3926,0.037000,0.000600,0.002600,0.2613,0.3885,0.001600,0.001000,0.002400,0.017000,0.052300,0.3841,0.4274,0.001700,0.021500,0.001500,0.001700,0.090200,0.013400,0.000100,1.2721,0,0,0,0,59,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,9,9,0,0,26,0,26,0,0,2,18,0,0,0,0,0,0,0,0.1261,0,16,0,0,0.3020,0.4281,0,2,2,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5632,4440,5475.2500,6220.6602,0,9915.2500,32.8186,0.4375,32.0039,0.000977,0.3762,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1529,0.068300,0.094500,0.013600,0.093300,0.014200,0.071100,0.002600,0.006800,0.002800,0.021700,0.001300,0.003600,0.029600,0.3435,0.2527,0.018100,1.0610,0.003800,0.3584,0.023500,0.000600,0.002100,0.3552,0.4619,0.001400,0.000800,0.002500,0.016100,0.050700,0.6309,0.096000,0.001500,0.019500,0.001200,0.001600,0.091200,0.012400,0.000100,0,0,0,0,0,59,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.1305,0,31,0,0,0.5754,0.7059,0,2,2,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8433,4439.4375,5475.3125,6220.6602,0,9914.7500,32.8186,0.4375,32.0039,0.000977,0.3762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.5993,0.1930,0.2260,0.017600,0.1330,0.019500,0.046200,0.003500,0.014100,0.004300,0.037600,0.001500,0.006500,0.043000,1.4756,0.2832,0.018200,1.2768,0.007600,0.3234,0.030700,0.000500,0.002000,1.6947,1.6471,0.001500,0.000700,0.004300,0.021800,0.061000,0.5594,0.6365,0.001900,0.028300,0.001500,0.001900,0.1227,0.015300,0.000200,1.4773,0,0,0,0,60,0,0,0,0,0,0,2,2,0,0,48,4,96,0,6,9,9,0,2,26,0,26,0,0,0,18,0,0,0,0,0,0,0,0.1417,0,27.5000,0,0,0.4877,0.6294,0,2,2,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,60,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.4575,4439.0625,5475.3203,6220.6602,0,9914.3828,32.8195,0.4375,32.0039,0.001953,0.3762,0,0,26,0.1699,0,0,82235,40366,0,2.9663,0,0,0,0,0,0,0,0,0
,0.1498,0.075000,0.2388,0.013000,0.1362,0.017000,0.075200,0.002200,0.007100,0.003600,0.024300,0.001100,0.005000,0.037500,0.3937,0.3053,0.015000,0.9648,0.005100,0.4525,0.027100,0.000800,0.002800,7.2956,8.3001,0.001900,0.000800,0.004400,0.020500,0.056200,0.6520,0.1132,0.002600,0.025200,0.001300,0.001600,0.7976,0.013900,0.000100,0,0,0,0,0,59,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,0,8,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.1515,0,33,0,0,0.7200,0.8715,0,2,2,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5423,4435.7422,5475.4492,6220.6602,0,9911.1914,32.8186,0.4375,32.0039,0.000977,0.3762,0,0,0,0,7.1738,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,3.1935,0.078700,0.2510,0.009600,0.1095,0.017200,0.065100,0.001900,0.006700,0.003100,0.021100,0.001000,0.004000,0.027700,2.1321,0.3096,0.015500,0.9144,0.005400,0.3244,0.047500,0.000700,0.002700,0.3387,0.4553,0.002000,0.001000,0.003200,0.022800,0.049300,0.9281,0.6075,0.001500,0.021300,0.001500,0.001400,0.090700,0.013700,0.000100,0,0,0,0,0,59,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,13,13,0,2,626,0,26,0,0,2,26,0,0,0,0,0,0,0,0.1315,0,16.5000,4.2529,0,1.0913,1.2228,0,2,2,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8774,4435.7422,5475.4492,6220.6602,0,9911.1914,32.8186,0.4375,32.0039,0.000977,0.3762,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1797,0.064100,0.2347,0.010700,0.099900,0.014300,0.065100,0.002400,0.007800,0.003800,0.024900,0.001100,0.004300,0.033700,0.8313,0.2215,0.010600,1.0002,0.004100,0.4245,0.025800,0.000500,0.069800,0.3113,0.4602,0.001800,0.000900,0.002800,0.018800,0.053100,1.2495,0.1952,0.005000,0.022000,0.001300,0.001600,0.087500,0.012100,0.000200,0,0,0,0,0,63,0,0,0,0,0,0,2,2,1,1,50,2,100,0,6,3,5,0,72,408,0,0,1,0,2,6,0,0,0,0,0,0,0,0.1992,0,31,3.2070,0,1.3630,1.5622,0,2,2,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,63,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2461,4435.6797,5475.5117,6220.6602,0,9911.1914,32.8186,0.4375,32.0039,0.000977,0.3762,0,0,0,0,0,0,5544,391,0,0.3977,1,2,0,0,0,0,0,0,0
,4.4038,0.068000,0.084300,0.013100,0.1085,0.015200,0.087700,0.002400,0.007500,0.003300,0.023900,0.001300,0.005000,0.036600,0.4449,0.2811,0.017600,0.9428,0.004500,0.3562,0.029600,0.001100,0.002500,1.5417,1.4892,0.001600,0.000700,0.004400,0.019400,0.052600,0.5846,0.1171,0.001500,0.021400,0.001500,0.001800,0.088600,0.013100,0.000100,3.0366,0,0,0,0,59,0,0,0,0,0,0,2,2,1,1,50,2,100,0,8,1,1,0,3,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0.1370,0,26.5000,0,0,0.5139,0.6509,0,2,2,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.4760,4435.2930,5475.5117,6220.6602,0,9910.8047,32.8186,0.4375,32.0039,0.000977,0.3762,0,0,0,0.1786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1537,0.062200,0.2619,0.008100,0.080100,0.013800,0.062100,0.002300,0.008500,0.003000,0.024000,0.000800,0.003800,0.029800,1.1790,0.2169,0.010700,0.8645,0.004200,0.4049,0.023600,0.000500,0.002100,0.1719,0.2700,0.001200,0.000900,0.002100,0.014500,0.1099,0.5458,0.4640,0.001300,0.018200,0.001200,0.001400,0.083100,0.014000,0.000200,0,0,0,0,0,59,0,0,0,0,0,0,2,2,0,1,50,2,100,0,10,10,10,0,1,27,0,26,1,0,1,20,0,0,0,0,0,0,0,0.1280,0,27.5000,0,0,0.4772,0.6052,0,2,2,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7914,4435.1914,5475.5117,6220.6602,0,9910.7031,32.8186,0.4375,32.0039,0.000977,0.3762,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.3766,0.073400,0.2440,0.012200,0.1073,0.017200,0.075800,0.003200,0.010900,0.005100,0.035700,0.001200,0.005800,0.040500,1.2332,0.3462,0.017400,1.1975,0.006500,0.3241,0.029800,0.000800,0.002300,0.2569,0.3807,0.002200,0.001000,0.004000,0.024900,0.065800,0.6650,0.5982,0.001900,0.024500,0.001800,0.001700,0.087800,0.013100,0.000100,1.1899,0,0,0,0,60,0,0,0,0,0,0,2,2,0,1,50,2,100,0,8,9,9,0,0,26,0,26,0,0,1,18,0,0,0,0,0,0,0,0.1707,0,21,0,0,0.5707,0.7414,0,2,2,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,60,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.6300,4434.9062,5475.5742,6220.6602,0,9910.4805,32.8186,0.4375,32.0039,0.000977,0.3762,0,0,26,0,0,0,4678,366,0,0.3196,0,0,0,0,0,0,0,0,0
