EVENTS,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/NetworkProfiler,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Exclusive/GameThread/FlushNet,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,Exclusive/GameThread/EventWait/PrePhysics,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AIController,Ticks/PathFollowingComponent,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/GuLiCommanderGameMode,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,Trace/MemoryUsedMb,Trace/BlockPoolMb,Trace/FixedBuffersMb,Trace/SharedBuffersMb,Trace/CacheMb,RHI/DrawCalls,RHI/PrimitivesDrawn,GuLiCommanderPoseDispatch/AttemptedChunks,Ticks/GuLiCombatEffectReplicationComponent,Exclusive/GameThread/Pathfinding,GuLiCommanderAuthority/GameThread/FixedStep,FMsgLogf/FMsgLogfCount,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,Ticks/GuLiBuildingShieldComponent,GuLiCommanderPoseDispatch/SaturatedAtAttempt,Ticks/GameplayDebuggerPlayerManager,Exclusive/GameThread/LogFlush,FMsgLogf/FMsgLogfCount,Exclusive/GameThread/ActorDestroying,Exclusive/GameThread/ActorSpawning,PackageMap/NetGuidExports,Exclusive/GameThread/EventWait
,0.1607,0.068700,0.097800,0.013200,0.1226,0.015900,0.081500,0.002300,0.008900,0.003400,0.025100,0.001100,0.004300,0.036300,0.4860,0.2794,0.9138,0.016300,0.004700,0.4233,0.024800,0.000500,0.002400,0.1198,0.2278,0.001300,0.000900,0.002100,0.015100,0.049800,0.5104,0.1180,0.001800,0.028900,0.002600,0.001600,0.3378,0.032600,0.000200,0,0,0,0,0,59,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.1160,0,27.5000,0,0,0.4420,0.5580,0,2,2,1,2,3,12,1,2,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7003,4625.3242,5493.5117,6242.2617,0,10118.8359,32.8235,0.4375,32.0039,0.005859,0.3762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.3811,0.065000,0.1605,0.014100,0.1034,0.015900,0.065600,0.002400,0.007800,0.003600,0.023900,0.001200,0.003900,0.036300,1.2229,0.2433,0.9260,0.015600,0.003800,0.3197,0.028400,0.000800,0.003000,0.2761,0.4036,0.001800,0.001100,0.002900,0.021000,0.050000,0.4335,0.4303,0.001900,0.019800,0.001300,0.001600,0.086200,0.012500,0.000100,2.0965,0,0,0,0,60,0,0,0,0,0,0,2,2,0,1,48,4,96,0,6,9,9,0,0,26,0,26,0,0,1,18,0,0,0,0,0,0,0,0.1326,0,20,0,0,0.3503,0.4829,0,2,2,1,2,3,12,1,2,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,60,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.1166,4625.2617,5493.5859,6242.3281,0,10118.8477,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1403,0.063700,0.088100,0.011800,0.1026,0.015000,0.060200,0.002300,0.007400,0.003500,0.023300,0.000900,0.004000,0.034800,0.3694,0.2361,0.8839,0.014800,0.003500,0.9462,0.027400,0.000600,0.001900,0.5098,0.6126,0.001600,0.000900,0.003500,0.021000,0.047800,0.5464,0.1017,0.001600,0.020300,0.001300,0.001300,0.090900,0.013500,0.000200,0,0,0,0,0,59,0,0,0,0,0,0,2,2,0,1,48,4,96,0,6,1,1,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0.1287,0,27.5000,0,0,0.4881,0.6168,0,2,2,1,2,3,12,1,2,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7133,4625.1328,5493.5859,6242.3281,0,10118.7188,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.4752,0.1403,0.2019,0.011900,0.097500,0.014900,0.075200,0.002300,0.007400,0.003700,0.021900,0.001000,0.003600,0.026600,1.2994,0.2424,1.2833,0.010300,0.006000,0.3435,0.028000,0.000400,0.002400,1.3882,1.3798,0.001400,0.000800,0.002600,0.018400,0.050100,0.5139,0.5673,0.001700,0.020700,0.001300,0.001500,0.092700,0.013900,0.000100,1.5803,0,0,0,0,59,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,10,10,0,2,26,0,26,0,0,2,20,0,0,0,0,0,0,0,0.1297,0,23,0,0,0.4522,0.5819,0,2,2,1,2,3,12,1,2,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8361,4623.6484,5493.5938,6242.3281,0,10117.2422,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,26,0,0.1154,0,0,82191,40366,0,2.5705,0,0,0,0,0,0,0,0,0
,0.1526,0.068800,0.2653,0.012300,0.1479,0.016900,0.061800,0.002800,0.007800,0.003700,0.025100,0.001100,0.004500,0.033600,0.3721,0.2414,0.8828,0.016400,0.004000,0.3402,0.020900,0.000400,0.066900,7.1351,7.2509,0.001700,0.000800,0.004300,0.020600,0.053900,0.5480,0.1161,0.002100,0.023500,0.001500,0.001500,0.6431,0.012900,0.000200,0,0,0,0,0,60,0,0,0,0,0,0,2,2,0,1,48,4,96,0,6,1,1,0,2,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0.1496,0,25,0,0,0.6171,0.7667,0,2,2,1,2,3,12,1,2,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,60,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.7563,4623.6055,5493.6602,6242.3281,0,10117.2656,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,1,0,7.0101,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.4165,0.082600,0.2411,0.014500,0.096700,0.018200,0.085400,0.002800,0.008100,0.003400,0.024300,0.001100,0.004500,0.032700,2.0682,0.2974,0.9228,0.014600,0.005600,0.3145,0.027000,0.000600,0.002800,0.2576,0.3691,0.001200,0.000800,0.001900,0.015500,0.050800,0.9064,0.5566,0.001600,0.020800,0.001800,0.001900,0.095000,0.013600,0.000100,0.8778,0,0,0,0,59,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,12,12,0,2,626,0,26,0,0,2,24,0,0,0,0,0,0,0,0.1139,0,22,5.5068,0,1.0746,1.1885,0,2,2,1,2,3,12,1,2,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5369,4620.1641,5493.6602,6242.3281,0,10113.8242,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1472,0.084900,0.1417,0.015400,0.1058,0.018000,0.086600,0.002200,0.008300,0.004000,0.026000,0.001300,0.004200,0.032400,0.7381,0.2257,0.8838,0.017900,0.005300,0.3894,0.028200,0.000700,0.002500,0.2736,0.3901,0.001400,0.000900,0.002400,0.016400,0.063600,0.8766,0.2012,0.002100,0.028900,0.001700,0.002900,0.1267,0.014800,0.000100,0.025200,0,0,0,0,59,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,2,4,0,2,400,0,0,0,0,2,5,0,0,0,0,0,0,0,0.1451,0,28.5000,2.9082,0,0.9789,1.1240,0,2,2,1,2,3,12,1,2,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3684,4620.0391,5493.6602,6242.3281,0,10113.6992,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,5384,391,0,0.3914,0,0,0,0,0,0,0,0,0
,5.1059,0.070000,0.2079,0.011400,0.1209,0.017200,0.064400,0.002100,0.007000,0.003600,0.023300,0.001100,0.004400,0.032800,0.5598,0.2112,0.8610,0.016600,0.003600,0.3768,0.035300,0.000800,0.002500,1.9175,1.9044,0.002000,0.001200,0.005200,0.026400,0.065600,1.3173,0.1236,0.006400,0.027000,0.001600,0.002000,0.1220,0.017100,0.000200,3.9176,0,0,0,0,62,0,0,0,0,0,0,2,2,0,1,50,2,100,0,6,1,1,0,70,8,0,0,1,0,1,2,0,0,0,0,0,0,0,0.3128,0,26.5000,0,0,1.1856,1.4984,0,2,2,1,2,3,12,1,2,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.8794,4618.0742,5493.7227,6242.3281,0,10111.7969,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,1,0.1583,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
,0.1521,0.070900,0.3734,0.012100,0.1109,0.017300,0.077600,0.002400,0.007400,0.003900,0.024600,0.001300,0.004600,0.032700,0.9364,0.2372,0.8827,0.015400,0.005700,0.4394,0.025800,0.000800,0.003100,0.2180,0.3551,0.001600,0.000800,0.003100,0.018500,0.064400,0.7290,0.4753,0.001900,0.028400,0.001500,0.002500,0.1179,0.013500,0.000100,0,0,0,0,0,59,0,0,0,0,0,0,2,2,1,1,50,2,100,0,6,9,9,0,0,26,0,26,0,0,2,18,0,0,0,0,0,0,0,0.1882,0,23,0,0,0.7937,0.9819,0,2,2,1,2,3,12,1,2,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9265,4616.1055,5493.7227,6242.3281,0,10109.8281,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.0024,0.067200,0.1827,0.009700,0.088600,0.015000,0.1271,0.002300,0.007600,0.003400,0.025200,0.001100,0.006500,0.031300,1.2841,0.2046,1.2722,0.013100,0.006000,0.3527,0.031900,0.000700,0.002800,0.2410,0.3507,0.001400,0.001000,0.002600,0.017200,0.1178,0.5643,0.4837,0.001400,0.020400,0.001500,0.001500,0.083200,0.012300,0.000200,1.4175,0,0,0,0,59,0,0,0,0,0,0,2,2,1,1,50,2,100,0,10,9,9,0,2,28,0,26,1,0,2,18,0,0,0,0,0,0,0,0.1279,0,25.5000,0,0,0.4989,0.6268,0,2,2,1,2,3,12,1,2,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7635,4615.7031,5493.7227,6242.3281,0,10109.4258,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,26,0,0,0,0,4436,365,0,0.4342,0,0,0,0,0,0,0,0,0
