Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
FEngineLoop::Tick,1791,1791.000000,29.998452,0.003585,0.029205,0.016750,0.016783,0.015442,0.000001,0.000056,0.000009,0.000008
Frame,1791,1791.000000,29.951334,0.003564,0.029183,0.016723,0.016762,0.011401,0.000001,0.000165,0.000006,0.000006
FrameTime,3581,3581.000000,29.892984,0.000023,0.018792,0.008348,0.008175,0.064293,0.000001,0.000160,0.000018,0.000023
FEngineLoop_UpdateTimeAndHandleMaxTickRate,1791,1791.000000,17.095910,0.000007,0.014456,0.009545,0.009494,0.029629,0.000005,0.000143,0.000017,0.000016
Game thread tick wait time,1789,1789.000000,17.066281,0.000002,0.014442,0.009540,0.009483,0.000889,0.000000,0.000002,0.000000,0.000000
Game thread idle time,1789,1789.000000,17.065392,0.000002,0.014442,0.009539,0.009483,17.065392,0.000002,0.014442,0.009539,0.009483
Tick_Engine,1790,1790.000000,12.229354,0.002817,0.018529,0.006832,0.007102,0.005017,0.000002,0.000029,0.000003,0.000003
GameEngine Tick,1790,1790.000000,12.224337,0.002815,0.018526,0.006829,0.007100,0.086642,0.000030,0.010017,0.000048,0.000030
UWorld_Tick,1790,1790.000000,12.009149,0.002717,0.016160,0.006709,0.006926,0.006120,0.000002,0.000019,0.000003,0.000003
FRHIBreadcrumbScope_GameThread_Begin,1790,1790.000000,12.003029,0.002714,0.016156,0.006706,0.006923,0.037564,0.000012,0.000267,0.000021,0.000020
World Tick Time,1790,1790.000000,11.942934,0.002687,0.016126,0.006672,0.006895,0.048779,0.000019,0.000128,0.000027,0.000027
Tick Time,7160,7160.000000,7.564011,0.000003,0.008081,0.001056,0.000003,0.013659,0.000000,0.000133,0.000002,0.000001
ReleaseTickGroup Block,12530,12530.000000,7.453364,0.000000,0.007305,0.000595,0.000074,0.001484,0.000000,0.000003,0.000000,0.000000
TickCompletionEvents,10740,10740.000000,7.451880,0.000003,0.007305,0.000694,0.000077,0.009444,0.000000,0.000030,0.000001,0.000001
ProcessUntilTasksComplete,10740,10740.000000,7.427699,0.000003,0.007297,0.000692,0.000076,0.147462,0.000001,0.000192,0.000014,0.000005
TG_PrePhysics,1790,1790.000000,6.255371,0.001265,0.007321,0.003495,0.003467,0.004854,0.000001,0.000020,0.000003,0.000003
FTickFunctionTask,106456,106456.000000,5.054239,0.000000,0.003551,0.000047,0.000000,0.053757,0.000000,0.000158,0.000001,0.000000
FActorComponentTickFunction::ExecuteTick,54540,54540.000000,3.956066,0.000000,0.003549,0.000073,0.000000,0.015474,0.000000,0.000106,0.000000,0.000000
TickableGameObjects Time,3580,3580.000000,2.389397,0.000012,0.010135,0.000667,0.000115,0.086345,0.000008,0.000132,0.000024,0.000024
GT Tickable Time,1790,1790.000000,2.375830,0.000073,0.010138,0.001327,0.000073,0.001683,0.000000,0.000016,0.000001,0.000001
WaitForTasks,1016,1016.000000,2.168121,0.000010,0.005161,0.002134,0.002247,2.168121,0.000010,0.005161,0.002134,0.002247
UGuLiBattleAuthoritySubsystem,1790,1790.000000,2.076321,0.000003,0.010051,0.001160,0.000003,0.986562,0.000001,0.005123,0.000551,0.000001
CharMoveComp,7160,7160.000000,1.794425,0.000034,0.000939,0.000251,0.000276,0.003867,0.000000,0.000074,0.000001,0.000000
UCharacterMovementComponent_TickComponent,7160,7160.000000,1.790558,0.000034,0.000937,0.000250,0.000276,0.001378,0.000000,0.000032,0.000000,0.000000
Char Movement Total,7160,7160.000000,1.789179,0.000034,0.000937,0.000250,0.000276,0.001393,0.000000,0.000067,0.000000,0.000000
Char Tick,7160,7160.000000,1.787787,0.000034,0.000937,0.000250,0.000275,0.015948,0.000000,0.000035,0.000002,0.000001
Char NonSimulated Time,7160,7160.000000,1.764557,0.000033,0.000930,0.000246,0.000273,0.010746,0.000000,0.000062,0.000002,0.000001
Char PerformMovement,7160,7160.000000,1.748007,0.000032,0.000925,0.000244,0.000271,0.036168,0.000001,0.000114,0.000005,0.000003
NetBroadcastTickTime,1790,1790.000000,1.586949,0.000168,0.002422,0.000887,0.000828,0.000293,0.000000,0.000001,0.000000,0.000000
Net Broadcast Tick Time,1790,1790.000000,1.586656,0.000168,0.002422,0.000886,0.000828,0.007232,0.000002,0.000190,0.000004,0.000004
NetDriver TickFlush,1790,1790.000000,1.579425,0.000166,0.002418,0.000882,0.000825,0.001980,0.000001,0.000039,0.000001,0.000001
GameNetDriver,1790,1790.000000,1.577445,0.000165,0.002417,0.000881,0.000825,0.059629,0.000022,0.000163,0.000033,0.000032
Char PhysWalking,7160,7160.000000,1.461513,0.000031,0.000819,0.000204,0.000226,0.042228,0.000000,0.000106,0.000006,0.000004
SceneQueryTotal,28660,28660.000000,1.296853,0.000005,0.000265,0.000045,0.000044,0.003434,0.000000,0.000023,0.000000,0.000000
SoldierWorldReplication,1790,1790.000000,1.263100,0.000003,0.003549,0.000706,0.000863,0.236476,0.000003,0.000926,0.000132,0.000063
ServerReplicateActors Time,1790,1790.000000,1.244007,0.000068,0.002156,0.000695,0.000638,0.051357,0.000018,0.000186,0.000029,0.000027
Process Prioritized Actors Time,3580,3580.000000,1.068241,0.000000,0.001197,0.000298,0.000278,0.050019,0.000000,0.000159,0.000014,0.000013
Replicate Actor Time,90150,90150.000000,1.016088,0.000002,0.000774,0.000011,0.000010,0.024234,0.000000,0.000128,0.000000,0.000000
MoveComponent(Primitive) Time,21500,21500.000000,1.013070,0.000001,0.000343,0.000047,0.000046,0.046560,0.000000,0.000298,0.000002,0.000000
GeomSweepMultiple,35840,35840.000000,0.961155,0.000000,0.000276,0.000027,0.000013,0.044109,0.000000,0.000099,0.000001,0.000001
MoveComponent,17920,17920.000000,0.915112,0.000014,0.000259,0.000051,0.000046,0.904838,0.000014,0.000243,0.000050,0.000046
GuLiPose_Send,23400,23400.000000,0.847860,0.000001,0.000717,0.000036,0.000030,0.032482,0.000000,0.000155,0.000001,0.000000
NetDriver ProcessRemoteFunction,24000,24000.000000,0.837986,0.000000,0.000713,0.000035,0.000029,0.004491,0.000000,0.000047,0.000000,0.000000
ClientReceiveSoldierPoseChunk,23400,23400.000000,0.811035,0.000000,0.000712,0.000035,0.000029,0.292950,0.000000,0.000191,0.000013,0.000010
TG_StartPhysics,1790,1790.000000,0.614965,0.000198,0.000801,0.000344,0.000338,0.004836,0.000001,0.000085,0.000003,0.000003
FStartPhysicsTickFunction_ExecuteTick,1790,1790.000000,0.577903,0.000189,0.000784,0.000323,0.000321,0.003105,0.000001,0.000032,0.000002,0.000002
[Scene] - StartFrame,3580,3580.000000,0.574797,0.000000,0.000782,0.000161,0.000186,0.020926,0.000001,0.000300,0.000006,0.000004
Char StepUp,3580,3580.000000,0.532901,0.000101,0.000442,0.000149,0.000146,0.008844,0.000001,0.000044,0.000002,0.000002
Physics Tick,5370,5370.000000,0.518692,0.000000,0.000660,0.000097,0.000040,0.028999,0.000000,0.000139,0.000005,0.000005
GuLiCommander_SoldierCombat,300,300.000000,0.479394,0.001153,0.002737,0.001598,0.001489,0.479394,0.001153,0.002737,0.001598,0.001489
Door,7160,7160.000000,0.476918,0.000020,0.000513,0.000067,0.000035,0.003427,0.000000,0.000016,0.000000,0.000000
USkinnedMeshComponent_TickComponent,21480,21480.000000,0.474502,0.000000,0.000506,0.000022,0.000000,0.003446,0.000000,0.000030,0.000000,0.000000
SK_RPF_Door,7160,7160.000000,0.473491,0.000020,0.000512,0.000066,0.000035,0.015223,0.000000,0.000039,0.000002,0.000001
SkinnedMeshComp Tick,21480,21480.000000,0.471056,0.000000,0.000506,0.000022,0.000000,0.041102,0.000000,0.000291,0.000002,0.000000
IpConnection Socket SendTo,18802,18802.000000,0.462869,0.000012,0.000669,0.000025,0.000012,0.462869,0.000012,0.000669,0.000025,0.000012
GuLiTerritoryOutpostActor,57363,57363.000000,0.443499,0.000004,0.000188,0.000008,0.000008,0.173173,0.000002,0.000186,0.000003,0.000002
AnimGameThreadTime,14320,14320.000000,0.427844,0.000003,0.000356,0.000030,0.000020,0.002243,0.000000,0.000011,0.000000,0.000000
Char FindFloor,7160,7160.000000,0.381144,0.000030,0.000177,0.000053,0.000050,0.013997,0.000000,0.000068,0.000002,0.000001
GuLiCommander_ManualAvoidanceRefresh,300,300.000000,0.378619,0.000675,0.001659,0.001262,0.001241,0.378619,0.000675,0.001659,0.001262,0.001241
Start TG_DuringPhysics,1790,1790.000000,0.372284,0.000030,0.000941,0.000208,0.000067,0.002607,0.000000,0.000032,0.000001,0.000001
RefreshBoneTransforms,7160,7160.000000,0.355278,0.000015,0.000356,0.000050,0.000026,0.017048,0.000001,0.000028,0.000002,0.000002
Evolution/Kinematic update and forces,1790,1790.000000,0.354927,0.000101,0.000609,0.000198,0.000193,0.009580,0.000003,0.000042,0.000005,0.000005
ComputeFloorDist,10740,10740.000000,0.350975,0.000004,0.000173,0.000033,0.000032,0.341970,0.000004,0.000170,0.000032,0.000031
FPBDRigidsEvolutionGBF::AdvanceOneTimeStep,1790,1790.000000,0.341137,0.000097,0.000601,0.000191,0.000188,0.016687,0.000004,0.000035,0.000009,0.000009
GeomSweepSingle,7160,7160.000000,0.330415,0.000027,0.000175,0.000046,0.000048,0.011901,0.000000,0.000034,0.000002,0.000001
CommanderNetSync,5835,5835.000000,0.318630,0.000001,0.000695,0.000055,0.000008,0.281969,0.000000,0.000695,0.000048,0.000000
STAT_NetDriver_TickClientConnections,1790,1790.000000,0.267237,0.000012,0.000395,0.000149,0.000140,0.005423,0.000001,0.000018,0.000003,0.000003
Mass Total Frame Time,16110,16110.000000,0.262769,0.000001,0.000429,0.000016,0.000006,0.044527,0.000000,0.000116,0.000003,0.000002
NetConnection Tick,3580,3580.000000,0.261815,0.000002,0.000308,0.000073,0.000076,0.054265,0.000001,0.000227,0.000015,0.000014
