monotonic_seconds,send_ms,receive_ms,ack_ms,capture_ms,wire_read_ms,send_calls,receive_calls,ack_calls,capture_calls,wire_read_calls,decoded_samples,decode_failures,absolute_samples,delta_samples,payload_bytes,cache_bytes,peak_cache_bytes
16801079.238250799,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
16801079.253851101,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
16801079.273239400,0.823397189,0.000000000,0.000000000,0.000000000,0.000000000,26,0,0,0,0,0,0,0,0,0,0,0
16801079.287948299,0.823397189,0.000000000,0.000000000,0.000000000,0.000000000,26,0,0,0,0,0,0,0,0,0,0,0
16801079.308783699,1.907903701,0.000000000,0.000000000,0.000000000,0.000000000,52,0,0,0,0,0,0,0,0,0,0,0
16801079.328003000,1.907903701,0.000000000,0.000000000,0.000000000,0.000000000,52,0,0,0,0,0,0,0,0,0,0,0
16801079.341076899,2.851802856,0.000000000,0.000000000,0.577002764,0.000000000,78,0,0,1,0,0,0,0,0,0,0,0
16801079.355415899,2.851802856,0.000000000,0.000000000,0.577002764,0.000000000,78,0,0,1,0,0,0,0,0,0,0,0
16801079.377298798,2.851802856,0.000000000,0.000000000,0.577002764,0.000000000,78,0,0,1,0,0,0,0,0,0,0,0
16801079.389230698,3.725100309,0.000000000,0.000000000,0.577002764,0.000000000,104,0,0,1,0,0,0,0,0,0,0,0
16801079.408023302,4.636202008,0.000000000,0.000000000,0.577002764,0.000000000,130,0,0,1,0,0,0,0,0,0,0,0
16801079.429567400,4.636202008,0.000000000,0.000000000,0.577002764,0.000000000,130,0,0,1,0,0,0,0,0,0,0,0
16801079.443585999,5.446914583,0.000000000,0.000000000,1.132700592,0.000000000,156,0,0,2,0,0,0,0,0,0,0,0
16801079.456287500,5.446914583,0.000000000,0.000000000,1.132700592,0.000000000,156,0,0,2,0,0,0,0,0,0,0,0
16801079.476667698,6.213303655,0.000000000,0.000000000,1.132700592,0.000000000,182,0,0,2,0,0,0,0,0,0,0,0
16801079.489451099,6.213303655,0.000000000,0.000000000,1.132700592,0.000000000,182,0,0,2,0,0,0,0,0,0,0,0
16801079.508759700,7.143504918,0.000000000,0.000000000,1.132700592,0.000000000,208,0,0,2,0,0,0,0,0,0,0,0
16801079.530370001,7.143504918,0.000000000,0.000000000,1.132700592,0.000000000,208,0,0,2,0,0,0,0,0,0,0,0
16801079.542835802,8.082505316,0.000000000,0.000000000,1.682899892,0.000000000,234,0,0,3,0,0,0,0,0,0,0,0
16801079.558475699,8.082505316,0.000000000,0.000000000,1.682899892,0.000000000,234,0,0,3,0,0,0,0,0,0,0,0
16801079.575336501,9.177293628,0.000000000,0.000000000,1.682899892,0.000000000,260,0,0,3,0,0,0,0,0,0,0,0
16801079.589666300,9.177293628,0.000000000,0.000000000,1.682899892,0.000000000,260,0,0,3,0,0,0,0,0,0,0,0
16801079.610014800,10.109398514,0.000000000,0.000000000,1.682899892,0.000000000,286,0,0,3,0,0,0,0,0,0,0,0
16801079.631397702,10.109398514,0.000000000,0.000000000,1.682899892,0.000000000,286,0,0,3,0,0,0,0,0,0,0,0
16801079.642126899,10.926585644,0.000000000,0.000000000,2.106901258,0.000000000,312,0,0,4,0,0,0,0,0,0,0,0
16801079.656819601,10.926585644,0.000000000,0.000000000,2.106901258,0.000000000,312,0,0,4,0,0,0,0,0,0,0,0
16801079.674921699,10.926585644,0.000000000,0.000000000,2.106901258,0.000000000,312,0,0,4,0,0,0,0,0,0,0,0
16801079.689636901,11.804096401,0.000000000,0.000000000,2.106901258,0.000000000,338,0,0,4,0,0,0,0,0,0,0,0
16801079.709086802,11.804096401,0.000000000,0.000000000,2.106901258,0.000000000,338,0,0,4,0,0,0,0,0,0,0,0
16801079.730310000,12.644600123,0.000000000,0.000000000,2.106901258,0.000000000,364,0,0,4,0,0,0,0,0,0,0,0
16801079.742398500,13.549990952,0.000000000,0.000000000,2.688303590,0.000000000,390,0,0,5,0,0,0,0,0,0,0,0
16801079.756045301,13.549990952,0.000000000,0.000000000,2.688303590,0.000000000,390,0,0,5,0,0,0,0,0,0,0,0
16801079.775816400,13.549990952,0.000000000,0.000000000,2.688303590,0.000000000,390,0,0,5,0,0,0,0,0,0,0,0
16801079.790545300,14.434386045,0.000000000,0.000000000,2.688303590,0.000000000,416,0,0,5,0,0,0,0,0,0,0,0
16801079.811094500,15.205696225,0.000000000,0.000000000,2.688303590,0.000000000,442,0,0,5,0,0,0,0,0,0,0,0
16801079.832971800,15.205696225,0.000000000,0.000000000,2.688303590,0.000000000,442,0,0,5,0,0,0,0,0,0,0,0
16801079.843109898,16.056790948,0.000000000,0.000000000,3.249704838,0.000000000,468,0,0,6,0,0,0,0,0,0,0,0
16801079.855756201,16.056790948,0.000000000,0.000000000,3.249704838,0.000000000,468,0,0,6,0,0,0,0,0,0,0,0
16801079.876588300,16.056790948,0.000000000,0.000000000,3.249704838,0.000000000,468,0,0,6,0,0,0,0,0,0,0,0
16801079.889797602,16.928479075,0.000000000,0.000000000,3.249704838,0.000000000,494,0,0,6,0,0,0,0,0,0,0,0
16801079.908287998,16.928479075,0.000000000,0.000000000,3.249704838,0.000000000,494,0,0,6,0,0,0,0,0,0,0,0
16801079.928640101,17.805486917,0.000000000,0.000000000,3.249704838,0.000000000,520,0,0,6,0,0,0,0,0,0,0,0
16801079.942207001,18.754888326,0.000000000,0.000000000,3.804504871,0.000000000,546,0,0,7,0,0,0,0,0,0,0,0
16801079.956353799,18.754888326,0.000000000,0.000000000,3.804504871,0.000000000,546,0,0,7,0,0,0,0,0,0,0,0
16801079.975697499,19.583284855,0.000000000,0.000000000,3.804504871,0.000000000,572,0,0,7,0,0,0,0,0,0,0,0
