monotonic_seconds,send_ms,receive_ms,ack_ms,capture_ms,wire_read_ms,send_calls,receive_calls,ack_calls,capture_calls,wire_read_calls,decoded_samples,decode_failures,absolute_samples,delta_samples,payload_bytes,cache_bytes,peak_cache_bytes,sample_gap_count,sample_gap_ticks,gap_1,gap_2,gap_3,gap_4,gap_5,gap_6,gap_7,gap_8,gap_9,gap_10,gap_11,gap_12,gap_13,gap_14,gap_15,gap_16,gap_17,gap_18,gap_19,gap_20,gap_21
16803672.492160302,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,0,1888528,1888528,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803672.509880599,0.000000000,0.067502260,0.000000000,0.000000000,0.002700835,0,6,0,0,6,192,0,0,0,0,1891312,1891312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803672.527381498,0.000000000,0.115405768,0.000000000,0.000000000,0.005502254,0,13,0,0,13,300,0,0,0,0,1891408,1891408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803672.544838101,0.000000000,0.115405768,0.000000000,0.000000000,0.005502254,0,13,0,0,13,300,0,0,0,0,1891408,1891408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803672.562223502,0.000000000,0.213902444,0.085100532,0.000000000,0.010009855,0,26,1,0,26,600,0,0,0,0,1894384,1894384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803672.579774201,0.000000000,0.213902444,0.085100532,0.000000000,0.010009855,0,26,1,0,26,600,0,0,0,0,1894384,1894384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803672.595293902,0.000000000,0.349506736,0.085100532,0.000000000,0.016711652,0,39,1,0,39,900,0,0,0,0,1897232,1897232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803672.613908600,0.000000000,0.349506736,0.085100532,0.000000000,0.016711652,0,39,1,0,39,900,0,0,0,0,1897232,1897232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803672.630865701,0.000000000,0.470608473,0.085100532,0.000000000,0.023819506,0,52,1,0,52,1200,0,0,0,0,1900336,1900336,200,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803672.648335401,0.000000000,0.470608473,0.085100532,0.000000000,0.023819506,0,52,1,0,52,1200,0,0,0,0,1900336,1900336,200,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803672.665481299,0.000000000,0.567309558,0.147599727,0.000000000,0.028315932,0,65,2,0,65,1500,0,0,0,0,1903344,1903344,400,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803672.681602001,0.000000000,0.567309558,0.147599727,0.000000000,0.028315932,0,65,2,0,65,1500,0,0,0,0,1903344,1903344,400,400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803672.698589101,0.000000000,0.683519989,0.147599727,0.000000000,0.034119934,0,78,2,0,78,1800,0,0,0,0,1906288,1906288,600,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803672.715946998,0.000000000,0.683519989,0.147599727,0.000000000,0.034119934,0,78,2,0,78,1800,0,0,0,0,1906288,1906288,600,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803672.733809300,0.000000000,0.803422183,0.147599727,0.000000000,0.040821731,0,91,2,0,91,2100,0,0,0,0,1909328,1909328,900,1000,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803672.751782101,0.000000000,0.863719732,0.147599727,0.000000000,0.043623149,0,97,2,0,97,2292,0,0,0,0,1912176,1912176,1092,1192,992,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803672.768494599,0.000000000,0.916220248,0.213399529,0.000000000,0.048026443,0,104,3,0,104,2400,0,0,0,0,1912336,1912336,1200,1400,1000,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803672.786539201,0.000000000,0.964816660,0.213399529,0.000000000,0.050529838,0,109,3,0,109,2560,0,0,0,0,1914672,1914672,1360,1560,1160,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803672.803692602,0.000000000,1.030512154,0.213399529,0.000000000,0.054527074,0,117,3,0,117,2700,0,0,0,0,1915312,1915312,1500,1800,1200,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803672.819845401,0.000000000,1.123812050,0.213399529,0.000000000,0.059533864,0,130,3,0,130,3000,0,0,0,0,1918416,1918416,1800,2200,1400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803672.838566501,0.000000000,1.123812050,0.213399529,0.000000000,0.059533864,0,130,3,0,130,3000,0,0,0,0,1918416,1918416,1800,2200,1400,400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803672.855849698,0.000000000,1.219905913,0.213399529,0.000000000,0.065229833,0,143,3,0,143,3300,0,0,0,0,1921456,1921456,2100,2600,1600,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803672.873441100,0.000000000,1.219905913,0.285599381,0.000000000,0.065229833,0,143,4,0,143,3300,0,0,0,0,1921456,1921456,2100,2600,1600,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803672.892632499,0.000000000,1.335117966,0.285599381,0.000000000,0.072032213,0,156,4,0,156,3600,0,0,0,0,1924496,1924496,2400,3000,1800,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803672.909740899,0.000000000,1.335117966,0.285599381,0.000000000,0.072032213,0,156,4,0,156,3600,0,0,0,0,1924496,1924496,2400,3000,1800,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803672.926819298,0.000000000,1.433804631,0.285599381,0.000000000,0.077430159,0,169,4,0,169,3900,0,0,0,0,1927024,1927024,2700,3400,2000,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803672.943824701,0.000000000,1.433804631,0.285599381,0.000000000,0.077430159,0,169,4,0,169,3900,0,0,0,0,1927024,1927024,2700,3400,2000,700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803672.961017899,0.000000000,1.551799476,0.370599329,0.000000000,0.084321946,0,182,5,0,182,4200,0,0,0,0,1930320,1930320,3000,3800,2200,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803672.979488902,0.000000000,1.551799476,0.370599329,0.000000000,0.084321946,0,182,5,0,182,4200,0,0,0,0,1930320,1930320,3000,3800,2200,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803672.997080401,0.000000000,1.682791859,0.370599329,0.000000000,0.092122704,0,195,5,0,195,4500,0,0,0,0,1933584,1933584,3300,4200,2400,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.014158700,0.000000000,1.682791859,0.370599329,0.000000000,0.092122704,0,195,5,0,195,4500,0,0,0,0,1933584,1933584,3300,4200,2400,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.030957099,0.000000000,1.682791859,0.370599329,0.000000000,0.092122704,0,195,5,0,195,4500,0,0,0,0,1933584,1933584,3300,4200,2400,900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.048897799,0.000000000,1.804478467,0.370599329,0.000000000,0.099427998,0,208,5,0,208,4800,0,0,0,0,1936656,1936656,3600,4600,2600,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.067120001,0.000000000,1.804478467,0.433098525,0.000000000,0.099427998,0,208,6,0,208,4800,0,0,0,0,1936656,1936656,3600,4600,2600,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.084415000,0.000000000,1.928787678,0.433098525,0.000000000,0.106025487,0,221,6,0,221,5100,0,0,0,0,1938672,1938672,3900,5000,2800,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.103379302,0.000000000,2.043992281,0.433098525,0.000000000,0.113122165,0,234,6,0,234,5400,0,0,0,0,1941872,1941872,4200,5400,3000,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.119167998,0.000000000,2.102900296,0.433098525,0.000000000,0.115919858,0,240,6,0,240,5592,0,0,0,0,1944752,1944752,4392,5592,3192,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.137751300,0.000000000,2.163503319,0.433098525,0.000000000,0.120222569,0,247,6,0,247,5700,0,0,0,0,1944784,1944784,4500,5800,3200,1300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.155077402,0.000000000,2.256099135,0.433098525,0.000000000,0.124912709,0,258,6,0,258,5975,0,0,0,0,1947440,1947440,4775,6150,3400,1375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.172055501,0.000000000,2.273600549,0.509295613,0.000000000,0.125911087,0,260,7,0,260,6000,0,0,0,0,1947440,1947440,4800,6200,3400,1400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.187484499,0.000000000,2.349894494,0.509295613,0.000000000,0.131506473,0,267,7,0,267,6210,0,0,0,0,1949392,1949392,5010,6420,3600,1410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.206653100,0.000000000,2.387497574,0.509295613,0.000000000,0.134006143,0,273,7,0,273,6300,0,0,0,0,1949392,1949392,5100,6600,3600,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.223689798,0.000000000,2.387497574,0.509295613,0.000000000,0.134006143,0,273,7,0,273,6300,0,0,0,0,1949392,1949392,5100,6600,3600,1500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.240854401,0.000000000,2.510197461,0.509295613,0.000000000,0.140704215,0,286,7,0,286,6600,0,0,0,0,1952560,1952560,5400,7000,3800,1600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.257436700,0.000000000,2.604503185,0.509295613,0.000000000,0.145602971,0,299,7,0,299,6900,0,0,0,0,1955536,1955536,5700,7400,4000,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.276295900,0.000000000,2.604503185,0.580396503,0.000000000,0.145602971,0,299,8,0,299,6900,0,0,0,0,1955536,1955536,5700,7400,4000,1700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.292860299,0.000000000,2.700801939,0.580396503,0.000000000,0.150289387,0,312,8,0,312,7200,0,0,0,0,1957584,1957584,6000,7800,4200,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.309922501,0.000000000,2.700801939,0.580396503,0.000000000,0.150289387,0,312,8,0,312,7200,0,0,0,0,1957584,1957584,6000,7800,4200,1800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.326951899,0.000000000,2.797599882,0.580396503,0.000000000,0.154785812,0,325,8,0,325,7500,0,0,0,0,1960464,1960464,6300,8200,4400,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.344273198,0.000000000,2.797599882,0.580396503,0.000000000,0.154785812,0,325,8,0,325,7500,0,0,0,0,1960464,1960464,6300,8200,4400,1900,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.361127000,0.000000000,2.893105149,0.642396510,0.000000000,0.160183758,0,338,9,0,338,7800,0,0,0,0,1963440,1963440,6600,8600,4600,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.379554398,0.000000000,2.893105149,0.642396510,0.000000000,0.160183758,0,338,9,0,338,7800,0,0,0,0,1963440,1963440,6600,8600,4600,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.396371700,0.000000000,2.993993461,0.642396510,0.000000000,0.165574253,0,351,9,0,351,8100,0,0,0,0,1966288,1966288,6900,9000,4800,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.414124101,0.000000000,2.993993461,0.642396510,0.000000000,0.165574253,0,351,9,0,351,8100,0,0,0,0,1966288,1966288,6900,9000,4800,2100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.430708598,0.000000000,3.106795251,0.642396510,0.000000000,0.171676278,0,364,9,0,364,8400,0,0,0,0,1968368,1968368,7200,9400,5000,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.449377600,0.000000000,3.106795251,0.642396510,0.000000000,0.171676278,0,364,9,0,364,8400,0,0,0,0,1968368,1968368,7200,9400,5000,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.466766100,0.000000000,3.106795251,0.722695142,0.000000000,0.171676278,0,364,10,0,364,8400,0,0,0,0,1968368,1968368,7200,9400,5000,2200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.484051701,0.000000000,3.204293549,0.722695142,0.000000000,0.176776201,0,377,10,0,377,8700,0,0,0,0,1971344,1971344,7500,9800,5200,2300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.501018800,0.000000000,3.337789327,0.722695142,0.000000000,0.185176730,0,390,10,0,390,9000,0,0,0,0,1974352,1974352,7800,10200,5400,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.517941501,0.000000000,3.337789327,0.722695142,0.000000000,0.185176730,0,390,10,0,390,9000,0,0,0,0,1974352,1974352,7800,10200,5400,2400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.535711300,0.000000000,3.437884152,0.722695142,0.000000000,0.190276653,0,403,10,0,403,9300,0,0,0,0,1975760,1975760,8100,10600,5600,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.556038301,0.000000000,3.437884152,0.722695142,0.000000000,0.190276653,0,403,10,0,403,9300,0,0,0,0,1975760,1975760,8100,10600,5600,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.569885001,0.000000000,3.556076437,0.803492963,0.000000000,0.196676701,0,413,11,0,413,9560,0,0,0,0,1978096,1978096,8360,10920,5800,2560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.588955101,0.000000000,3.635678440,0.803492963,0.000000000,0.200282782,0,422,11,0,422,9792,0,0,0,0,1980976,1980976,8592,11192,5992,2600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.605245098,0.000000000,3.701575100,0.803492963,0.000000000,0.204574317,0,429,11,0,429,9900,0,0,0,0,1981040,1981040,8700,11400,6000,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.623622298,0.000000000,3.701575100,0.803492963,0.000000000,0.204574317,0,429,11,0,429,9900,0,0,0,0,1981040,1981040,8700,11400,6000,2700,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.638405800,0.000000000,3.804683685,0.803492963,0.000000000,0.209566206,0,442,11,0,442,10200,0,0,0,0,1984176,1984176,9000,11800,6200,2800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.659124300,0.000000000,3.804683685,0.803492963,0.000000000,0.209566206,0,442,11,0,442,10200,0,0,0,0,1984176,1984176,9000,11800,6200,2800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.674408000,0.000000000,3.886688501,0.870693475,0.000000000,0.213768333,0,448,12,0,448,10392,0,0,0,0,1985488,1985488,9192,11992,6392,2800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.692078199,0.000000000,4.030574113,0.870693475,0.000000000,0.221472234,0,468,12,0,468,10800,0,0,0,0,1988560,1988560,9600,12600,6600,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.708734300,0.000000000,4.030574113,0.870693475,0.000000000,0.221472234,0,468,12,0,468,10800,0,0,0,0,1988560,1988560,9600,12600,6600,3000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.726538301,0.000000000,4.144173115,0.870693475,0.000000000,0.227767974,0,481,12,0,481,11100,0,0,0,0,1991504,1991504,9900,13000,6800,3100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.744408801,0.000000000,4.144173115,0.870693475,0.000000000,0.227767974,0,481,12,0,481,11100,0,0,0,0,1991504,1991504,9900,13000,6800,3100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.762108199,0.000000000,4.226773977,0.948689878,0.000000000,0.231366605,0,487,13,0,487,11292,0,0,0,0,1992912,1992912,10092,13192,6992,3100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803673.778073698,0.000000000,4.382975399,0.948689878,0.000000000,0.240448862,0,507,13,0,507,11700,0,0,0,0,1994800,1994800,10500,13800,7200,3300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
