monotonic_seconds,engine_seconds,connection,in_total_bytes,out_total_bytes,packet_overhead
16803672.495046102,41.610092003,127.0.0.1:18081,1060524,41824,28
16803672.512705099,41.627751000,127.0.0.1:18081,1062455,41945,28
16803672.530531898,41.645577800,127.0.0.1:18081,1062455,41945,28
16803672.549131501,41.664177403,127.0.0.1:18081,1063696,41983,28
16803672.566690698,41.681736600,127.0.0.1:18081,1064324,42021,28
16803672.583602902,41.698648803,127.0.0.1:18081,1065582,42059,28
16803672.599305101,41.714351002,127.0.0.1:18081,1072036,42097,28
16803672.619544901,41.734590802,127.0.0.1:18081,1073257,42135,28
16803672.637842901,41.752888802,127.0.0.1:18081,1074042,42256,28
16803672.654301099,41.769347001,127.0.0.1:18081,1076282,42294,28
16803672.673373900,41.788419802,127.0.0.1:18081,1076282,42294,28
16803672.691514399,41.806560300,127.0.0.1:18081,1080529,42332,28
16803672.709571000,41.824616902,127.0.0.1:18081,1080607,42370,28
16803672.726658899,41.841704801,127.0.0.1:18081,1082611,42491,28
16803672.746007301,41.861053202,127.0.0.1:18081,1082649,42529,28
16803672.763383899,41.878429800,127.0.0.1:18081,1084653,42567,28
16803672.781816199,41.896862101,127.0.0.1:18081,1084729,42605,28
16803672.798733201,41.913779102,127.0.0.1:18081,1089029,42643,28
16803672.816663500,41.931709401,127.0.0.1:18081,1092538,42681,28
16803672.831990100,41.947036002,127.0.0.1:18081,1094640,42802,28
16803672.854399700,41.969445601,127.0.0.1:18081,1094702,42840,28
16803672.871358301,41.986404203,127.0.0.1:18081,1096824,42878,28
16803672.889899898,42.004945800,127.0.0.1:18081,1101100,42916,28
16803672.908893298,42.023939200,127.0.0.1:18081,1101414,42954,28
16803672.926422101,42.041468002,127.0.0.1:18081,1103537,43075,28
16803672.945569798,42.060615700,127.0.0.1:18081,1103618,43113,28
16803672.963843402,42.078889303,127.0.0.1:18081,1105758,43151,28
16803672.980532501,42.095578402,127.0.0.1:18081,1105833,43189,28
16803672.998450000,42.113495901,127.0.0.1:18081,1113732,43227,28
16803673.016804401,42.131850302,127.0.0.1:18081,1113780,43265,28
16803673.034183301,42.149229202,127.0.0.1:18081,1114998,43386,28
16803673.054335002,42.169380903,127.0.0.1:18081,1116097,43424,28
16803673.070500001,42.185545903,127.0.0.1:18081,1117344,43462,28
16803673.088296998,42.203342900,127.0.0.1:18081,1119498,43500,28
16803673.107162599,42.222208500,127.0.0.1:18081,1122783,43538,28
16803673.124246001,42.239291903,127.0.0.1:18081,1125054,43659,28
16803673.142873399,42.257919300,127.0.0.1:18081,1125092,43697,28
16803673.160501000,42.275546901,127.0.0.1:18081,1127553,43735,28
16803673.179032199,42.294078100,127.0.0.1:18081,1127600,43773,28
16803673.195983201,42.311029103,127.0.0.1:18081,1129869,43811,28
16803673.214157201,42.329203103,127.0.0.1:18081,1129917,43849,28
16803673.231861301,42.346907202,127.0.0.1:18081,1130000,43970,28
16803673.248910900,42.363956802,127.0.0.1:18081,1132215,44008,28
16803673.266476002,42.381521903,127.0.0.1:18081,1134427,44046,28
16803673.283423901,42.398469802,127.0.0.1:18081,1134465,44084,28
16803673.301305100,42.416351002,127.0.0.1:18081,1142395,44122,28
16803673.320423000,42.435468901,127.0.0.1:18081,1142443,44160,28
16803673.337208901,42.452254802,127.0.0.1:18081,1144838,44281,28
16803673.353198498,42.468244400,127.0.0.1:18081,1146091,44319,28
16803673.372221101,42.487267002,127.0.0.1:18081,1147134,44357,28
16803673.387954399,42.503000300,127.0.0.1:18081,1151617,44395,28
16803673.406763099,42.521809001,127.0.0.1:18081,1151908,44433,28
16803673.425218400,42.540264301,127.0.0.1:18081,1154229,44554,28
16803673.442368101,42.557414003,127.0.0.1:18081,1154282,44592,28
16803673.459497001,42.574542902,127.0.0.1:18081,1154384,44630,28
16803673.476886299,42.591932200,127.0.0.1:18081,1155779,44668,28
16803673.493656799,42.608702701,127.0.0.1:18081,1161262,44706,28
16803673.511853099,42.626899000,127.0.0.1:18081,1164771,44744,28
16803673.530008100,42.645054001,127.0.0.1:18081,1167172,44865,28
16803673.547558200,42.662604101,127.0.0.1:18081,1167210,44903,28
16803673.564349402,42.679395303,127.0.0.1:18081,1167272,44941,28
