"Seconds","QpcSeconds","Role","Pid","CpuCoreEquivalents","WorkingSetMiB","PrivateMiB"
"0.0012736","26414.8269131","server","9064","0","5472.6796875","6244.82421875"
"0.0012736","26414.8269131","client1","13852","0","57.1640625","46.19140625"
"0.0012736","26414.8269131","client2","38660","0","58.7265625","48.78515625"
"1.0731997","26415.8972832","server","9064","0.21864846839721508","5472.9921875","6244.82421875"
"1.0731997","26415.8972832","client1","13852","1.4430798914216194","572.87890625","530.2421875"
"1.0731997","26415.8972832","client2","38660","1.3847736331823621","573.15625","536.328125"
"2.0942141","26416.9182775","server","9064","0.2601579370477047","5452.546875","6220.82421875"
"2.0942141","26416.9182775","client1","13852","0.6427431385884469","610.765625","583.06640625"
"2.0942141","26416.9182775","client2","38660","0.535619282157039","710.828125","586.15625"
"3.1221422","26417.9461978","server","9064","0.24320767182062636","5453.00390625","6220.82421875"
"3.1221422","26417.9461978","client1","13852","0.927229248816138","622.4453125","596.89453125"
"3.1221422","26417.9461978","client2","38660","0.7600239744394574","700.0546875","603.99609375"
"4.1443067","26418.9683591","server","9064","0.16814808184005609","5453.31640625","6220.82421875"
"4.1443067","26418.9683591","client1","13852","0.7031647058765982","684.9609375","676.90625"
"4.1443067","26418.9683591","client2","38660","0.9630299232657757","627.0859375","627.1953125"
"5.1739333","26419.9979835","server","9064","0.2124556611105424","5453.56640625","6220.82421875"
"5.1739333","26419.9979835","client1","13852","0.5766653658714722","984.1953125","949.6015625"
"5.1739333","26419.9979835","client2","38660","1.0471029011876731","850.32421875","942.55859375"
"6.1968769","26421.0209462","server","9064","0.1985691097730119","5445.9296875","6212.82421875"
"6.1968769","26421.0209462","client1","13852","0.2291182035842445","1079.4921875","1076.7421875"
"6.1968769","26421.0209462","client2","38660","0.2443927504898608","959.7890625","1078.5"
"7.2236892","26422.0477513","server","9064","0.30433994606414433","5446.1796875","6212.82421875"
"7.2236892","26422.0477513","client1","13852","0","1079.4921875","1076.7421875"
"7.2236892","26422.0477513","client2","38660","0.015216997303207217","959.79296875","1078.5"
"8.2479004","26423.0719878","server","9064","0.3203684943105484","5446.52734375","6212.82421875"
"8.2479004","26423.0719878","client1","13852","0.01525564258621659","1079.51953125","1076.7578125"
"8.2479004","26423.0719878","client2","38660","0.03051128517243318","959.9609375","1078.5"
"9.276737","26424.1007837","server","9064","0.16705762606034816","5446.859375","6212.82421875"
"9.276737","26424.1007837","client1","13852","0.015187056914577106","1079.5234375","1076.7578125"
"9.276737","26424.1007837","client2","38660","6.970859123790891","1071.82421875","1192.64453125"
"10.2990078","26425.1230589","server","9064","0.09170759841717087","5447.109375","6212.82421875"
"10.2990078","26425.1230589","client1","13852","0","1079.6953125","1076.7578125"
"10.2990078","26425.1230589","client2","38660","0.7947991862821475","1078.015625","1195.4453125"
"11.3208745","26426.1449468","server","9064","0.12232515258594884","5447.359375","6212.82421875"
"11.3208745","26426.1449468","client1","13852","8.027588138452893","1191.66796875","1194.9765625"
"11.3208745","26426.1449468","client2","38660","0.9633105766143472","1601.96484375","1877.23828125"
"12.346219","26427.1702684","server","9064","0.2590592722738552","5447.671875","6212.82421875"
"12.346219","26427.1702684","client1","13852","1.0209983083734295","1365.46875","1497.76953125"
"12.346219","26427.1702684","client2","38660","0.9295656240414806","1682.765625","1967.59765625"
"13.393629","26428.2176794","server","9064","0.134259745467391","5447.921875","6212.82421875"
"13.393629","26428.2176794","client1","13852","1.074077963739128","1772.58203125","1916.40625"
"13.393629","26428.2176794","client2","38660","1.417186202155794","1827.28125","2066.31640625"
"14.4250768","26429.249125","server","9064","0.13633748600753232","5448.1875","6212.7109375"
"14.4250768","26429.249125","client1","13852","1.045254059391081","1860.18359375","2014.7578125"
"14.4250768","26429.249125","client2","38660","1.6209012225339954","2039.01171875","2277.1328125"
"15.4530059","26430.2770654","server","9064","0.18240557641572752","5448.44140625","6212.7109375"
"15.4530059","26430.2770654","client1","13852","1.748053440650722","2113.08984375","2229.05078125"
"15.4530059","26430.2770654","client2","38660","4.3017315104709075","2442.24609375","2723.5"
"16.4853783","26431.3094314","server","9064","0.28756580474255217","5448.75390625","6212.7109375"
"16.4853783","26431.3094314","client1","13852","4.616187918235706","2482.09375","2579.7734375"
"16.4853783","26431.3094314","client2","38660","2.3913366920696446","2541.03515625","2835.58203125"
"17.5139686","26432.338076","server","9064","0.16709762866711847","5449.53125","6212.7109375"
"17.5139686","26432.338076","client1","13852","1.2456368682457923","2600.4375","2805.859375"
"17.5139686","26432.338076","client2","38660","1.3519717228521404","2778.171875","3095.0390625"
"18.5444399","26433.3685014","server","9064","0.242607436034366","5449.91796875","6212.7109375"
"18.5444399","26433.3685014","client1","13852","2.8658003381559483","2852.46875","3043.76953125"
"18.5444399","26433.3685014","client2","38660","1.0462445678982033","2833.41796875","3151.6484375"
"19.5802965","26434.4043477","server","9064","0.30168268464959336","5450.3671875","6212.7109375"
"19.5802965","26434.4043477","client1","13852","1.2670672755282921","2936.55078125","3136.07421875"
"19.5802965","26434.4043477","client2","38660","4.525240269743901","3834.75","4473.1640625"
"20.620101","26435.4441536","server","9064","0.1652954954513084","5450.6796875","6212.7109375"
"20.620101","26435.4441536","client1","13852","0.9767461094850042","2977.7421875","3180.03515625"
"20.620101","26435.4441536","client2","38660","3.8168232586029394","2902.1171875","3240.54296875"
"21.6376122","26436.4616667","server","9064","0.19962925223820632","5450.9921875","6212.7109375"
"21.6376122","26436.4616667","client1","13852","3.6854631182438093","4275.0234375","4577.94921875"
"21.6376122","26436.4616667","client2","38660","1.1209950317991586","3026.453125","3359.1015625"
"22.6613422","26437.4853893","server","9064","0.24420501499418792","5451.3046875","6212.7109375"
"22.6613422","26437.4853893","client1","13852","1.434704463090854","3032.94921875","3237.265625"
"22.6613422","26437.4853893","client2","38660","2.6099410977503834","3499.29296875","3881.140625"
"23.6875378","26438.5115778","server","9064","0.22839213109079787","5451.6796875","6212.7109375"
"23.6875378","26438.5115778","client1","13852","2.5275395840714965","3568.953125","3840.859375"
"23.6875378","26438.5115778","client2","38660","1.3094482182539078","4322.6171875","5251.69921875"
"24.7166641","26439.5407103","server","9064","0.18219338092904633","5451.9921875","6212.7109375"
"24.7166641","26439.5407103","client1","13852","1.093160285574278","4174.921875","4718.65234375"
"24.7166641","26439.5407103","client2","38660","1.0020635951097547","4423.60546875","5347.88671875"
"25.7419645","26440.5660226","server","9064","0.22859154253719205","5453.41015625","6212.7109375"
"25.7419645","26440.5660226","client1","13852","1.1581971488551064","4591.32421875","5439.8125"
"25.7419645","26440.5660226","client2","38660","2.804056255122889","4804.83984375","8167.11328125"
"26.7899045","26441.6139534","server","9064","0.19383266217531536","5453.93359375","6212.7109375"
"26.7899045","26441.6139534","client1","13852","0.99898372044201","4647.46484375","5699.9453125"
"26.7899045","26441.6139534","client2","38660","6.888514609615053","5147.671875","9596.15625"
"27.8190897","26442.6431364","server","9064","0.3036382567491254","5454.44140625","6212.8359375"
"27.8190897","26442.6431364","client1","13852","7.226590510629186","5262.64453125","9539.62890625"
"27.8190897","26442.6431364","client2","38660","3.780296296526612","4941.40625","9350.890625"
"28.8579253","26443.6819698","server","9064","0.31585844766967935","5454.91015625","6212.8359375"
"28.8579253","26443.6819698","client1","13852","4.030955427403527","5137.54296875","9470.6484375"
"28.8579253","26443.6819698","client2","38660","3.91062839971984","4811.7421875","9213.5703125"
"29.8933545","26444.7174072","server","9064","0.36216865431262707","5456.5","6212.8359375"
"29.8933545","26444.7174072","client1","13852","4.255481688173368","4819.703125","9131.28125"
"29.8933545","26444.7174072","client2","38660","3.7273190673007868","4814.27734375","9204.7890625"
"30.9358134","26445.7598785","server","9064","0.37471501274534663","5458.5234375","6212.8359375"
"30.9358134","26445.7598785","client1","13852","4.361682748355834","4827.62109375","9134.23828125"
"30.9358134","26445.7598785","client2","38660","3.76213872796328","4734.953125","9121.17578125"
"31.9650684","26446.7891207","server","9064","0.48578826432711036","5461.04296875","6212.8359375"
"31.9650684","26446.7891207","client1","13852","3.4005178502897726","4832.48828125","9136.546875"
"31.9650684","26446.7891207","client2","38660","9.336243205036652","6117.94921875","10987.49609375"
"32.9848356","26447.8088887","server","9064","0.5209522330194578","5461.71484375","6212.0859375"
"32.9848356","26447.8088887","client1","13852","4.68857009717512","4655.1953125","8955.03125"
"32.9848356","26447.8088887","client2","38660","3.248290394121325","6120.35546875","11877.5"
"34.0289899","26448.8530467","server","9064","0.5836062735172378","5462.49609375","6212.0859375"
"34.0289899","26448.8530467","client1","13852","7.571917292300573","5650.609375","10425.93359375"
"34.0289899","26448.8530467","client2","38660","2.8282457870450757","6122.9453125","11878.0546875"
"35.0741406","26449.8981949","server","9064","0.6278998808497186","5463.96484375","6212.0859375"
"35.0741406","26449.8981949","client1","13852","5.11289902977628","6178.453125","11837.73046875"
"35.0741406","26449.8981949","client2","38660","2.9750494354546193","6126.02734375","11878.49609375"
"36.0956009","26450.9196469","server","9064","0.44360510144153426","5464.46484375","6212.0859375"
"36.0956009","26450.9196469","client1","13852","3.579434266804104","6023.8046875","11678.14453125"
"36.0956009","26450.9196469","client2","38660","3.732401543163254","6019.75390625","11759.4140625"
"37.1270267","26451.9510714","server","9064","0.484765845492715","5464.96484375","6212.0859375"
"37.1270267","26451.9510714","client1","13852","3.7266374372252464","6027.9453125","11679.23046875"
"37.1270267","26451.9510714","client2","38660","3.5751481105087732","6021.6484375","11760.25390625"
"38.1489237","26452.9729719","server","9064","0.5351566743027918","5465.46875","6212.0859375"
"38.1489237","26452.9729719","client1","13852","3.5626144317871566","6030.71484375","11679.28125"
"38.1489237","26452.9729719","client2","38660","3.51674385970406","6022.140625","11761.19921875"
"39.1686509","26453.9926921","server","9064","0.6435544722157064","5465.9765625","6212.0859375"
"39.1686509","26453.9926921","client1","13852","2.6508315165075524","5951.2421875","11599.125"
"39.1686509","26453.9926921","client2","38660","3.416967792954822","5878.26953125","11617.06640625"
"40.1889534","26455.0129956","server","9064","0.47473665898103756","5466.4140625","6212.0859375"
"40.1889534","26455.0129956","client1","13852","3.0781312404899532","5948.734375","11596.5"
"40.1889534","26455.0129956","client2","38660","3.476297470603081","5878.07421875","11616.56640625"
"41.2111845","26456.0352314","server","9064","0.4891261868280079","5466.9140625","6212.0859375"
"41.2111845","26456.0352314","client1","13852","2.9194719276296723","5944.76953125","11596.5"
"41.2111845","26456.0352314","client2","38660","2.522056900831916","5878.09375","11616.56640625"
"42.2342866","26457.0583378","server","9064","0.6108872223016647","5471.13671875","6216.5625"
"42.2342866","26457.0583378","client1","13852","2.9475308476055324","5945.15234375","11597.140625"
"42.2342866","26457.0583378","client2","38660","2.871169944817824","5880.8046875","11619.1875"
"43.2784014","26458.1024469","server","9064","0.5088042042886471","5472.2734375","6216.5625"
"43.2784014","26458.1024469","client1","13852","3.0228955666560804","5930.60546875","11582.5625"
"43.2784014","26458.1024469","client2","38660","3.4568756232552205","5818.17578125","11556.41015625"
"44.3054957","26459.1295499","server","9064","0.5172358565323555","5473.3359375","6216.5625"
"44.3054957","26459.1295499","client1","13852","2.9969254040257067","5930.625","11582.5625"
"44.3054957","26459.1295499","client2","38660","3.5597997184873873","5805.3203125","11543.5078125"
"45.3376836","26460.1617335","server","9064","0.4844079261150029","5474.4609375","6216.5625"
"45.3376836","26460.1617335","client1","13852","3.3605799874228324","5930.6328125","11582.5625"
"45.3376836","26460.1617335","client2","38660","3.5119574643337708","5805.5390625","11544.1328125"
"46.363146","26461.1872016","server","9064","0.48758491778928215","5475.5859375","6216.5625"
"46.363146","26461.1872016","client1","13852","3.1388279082685036","5930.953125","11582.640625"
"46.363146","26461.1872016","client2","38660","3.1845389943112488","5805.56640625","11544.1328125"
"47.3877265","26462.2118105","server","9064","0.5032547466987709","5476.6484375","6216.5625"
"47.3877265","26462.2118105","client1","13852","3.187280062425549","5931.09375","11583.265625"
"47.3877265","26462.2118105","client2","38660","4.254790131180518","5805.65234375","11544.19921875"
"48.4059473","26463.2299941","server","9064","0.6445065746054295","5477.7734375","6216.5625"
"48.4059473","26463.2299941","client1","13852","2.9002795857244323","5931.7421875","11584.015625"
"48.4059473","26463.2299941","client2","38660","3.268569056927535","5805.8125","11544.296875"
"49.4247581","26464.2488089","server","9064","0.49076825648098743","5478.8359375","6216.5625"
"49.4247581","26464.2488089","client1","13852","3.558069859487159","5931.6484375","11583.890625"
"49.4247581","26464.2488089","client2","38660","3.972155575892992","5805.96875","11544.43359375"
"50.4545221","26465.2785673","server","9064","0.4855481450118668","5478.93359375","6216.5625"
"50.4545221","26465.2785673","client1","13852","3.9905988168162807","5931.7890625","11584.015625"
"50.4545221","26465.2785673","client2","38660","3.004329147260926","5806.234375","11544.75"
"51.4844273","26466.3084854","server","9064","0.5765093719305427","5478.93359375","6216.5625"
