Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
FEngineLoop::Tick,1793,1793.000000,29.998432,0.003225,0.029201,0.016731,0.016869,0.016318,0.000001,0.000203,0.000009,0.000010
Frame,1793,1793.000000,29.949979,0.003224,0.029172,0.016704,0.016853,0.011422,0.000000,0.000108,0.000006,0.000006
FrameTime,3585,3585.000000,29.891374,0.000023,0.020830,0.008338,0.008220,0.065808,0.000001,0.000189,0.000018,0.000024
FEngineLoop_UpdateTimeAndHandleMaxTickRate,1792,1792.000000,16.766517,0.000008,0.014190,0.009356,0.009319,0.031063,0.000008,0.000138,0.000017,0.000017
Game thread tick wait time,1788,1788.000000,16.735454,0.000001,0.014174,0.009360,0.009307,0.000897,0.000000,0.000004,0.000001,0.000001
Game thread idle time,1788,1788.000000,16.734557,0.000001,0.014174,0.009359,0.009306,16.734557,0.000001,0.014174,0.009359,0.009306
Tick_Engine,1793,1793.000000,12.508254,0.002693,0.020552,0.006976,0.007022,0.005406,0.000001,0.000035,0.000003,0.000003
GameEngine Tick,1793,1793.000000,12.502849,0.002690,0.020549,0.006973,0.007020,0.083354,0.000009,0.004536,0.000046,0.000055
UWorld_Tick,1793,1793.000000,12.287295,0.002590,0.020445,0.006853,0.006919,0.007525,0.000001,0.000164,0.000004,0.000004
FRHIBreadcrumbScope_GameThread_Begin,1793,1793.000000,12.279771,0.002587,0.020442,0.006849,0.006915,0.038269,0.000001,0.000218,0.000021,0.000021
World Tick Time,1793,1793.000000,12.217932,0.002554,0.020418,0.006814,0.006885,0.051317,0.000013,0.000163,0.000029,0.000028
Tick Time,7169,7169.000000,7.601092,0.000003,0.014976,0.001060,0.000003,0.014233,0.000000,0.000082,0.000002,0.000001
ReleaseTickGroup Block,12545,12545.000000,7.489248,0.000000,0.014420,0.000597,0.000000,0.001603,0.000000,0.000003,0.000000,0.000000
TickCompletionEvents,10753,10753.000000,7.487645,0.000003,0.014420,0.000696,0.000149,0.009946,0.000000,0.000070,0.000001,0.000001
ProcessUntilTasksComplete,10753,10753.000000,7.462460,0.000003,0.014415,0.000694,0.000148,0.153679,0.000001,0.000167,0.000014,0.000004
TG_PrePhysics,1793,1793.000000,6.267289,0.001178,0.014436,0.003495,0.003455,0.004327,0.000001,0.000051,0.000002,0.000002
FTickFunctionTask,106569,106569.000000,4.996659,0.000000,0.011737,0.000047,0.000000,0.055048,0.000000,0.000092,0.000001,0.000000
FActorComponentTickFunction::ExecuteTick,54595,54595.000000,3.885160,0.000000,0.011736,0.000071,0.000000,0.014468,0.000000,0.000018,0.000000,0.000000
TickableGameObjects Time,3584,3584.000000,2.478506,0.000013,0.010432,0.000692,0.000118,0.089787,0.000008,0.000206,0.000025,0.000026
GT Tickable Time,1792,1792.000000,2.466008,0.000072,0.010435,0.001376,0.000072,0.001721,0.000000,0.000019,0.000001,0.000001
WaitForTasks,1007,1007.000000,2.253792,0.000004,0.005903,0.002238,0.002387,2.253792,0.000004,0.005903,0.002238,0.002387
UGuLiBattleAuthoritySubsystem,1792,1792.000000,2.156107,0.000004,0.010336,0.001203,0.000004,1.020677,0.000001,0.005245,0.000570,0.000001
CharMoveComp,7168,7168.000000,1.889160,0.000034,0.011736,0.000264,0.000152,0.004136,0.000000,0.000019,0.000001,0.000000
UCharacterMovementComponent_TickComponent,7168,7168.000000,1.885024,0.000034,0.011735,0.000263,0.000152,0.001481,0.000000,0.000025,0.000000,0.000000
Char Movement Total,7168,7168.000000,1.883544,0.000034,0.011734,0.000263,0.000152,0.001344,0.000000,0.000018,0.000000,0.000000
Char Tick,7168,7168.000000,1.882199,0.000033,0.011734,0.000263,0.000152,0.017494,0.000000,0.000080,0.000002,0.000002
Char NonSimulated Time,7168,7168.000000,1.856184,0.000033,0.011726,0.000259,0.000151,0.011897,0.000000,0.000028,0.000002,0.000001
Char PerformMovement,7168,7168.000000,1.838040,0.000032,0.011719,0.000256,0.000150,0.039872,0.000001,0.000136,0.000006,0.000004
NetBroadcastTickTime,1792,1792.000000,1.658449,0.000532,0.003678,0.000925,0.000849,0.000476,0.000000,0.000001,0.000000,0.000000
