Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
Frame,3626,3626.000000,59.685163,0.002871,0.022810,0.016460,0.016566,0.575288,0.000002,0.003109,0.000159,0.000065
SceneRender,3626,3626.000000,58.250941,0.002817,0.022449,0.016065,0.016302,10.509076,0.000002,0.007612,0.002898,0.003500
RenderGraphExecute,7250,7250.000000,48.461609,0.000031,0.021826,0.006684,0.005865,1.768472,0.000002,0.004907,0.000244,0.000052
Scene,3626,3626.000000,45.556760,0.002813,0.020843,0.012564,0.012283,2.054588,0.000005,0.004002,0.000567,0.000328
FEngineLoop::Tick,1813,1813.000000,29.998551,0.001922,0.023337,0.016546,0.016632,0.016727,0.000002,0.000047,0.000009,0.000009
Frame,1813,1813.000000,29.957636,0.001921,0.023312,0.016524,0.016614,0.007024,0.000001,0.000014,0.000004,0.000004
FrameTime,3625,3625.000000,29.920394,0.000101,0.023013,0.008254,0.001953,0.098013,0.000001,0.000105,0.000027,0.000025
Frame Sync Time,1813,1813.000000,16.186251,0.001688,0.015305,0.008928,0.008978,0.018958,0.000002,0.000040,0.000010,0.000010
GameThreadWaitForTask,1813,1813.000000,16.151731,0.001675,0.015287,0.008909,0.008963,0.002189,0.000000,0.000012,0.000001,0.000001
Game thread idle time,1813,1813.000000,16.149542,0.001675,0.015286,0.008908,0.008962,16.149542,0.001675,0.015286,0.008908,0.008962
Tick_Engine,1812,1812.000000,9.874656,0.004129,0.008516,0.005450,0.005370,0.002025,0.000001,0.000004,0.000001,0.000001
GameEngine Tick,1812,1812.000000,9.872631,0.004128,0.008515,0.005448,0.005368,0.092658,0.000038,0.000126,0.000051,0.000051
DiffuseIndirectAndAO,3624,3624.000000,8.679467,0.000042,0.006965,0.002395,0.002385,0.089573,0.000001,0.001847,0.000025,0.000001
LumenScreenProbeGather,3624,3624.000000,7.651079,0.000040,0.006502,0.002111,0.002162,5.251214,0.000001,0.006157,0.001449,0.000561
UWorld_Tick,1812,1812.000000,7.648359,0.003127,0.006979,0.004221,0.004178,0.039920,0.000017,0.000059,0.000022,0.000022
World Tick Time,1812,1812.000000,7.589216,0.003100,0.006935,0.004188,0.004146,0.046454,0.000019,0.000132,0.000026,0.000025
PostProcessing,3624,3624.000000,7.177119,0.000262,0.008569,0.001980,0.002192,0.648396,0.000003,0.002756,0.000179,0.000114
Tick Time,7248,7248.000000,6.170272,0.000003,0.003556,0.000851,0.001277,0.017493,0.000000,0.000021,0.000002,0.000002
ReleaseTickGroup Block,10872,10872.000000,5.946734,0.000032,0.002894,0.000547,0.000292,0.001876,0.000000,0.000142,0.000000,0.000000
TickCompletionEvents,12684,12684.000000,5.944857,0.000001,0.002894,0.000469,0.000235,0.013784,0.000000,0.000108,0.000001,0.000001
ProcessUntilTasksComplete,12684,12684.000000,5.916373,0.000000,0.002885,0.000466,0.000234,0.122996,0.000000,0.000130,0.000010,0.000004
ExecuteTask,125172,125172.000000,5.429877,0.000000,0.002612,0.000043,0.000000,0.052445,0.000000,0.000082,0.000000,0.000000
TemporalSuperResolution(sg.AntiAliasingQuality=%d%s) %dx%d -> %dx%d,3624,3624.000000,5.250259,0.000257,0.008561,0.001449,0.001264,5.250259,0.000257,0.008561,0.001449,0.001264
FTickFunctionTask,110652,110652.000000,5.046467,0.000000,0.002610,0.000046,0.000000,0.068066,0.000000,0.000044,0.000001,0.000001
PrepareImageBasedVRS,1812,1812.000000,4.949534,0.001143,0.005089,0.002732,0.002578,0.042136,0.000001,0.001991,0.000023,0.000001
ContrastAdaptiveShading,1812,1812.000000,4.907398,0.001139,0.005087,0.002708,0.002495,4.907398,0.001139,0.005087,0.002708,0.002495
ParallelDraw,7248,7248.000000,4.657393,0.000000,0.004166,0.000643,0.000085,4.657393,0.000000,0.004166,0.000643,0.000085
RenderDeferredLighting,1812,1812.000000,3.617374,0.000879,0.009441,0.001996,0.002003,0.037860,0.000000,0.002165,0.000021,0.000000
BasePass,1812,1812.000000,3.112101,0.000274,0.004272,0.001717,0.001849,0.226981,0.000014,0.002391,0.000125,0.000038
Total Slate Tick Time,3624,3624.000000,2.754518,0.000011,0.002325,0.000760,0.001285,0.013998,0.000000,0.000117,0.000004,0.000003
Slate::Tick (Time and Widgets),1812,1812.000000,2.713201,0.001307,0.002325,0.001497,0.001420,0.000410,0.000000,0.000012,0.000000,0.000000
Slate::DrawWindows,1812,1812.000000,2.696181,0.001300,0.002261,0.001488,0.001416,0.038078,0.000013,0.000147,0.000021,0.000020
TG_PostUpdateWork,1812,1812.000000,2.623087,0.001157,0.002903,0.001448,0.001386,0.002938,0.000001,0.000005,0.000002,0.000002
ShadowDepths,1812,1812.000000,2.452301,0.000160,0.003678,0.001353,0.001119,0.094682,0.000007,0.002099,0.000052,0.000007
GuLiCommanderPresentationActor,1812,1812.000000,2.377728,0.001045,0.002607,0.001312,0.001266,0.002993,0.000001,0.000023,0.000002,0.000002
GuLiCommanderPresentation_RebuildLocalInstances,1812,1812.000000,2.374735,0.001044,0.002605,0.001311,0.001264,2.088946,0.000907,0.002274,0.001153,0.001114
PrePass %s %s,1812,1812.000000,2.250142,0.000120,0.003514,0.001242,0.001149,0.226160,0.000019,0.002369,0.000125,0.000019
Nanite::DrawGeometry,3623,3623.000000,2.229380,0.000173,0.003083,0.000615,0.000585,0.382451,0.000028,0.002646,0.000106,0.000028
TG_PrePhysics,1812,1812.000000,1.999822,0.000809,0.001576,0.001104,0.001072,0.004742,0.000002,0.000048,0.000003,0.000003
DiffuseIndirectAndAO,3624,3624.000000,1.956972,0.000071,0.003166,0.000540,0.000321,0.410620,0.000000,0.002660,0.000113,0.000067
UpdateRadianceCaches,3622,3622.000000,1.789873,0.000038,0.003275,0.000494,0.000300,1.789873,0.000038,0.003275,0.000494,0.000300
RedrawViewports,1812,1812.000000,1.652931,0.000740,0.001326,0.000912,0.000888,0.010565,0.000003,0.000025,0.000006,0.000006
FViewport_Draw,1812,1812.000000,1.642366,0.000736,0.001320,0.000906,0.000883,0.104439,0.000039,0.000146,0.000058,0.000057
RenderVirtualShadowMaps,1811,1811.000000,1.550441,0.000261,0.003392,0.000856,0.000925,0.137051,0.000021,0.002538,0.000076,0.000021
LumenReflections,1812,1812.000000,1.546351,0.000199,0.003166,0.000853,0.000948,1.546351,0.000199,0.003166,0.000853,0.000948
Draw Window And Children Time,1812,1812.000000,1.534436,0.000727,0.001469,0.000847,0.000794,0.006756,0.000002,0.000121,0.000004,0.000004
Slate::DrawWindow,1812,1812.000000,1.523662,0.000723,0.001461,0.000841,0.000782,0.019027,0.000007,0.000115,0.000011,0.000010
Slate_PaintSlowPath,1812,1812.000000,1.504635,0.000715,0.001444,0.000830,0.000774,0.030520,0.000010,0.000071,0.000017,0.000016
ComputeVolumetricFog,1812,1812.000000,1.460779,0.000226,0.002978,0.000806,0.000866,0.002373,0.000001,0.000003,0.000001,0.000001
VolumetricFog,1812,1812.000000,1.458406,0.000225,0.002976,0.000805,0.000864,0.070008,0.000002,0.002595,0.000039,0.000002
CaptureConvolveSkyEnvMap,3624,3624.000000,1.452679,0.000008,0.003432,0.000401,0.000216,0.037213,0.000000,0.002111,0.000010,0.000000
SViewport_OnPaint,1812,1812.000000,1.451197,0.000695,0.001406,0.000801,0.000745,0.000598,0.000000,0.000016,0.000000,0.000000
Game UI Paint,1812,1812.000000,1.450598,0.000694,0.001405,0.000801,0.000745,0.009927,0.000004,0.000040,0.000005,0.000005
FActorComponentTickFunction::ExecuteTick,50856,50856.000000,1.433237,0.000000,0.000467,0.000028,0.000005,0.014155,0.000000,0.000039,0.000000,0.000000
