monotonic_seconds,send_ms,receive_ms,ack_ms,capture_ms,wire_read_ms,send_calls,receive_calls,ack_calls,capture_calls,wire_read_calls,decoded_samples,decode_failures,absolute_samples,delta_samples,payload_bytes,cache_bytes,peak_cache_bytes,sample_gap_count,sample_gap_ticks,gap_1,gap_2,gap_3,gap_4,gap_5,gap_6,gap_7,gap_8,gap_9,gap_10,gap_11,gap_12,gap_13,gap_14,gap_15,gap_16,gap_17,gap_18,gap_19,gap_20,gap_21
16803813.766829401,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,0,4026272,4026272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803813.781949501,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,0,4026272,4026272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803813.801654201,0.608094037,0.000000000,0.046599656,0.000000000,0.000000000,26,0,1,0,0,0,0,0,600,3244,4032160,4032160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803813.816101499,0.608094037,0.000000000,0.107299536,0.000000000,0.000000000,26,0,2,0,0,0,0,0,600,3244,4032160,4032160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803813.835264400,1.311484724,0.000000000,0.107299536,0.000000000,0.000000000,52,0,2,0,0,0,0,0,1200,6472,4038176,4038176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803813.855886199,1.311484724,0.000000000,0.107299536,0.000000000,0.000000000,52,0,2,0,0,0,0,0,1200,6472,4038176,4038176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803813.868410300,2.109881490,0.000000000,0.107299536,0.488098711,0.000000000,78,0,2,1,0,0,0,0,1800,9946,4043872,4043872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803813.881753899,2.109881490,0.000000000,0.107299536,0.488098711,0.000000000,78,0,2,1,0,0,0,0,1800,9946,4043872,4043872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803813.904217500,2.767577767,0.000000000,0.107299536,0.488098711,0.000000000,104,0,2,1,0,0,0,0,2400,13494,4050144,4050144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16803813.916017100,2.767577767,0.000000000,0.182297081,0.488098711,0.000000000,104,0,4,1,0,0,0,0,2400,13494,4050144,4050144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
