Name,Count,C.Avg,Incl,I.Min,I.Max,I.Avg,I.Med,Excl,E.Min,E.Max,E.Avg,E.Med
Frame,3608,3608.000000,59.657934,0.001841,0.045999,0.016535,0.016560,0.551042,0.000002,0.002813,0.000153,0.000087
SceneRender,3608,3608.000000,58.242080,0.001814,0.045694,0.016142,0.016441,10.416375,0.000001,0.032960,0.002887,0.003497
RenderGraphExecute,7214,7214.000000,48.553868,0.000032,0.045322,0.006731,0.002777,1.979482,0.000002,0.028195,0.000274,0.000002
Scene,3608,3608.000000,45.548644,0.000773,0.017735,0.012624,0.012424,2.013331,0.000022,0.004258,0.000558,0.000322
DiffuseIndirectAndAO,3606,3606.000000,8.725557,0.000042,0.006996,0.002420,0.002641,0.064455,0.000001,0.002082,0.000018,0.000001
LumenScreenProbeGather,3606,3606.000000,7.759066,0.000040,0.006370,0.002152,0.002214,5.409649,0.000001,0.005925,0.001500,0.001048
PostProcessing,3606,3606.000000,7.117327,0.000288,0.005077,0.001974,0.002223,0.644984,0.000003,0.002654,0.000179,0.000137
TemporalSuperResolution(sg.AntiAliasingQuality=%d%s) %dx%d -> %dx%d,3606,3606.000000,5.198384,0.000284,0.004070,0.001442,0.001240,5.198384,0.000284,0.004070,0.001442,0.001240
PrepareImageBasedVRS,1804,1804.000000,4.903082,0.000887,0.006633,0.002718,0.002512,0.044084,0.000001,0.001896,0.000024,0.000001
ContrastAdaptiveShading,1804,1804.000000,4.858998,0.000884,0.006629,0.002693,0.002451,4.858998,0.000884,0.006629,0.002693,0.002451
ParallelDraw,7213,7213.000000,4.741264,0.000000,0.004034,0.000657,0.000123,4.741264,0.000000,0.004034,0.000657,0.000123
RenderDeferredLighting,1803,1803.000000,3.654907,0.000886,0.004239,0.002027,0.002004,0.035756,0.000000,0.002009,0.000020,0.000000
BasePass,1803,1803.000000,3.153185,0.000282,0.004139,0.001749,0.001879,0.232664,0.000023,0.002670,0.000129,0.000023
ShadowDepths,1803,1803.000000,2.416053,0.000680,0.003668,0.001340,0.001103,0.077171,0.000007,0.001890,0.000043,0.000007
PrePass %s %s,1804,1804.000000,2.281551,0.000126,0.003595,0.001265,0.001142,0.233494,0.000011,0.002083,0.000129,0.000032
Nanite::DrawGeometry,3606,3606.000000,2.243308,0.000169,0.005252,0.000622,0.000785,0.377934,0.000028,0.002461,0.000105,0.000028
DiffuseIndirectAndAO,3606,3606.000000,1.984894,0.000072,0.003184,0.000550,0.000323,0.407932,0.000000,0.002544,0.000113,0.000064
UpdateRadianceCaches,3606,3606.000000,1.737039,0.000038,0.003057,0.000482,0.000313,1.737039,0.000038,0.003057,0.000482,0.000313
RenderVirtualShadowMaps,1803,1803.000000,1.579700,0.000264,0.003141,0.000876,0.000903,0.114428,0.000021,0.002366,0.000063,0.000021
LumenReflections,1803,1803.000000,1.576962,0.000190,0.003184,0.000875,0.000946,1.576962,0.000190,0.003184,0.000875,0.000946
ComputeVolumetricFog,1803,1803.000000,1.477950,0.000230,0.003125,0.000820,0.000874,0.002373,0.000000,0.000003,0.000001,0.000001
VolumetricFog,1803,1803.000000,1.475577,0.000229,0.003123,0.000818,0.000872,0.067829,0.000002,0.002099,0.000038,0.000002
CaptureConvolveSkyEnvMap,3606,3606.000000,1.411765,0.000008,0.003453,0.000392,0.000217,0.042230,0.000000,0.002056,0.000012,0.000000
LumenSceneLighting%s,1803,1803.000000,1.365232,0.000167,0.002919,0.000757,0.000834,0.093039,0.000010,0.002190,0.000052,0.000010
FXSystemPreRender,3608,3608.000000,1.337269,0.000000,0.002851,0.000371,0.000115,1.336524,0.000000,0.002851,0.000370,0.000101
Lights,1803,1803.000000,1.304158,0.000169,0.002966,0.000723,0.000847,0.000150,0.000000,0.000002,0.000000,0.000000
DirectLighting,1803,1803.000000,1.304007,0.000169,0.002966,0.000723,0.000847,0.102931,0.000023,0.002038,0.000057,0.000023
UnbatchedLights,1803,1803.000000,1.201076,0.000142,0.002940,0.000666,0.000821,0.000264,0.000000,0.000004,0.000000,0.000000
%s,1803,1803.000000,1.200812,0.000142,0.002940,0.000666,0.000821,0.210376,0.000028,0.002299,0.000117,0.000028
MainPass,3606,3606.000000,1.149007,0.000062,0.002966,0.000319,0.000121,0.671577,0.000039,0.002760,0.000186,0.000066
ShadowProjectionOnOpaque,1803,1803.000000,0.990436,0.000113,0.002898,0.000549,0.000225,0.990436,0.000113,0.002898,0.000549,0.000225
VolumetricFog::LightScattering,1803,1803.000000,0.933138,0.000139,0.003021,0.000518,0.000197,0.933138,0.000139,0.003021,0.000518,0.000197
TranslucencyVolumeLighting,1803,1803.000000,0.902035,0.000132,0.002930,0.000500,0.000189,0.902035,0.000132,0.002930,0.000500,0.000189
HZB,1803,1803.000000,0.815253,0.000128,0.002702,0.000452,0.000128,0.000196,0.000000,0.000002,0.000000,0.000000
BeginOcclusionTests,1803,1803.000000,0.815057,0.000128,0.002702,0.000452,0.000128,0.000198,0.000000,0.000002,0.000000,0.000000
