EVENTS,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/NetworkProfiler,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Exclusive/GameThread/FlushNet,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,Exclusive/GameThread/EventWait/PrePhysics,Exclusive/GameThread/HandleRPC,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,ReplicationRPCs/ServerAcknowledgePoseBlocks,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AIController,Ticks/PathFollowingComponent,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/GuLiCommanderGameMode,Ticks/GuLiCombatEffectReplicationComponent,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,Trace/MemoryUsedMb,Trace/BlockPoolMb,Trace/FixedBuffersMb,Trace/SharedBuffersMb,Trace/CacheMb,RHI/DrawCalls,RHI/PrimitivesDrawn,GuLiCommanderPoseDispatch/AttemptedChunks,Exclusive/GameThread/Pathfinding,GuLiCommanderAuthority/GameThread/FixedStep,FMsgLogf/FMsgLogfCount,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,Ticks/GuLiBuildingShieldComponent,Ticks/GameplayDebuggerPlayerManager,Exclusive/GameThread/LogFlush,FMsgLogf/FMsgLogfCount,Exclusive/GameThread/ActorDestroying,Exclusive/GameThread/ActorSpawning,PackageMap/NetGuidExports,Exclusive/GameThread/EventWait
,0.1617,0.068800,0.1166,0.014100,0.1292,0.016500,0.1329,0.002400,0.008900,0.004500,0.028000,0.001700,0.006400,0.039500,0.5999,0.3860,1.3831,0.021900,0.006600,0.4453,0.027900,0.000700,0.002300,0.1280,0.2406,0.002000,0.000900,0.002900,0.016900,0.053500,0.6013,0.1124,0.002200,0.026300,0.002600,0.001600,0.3317,0.030500,0.000100,0,0,0,0,18.8180,0,0,60,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,0,4,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.1323,0,30.5000,0,0,0.5546,0.6869,0,2,2,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,60,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6668,4628.8086,5459.0625,6194.1133,0,10087.8711,32.8195,0.4375,32.0039,0.001953,0.3762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.5476,0.065300,0.1579,0.014100,0.1047,0.015600,0.070800,0.002300,0.007300,0.003500,0.025200,0.001300,0.005100,0.038800,1.2547,0.2552,0.8836,0.013800,0.005000,0.3158,0.035900,0.001100,0.002800,0.2781,0.3940,0.001800,0.000700,0.003200,0.018500,0.062200,0.4121,0.2731,0.002200,0.023400,0.001400,0.001500,0.1063,0.012400,0.000200,2.5481,0,0,0,0,0,0,59,0,0,0,0,0,0,2,2,0,1,48,4,96,0,6,3,3,0,0,26,0,26,0,0,1,6,0,0,0,0,0,0,0,0.1068,0,22.5000,0,0,0.3625,0.4693,0,2,2,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.5447,4628.5352,5459.0742,6194.1133,0,10087.6094,32.8186,0.4375,32.0039,0.000977,0.3762,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1567,0.066500,0.081300,0.012700,0.1035,0.016600,0.1190,0.002200,0.007600,0.003400,0.024800,0.001300,0.005300,0.035400,0.4856,0.3149,1.2372,0.020700,0.004800,0.4977,0.028200,0.000700,0.002700,0.2869,0.4064,0.002700,0.001200,0.003100,0.020700,0.056400,0.5642,0.1015,0.002100,0.022800,0.001400,0.001900,0.1129,0.013000,0.000200,0.1006,0.076000,0,0,0,0,0,59,0,0,0,0,0,0,2,2,1,2,48,4,96,0,6,0,1,0,0,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0.1522,0,21,0,0,0.4778,0.6300,0,2,2,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0156,4629.1289,5459.0938,6194.1133,0,10088.2227,32.8186,0.4375,32.0039,0.000977,0.3762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.4356,0.1270,0.1931,0.013300,0.096500,0.015900,0.075300,0.002200,0.006700,0.003400,0.022500,0.001200,0.004400,0.034100,0.8794,0.2505,0.8936,0.015100,0.005000,0.3532,0.029900,0.001100,0.066600,0.9776,0.9772,0.001300,0.000600,0.002700,0.018000,0.050300,0.6544,0.2480,0.001500,0.021600,0.001400,0.001400,0.1075,0.013000,0.000100,2.4772,0,0,0,0,0,0,60,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,3,3,0,2,26,0,26,1,0,2,6,0,0,0,0,0,0,0,0.1524,0,24,0,0,0.5670,0.7194,0,2,2,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,60,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6015,4629.0039,5459.1172,6194.1133,0,10088.1211,32.8186,0.4375,32.0039,0.000977,0.3762,0,0,26,0.1070,0,0,82091,40367,0,1.9945,0,0,0,0,0,0,0,0
,0.1737,0.075800,0.085400,0.016200,0.1520,0.017800,0.1413,0.002400,0.008000,0.003800,0.027300,0.001600,0.005400,0.041200,0.6866,0.2683,0.9308,0.016600,0.004200,0.3475,0.026300,0.000500,0.002100,8.2466,8.3713,0.001700,0.000900,0.005000,0.025300,0.059000,0.5761,0.1201,0.001600,0.023900,0.001300,0.001800,0.6566,0.013600,0.000100,0,0.1049,0,0,0,0,0,59,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,0,4,1,0,1,0,0,2,2,0,0,0,0,0,0,0,0.1541,0,23.5000,0,0,0.4890,0.6431,0,2,2,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.6947,4622.3555,5459.1914,6194.1133,0,10081.5469,32.8186,0.4375,32.0039,0.000977,0.3762,0,0,0,0,8.1231,1,0,0,0,0,0,0,0,0,0,0,0,0
,4.5606,0.067800,0.3932,0.011400,0.096400,0.016500,0.063100,0.002000,0.006100,0.002800,0.019600,0.001200,0.004400,0.032100,1.8336,0.2608,1.0315,0.015000,0.005100,0.2864,0.027000,0.000600,0.002400,0.2601,0.3807,0.002400,0.001200,0.002400,0.019300,0.052200,1.2335,0.4056,0.001700,0.023400,0.001400,0.001600,0.1044,0.011200,0.000200,1.2416,0,0,0,0,0,0,59,0,0,0,0,0,0,2,2,0,1,48,4,96,0,6,6,6,0,2,626,0,26,0,0,1,12,0,0,0,0,0,0,0,0.1652,0,25.5000,5.3154,0,1.4520,1.6172,0,2,2,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5655,4619.8672,5461.8906,6198.1133,0,10081.7578,32.8186,0.4375,32.0039,0.000977,0.3762,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.2822,0.071800,0.1221,0.014600,0.094100,0.016700,0.078500,0.002300,0.007300,0.003500,0.024400,0.001100,0.004200,0.039500,0.5188,0.2360,0.8810,0.015600,0.003700,0.3718,0.031100,0.000800,0.002100,0.2610,0.3646,0.001500,0.000700,0.002100,0.015300,0.068400,0.6962,0.094900,0.005000,0.018300,0.001200,0.001500,0.1155,0.013800,0.000200,0,0,0,0,0,0,0,62,0,0,0,0,0,0,2,2,0,1,50,2,100,0,6,1,1,0,68,8,0,0,1,0,1,2,0,0,0,0,0,0,0,0.1445,0,23.5000,0,0,0.6547,0.7992,0,2,2,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6796,4619.6016,5461.8906,6198.1133,0,10081.4922,32.8186,0.4375,32.0039,0.000977,0.3762,0,0,0,0,0,0,5220,391,0,0.2957,2,0,0,0,0,0,0,0
,4.5301,0.073500,0.2439,0.015100,0.1188,0.016300,0.098100,0.002400,0.009000,0.003800,0.028300,0.001400,0.004800,0.038600,1.2702,0.2803,0.9491,0.012000,0.005600,0.3064,0.029700,0.000800,0.002400,1.3850,2.2944,0.001900,0.000900,0.004800,0.022200,0.1152,1.0606,0.3553,0.001600,0.021500,0.001600,0.001500,0.1047,0.013500,0.000100,2.3942,0,0,0,0,0,0,59,0,0,0,0,0,0,2,2,1,2,50,2,100,0,10,5,7,0,10,428,0,26,1,0,3,10,0,0,0,0,0,0,0,0.1790,0,37.5000,3.7930,0,1.1826,1.3616,0,2,2,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7320,4619.4141,5461.9531,6198.1133,0,10081.3672,32.8186,0.4375,32.0039,0.000977,0.3762,0,0,26,0.1238,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1554,0.067900,0.071600,0.013200,0.1021,0.016600,0.1107,0.002300,0.006900,0.003400,0.022600,0.001200,0.004000,0.036400,0.4712,0.2502,0.8898,0.021500,0.005300,0.3575,0.023200,0.000600,0.002300,0.1754,0.2783,0.001500,0.000800,0.002400,0.014500,0.2248,0.4056,0.096000,0.001400,0.023400,0.001300,0.001800,0.1138,0.013400,0.000100,0,0.079000,0,0,0,0,0,59,0,0,0,0,0,0,2,2,1,1,50,2,100,0,8,1,1,0,4,1,0,1,1,0,2,2,0,0,0,0,0,0,0,0.1015,0,18.5000,0,0,0.3583,0.4598,0,2,2,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,2,4,2,2,6,1,1,59,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7883,4619.3047,5461.9531,6198.1133,0,10081.2578,32.8186,0.4375,32.0039,0.000977,0.3762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.2916,0.070300,0.2645,0.014000,0.095000,0.015600,0.1154,0.002100,0.006500,0.003400,0.021700,0.001200,0.004200,0.034800,1.3254,0.2951,0.9165,0.016300,0.006000,0.3154,0.030700,0.000900,0.070900,0.2368,0.3466,0.001500,0.000900,0.002500,0.018600,0.1049,0.5355,0.2631,0.001500,0.021200,0.001200,0.001500,0.1015,0.013400,0.000100,2.1056,0.069900,0,0,0,0,0,60,0,0,0,0,0,0,2,2,1,1,49,3,97,0,7,3,3,0,0,27,0,27,1,0,2,6,0,0,0,0,0,0,0,0.1248,0,27,0,0,0.5441,0.6689,0,2,2,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,2,4,2,2,6,1,1,60,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.1225,4619.0820,5461.9531,6198.1133,0,10081.0352,32.8186,0.4375,32.0039,0.000977,0.3762,0,0,26,0,0,0,4464,365,0,0.2797,0,0,0,0,0,0,0,0
