seconds,frame_ms,sim_steps,sim_ms,combat_ms,alive,ordered_moving,observed_moving,blocked,arrived,in_bytes_s,out_bytes_s,pose_age_ms
0.016334,16.33410,0,0.00000,0.00000,1200,1200,0,0,0,5835,117617,0.000
0.035128,18.79420,0,0.00000,0.00000,1200,1200,0,0,0,5835,117617,0.000
0.049131,14.00300,0,0.00000,0.00000,1200,1200,0,0,0,5835,117617,0.000
0.068743,19.61190,0,0.00000,0.00000,1200,1200,0,0,0,5835,117617,0.000
0.089886,21.14260,1,8.11770,1.87860,1200,1200,0,0,0,5900,116470,0.000
0.102002,12.11660,0,0.00000,0.00000,1200,1200,0,0,0,5900,116470,0.000
0.114681,12.67900,0,0.00000,0.00000,1200,1200,0,0,0,5900,116470,0.000
0.138419,23.73730,0,0.00000,0.00000,1200,1200,0,0,0,5900,116470,0.000
0.149198,10.77890,0,0.00000,0.00000,1200,1200,0,0,0,5900,116470,0.000
0.169331,20.13380,0,0.00000,0.00000,1200,1200,0,0,0,5900,116470,0.000
0.190671,21.33950,1,7.49420,1.37610,1200,1200,0,0,0,5900,116470,0.000
0.203022,12.35080,0,0.00000,0.00000,1200,1200,0,0,0,5900,116470,0.000
0.217366,14.34430,0,0.00000,0.00000,1200,1200,0,0,0,5900,116470,0.000
0.234112,16.74630,0,0.00000,0.00000,1200,1200,0,0,0,5900,116470,0.000
0.248994,14.88120,0,0.00000,0.00000,1200,1200,0,0,0,5900,116470,0.000
0.269138,20.14420,0,0.00000,0.00000,1200,1200,0,0,0,5900,116470,0.000
0.291311,22.17370,1,7.65730,1.55620,1200,1200,0,0,0,5900,116470,0.000
0.304279,12.96780,0,0.00000,0.00000,1200,1200,0,0,0,5900,116470,0.000
0.317334,13.05460,0,0.00000,0.00000,1200,1200,0,0,0,5900,116470,0.000
0.335487,18.15290,0,0.00000,0.00000,1200,1200,0,0,0,5900,116470,0.000
0.352611,17.12450,0,0.00000,0.00000,1200,1200,0,0,0,5900,116470,0.000
0.370549,17.93760,0,0.00000,0.00000,1200,1200,0,0,0,5900,116470,0.000
0.393270,22.72070,1,7.16190,1.30740,1200,1200,0,0,0,5900,116470,0.000
0.405001,11.73150,0,0.00000,0.00000,1200,1200,0,0,0,5900,116470,0.000
0.418316,13.31520,0,0.00000,0.00000,1200,1200,0,0,0,5900,116470,0.000
0.439477,21.16040,0,0.00000,0.00000,1200,1200,0,0,0,5900,116470,0.000
0.451898,12.42180,0,0.00000,0.00000,1200,1200,0,0,0,5900,116470,0.000
0.471464,19.56550,0,0.00000,0.00000,1200,1200,0,0,0,5900,116470,0.000
0.492341,20.87750,1,7.14760,1.32110,1200,1200,0,0,0,5900,116470,0.000
0.507063,14.72110,0,0.00000,0.00000,1200,1200,0,0,0,5900,116470,0.000
0.517099,10.03670,0,0.00000,0.00000,1200,1200,1200,0,0,5900,116470,0.000
0.537787,20.68780,0,0.00000,0.00000,1200,1200,1200,0,0,5900,116470,0.000
0.551154,13.36680,0,0.00000,0.00000,1200,1200,1200,0,0,5900,116470,0.000
0.572072,20.91800,0,0.00000,0.00000,1200,1200,1200,0,0,5900,116470,0.000
0.594053,21.98150,1,7.65620,1.40250,1200,1200,1200,0,0,5900,116470,0.000
0.605701,11.64800,0,0.00000,0.00000,1200,1200,1200,0,0,5900,116470,0.000
0.618147,12.44590,0,0.00000,0.00000,1200,1200,1200,0,0,5900,116470,0.000
0.638950,20.80240,0,0.00000,0.00000,1200,1200,1200,0,0,5900,116470,0.000
0.652211,13.26090,0,0.00000,0.00000,1200,1200,1200,0,0,5900,116470,0.000
0.669816,17.60580,0,0.00000,0.00000,1200,1200,1200,0,0,5900,116470,0.000
0.693290,23.47390,1,7.00790,2.05220,1200,1200,1200,0,0,5900,116470,0.000
0.706448,13.15740,0,0.00000,0.00000,1200,1200,1200,0,0,5900,116470,0.000
0.717778,11.33040,0,0.00000,0.00000,1200,1200,1200,0,0,5900,116470,0.000
0.737748,19.97040,0,0.00000,0.00000,1200,1200,1200,0,0,5900,116470,0.000
0.753202,15.45350,0,0.00000,0.00000,1200,1200,1200,0,0,5900,116470,0.000
0.771205,18.00270,0,0.00000,0.00000,1200,1200,1200,0,0,5900,116470,0.000
0.795394,24.18990,1,8.83290,1.35030,1200,1200,1200,0,0,5900,116470,0.000
0.805911,10.51600,0,0.00000,0.00000,1200,1200,1200,0,0,5900,116470,0.000
0.820708,14.79740,0,0.00000,0.00000,1200,1200,1200,0,0,5900,116470,0.000
0.837619,16.91120,0,0.00000,0.00000,1200,1200,1200,0,0,5900,116470,0.000
0.850788,13.16920,0,0.00000,0.00000,1200,1200,1200,0,0,5900,116470,0.000
0.870933,20.14510,0,0.00000,0.00000,1200,1200,1200,0,0,5900,116470,0.000
0.891965,21.03130,1,7.37070,1.40250,1200,1200,1200,0,0,5900,116470,0.000
0.904738,12.77360,0,0.00000,0.00000,1200,1200,1200,0,0,5900,116470,0.000
0.917647,12.90900,0,0.00000,0.00000,1200,1200,1200,0,0,5900,116470,0.000
0.937196,19.54850,0,0.00000,0.00000,1200,1200,1200,0,0,5900,116470,0.000
0.954159,16.96290,0,0.00000,0.00000,1200,1200,1200,0,0,5900,116470,0.000
0.971976,17.81680,0,0.00000,0.00000,1200,1200,1200,0,0,5900,116470,0.000
0.993733,21.75760,1,7.36080,1.38710,1200,1200,1200,0,0,5900,116470,0.000
1.006941,13.20750,0,0.00000,0.00000,1200,1200,1200,0,0,5900,116470,0.000
1.019215,12.27470,0,0.00000,0.00000,1200,1200,1200,0,0,5801,158678,0.000
1.039858,20.64280,0,0.00000,0.00000,1200,1200,1200,0,0,5801,158678,0.000
1.053616,13.75750,0,0.00000,0.00000,1200,1200,1200,0,0,5801,158678,0.000
1.074337,20.72100,0,0.00000,0.00000,1200,1200,1200,0,0,5801,158678,0.000
1.095463,21.12680,1,7.66190,1.65180,1200,1200,1200,0,0,5748,205720,0.000
1.107074,11.61040,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.121328,14.25400,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.139604,18.27610,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.155700,16.09650,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.173664,17.96400,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.192689,19.02470,1,6.01300,1.54110,1200,1200,1200,0,0,5748,205720,0.000
1.207673,14.98370,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.220950,13.27680,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.241245,20.29540,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.256336,15.09150,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.274151,17.81440,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.297713,23.56170,1,8.68670,1.92850,1200,1200,1200,0,0,5748,205720,0.000
1.310190,12.47760,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.322268,12.07780,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.341603,19.33530,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.356999,15.39560,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.374704,17.70490,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.397402,22.69810,1,6.28850,1.64890,1200,1200,1200,0,0,5748,205720,0.000
1.412927,15.52550,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.428892,15.96500,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.441340,12.44780,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.459442,18.10160,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.482331,22.88900,1,7.43210,1.35760,1200,1200,1200,0,0,5748,205720,0.000
1.492382,10.05140,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.508113,15.73060,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.526984,18.87160,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.541586,14.60170,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.561106,19.52040,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.580231,19.12500,1,6.10070,1.56330,1200,1200,1200,0,0,5748,205720,0.000
1.592010,11.77890,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.610666,18.65550,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.625333,14.66740,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.640795,15.46140,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.662246,21.45100,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.681135,18.88950,1,6.14240,1.41730,1200,1200,1200,0,0,5748,205720,0.000
1.694543,13.40770,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.708661,14.11780,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.727924,19.26340,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.742728,14.80400,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.761251,18.52300,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.783837,22.58600,1,8.33810,2.23190,1200,1200,1200,0,0,5748,205720,0.000
1.794532,10.69480,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.807664,13.13160,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.829296,21.63220,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.840827,11.53110,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.861527,20.70040,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.882221,20.69340,1,5.78010,1.38440,1200,1200,1200,0,0,5748,205720,0.000
1.893668,11.44690,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.909569,15.90130,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.927966,18.39700,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.941539,13.57310,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.961952,20.41350,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
1.983589,21.63640,1,6.91970,2.08450,1200,1200,1200,0,0,5748,205720,0.000
1.995701,12.11230,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
2.008189,12.48780,0,0.00000,0.00000,1200,1200,1200,0,0,5748,205720,0.000
2.028680,20.49130,0,0.00000,0.00000,1200,1200,1200,0,0,5692,190894,0.000
2.043281,14.60050,0,0.00000,0.00000,1200,1200,1200,0,0,5692,190894,0.000
2.062088,18.80720,0,0.00000,0.00000,1200,1200,1200,0,0,5692,190894,0.000
