monotonic_seconds,engine_seconds,connection,in_total_bytes,out_total_bytes,packet_overhead
16803952.976266500,82.902860299,127.0.0.1:49901,42350,1080767,28
16803952.976266500,82.902860299,127.0.0.1:49910,36139,1067306,28
16803952.992600601,82.919194400,127.0.0.1:49901,42388,1080853,28
16803952.992600601,82.919194400,127.0.0.1:49910,36177,1067392,28
16803953.011394799,82.937988598,127.0.0.1:49901,42388,1082687,28
16803953.011394799,82.937988598,127.0.0.1:49910,36215,1069239,28
16803953.025397800,82.951991599,127.0.0.1:49901,42547,1082725,28
16803953.025397800,82.951991599,127.0.0.1:49910,36215,1069239,28
16803953.045009699,82.971603498,127.0.0.1:49901,42585,1084535,28
16803953.045009699,82.971603498,127.0.0.1:49910,36253,1071124,28
16803953.066152301,82.992746100,127.0.0.1:49901,42623,1084621,28
16803953.066152301,82.992746100,127.0.0.1:49910,36375,1071210,28
16803953.078268901,83.004862700,127.0.0.1:49901,42623,1088750,28
16803953.078268901,83.004862700,127.0.0.1:49910,36413,1075352,28
16803953.090947900,83.017541699,127.0.0.1:49901,42623,1089031,28
16803953.090947900,83.017541699,127.0.0.1:49910,36451,1075633,28
16803953.114685200,83.041278999,127.0.0.1:49901,42699,1094590,28
16803953.114685200,83.041278999,127.0.0.1:49910,36489,1077648,28
16803953.125464100,83.052057900,127.0.0.1:49901,42820,1094682,28
16803953.125464100,83.052057900,127.0.0.1:49910,36527,1077734,28
16803953.145597901,83.072191700,127.0.0.1:49901,42858,1096655,28
16803953.145597901,83.072191700,127.0.0.1:49910,36649,1079715,28
16803953.166937400,83.093531199,127.0.0.1:49901,42896,1096708,28
16803953.166937400,83.093531199,127.0.0.1:49910,36687,1079768,28
16803953.179288201,83.105882000,127.0.0.1:49901,42934,1100854,28
16803953.179288201,83.105882000,127.0.0.1:49910,36687,1083927,28
16803953.193632498,83.120226298,127.0.0.1:49901,42934,1100940,28
16803953.193632498,83.120226298,127.0.0.1:49910,36687,1087475,28
16803953.210378800,83.136972599,127.0.0.1:49901,42972,1100978,28
16803953.210378800,83.136972599,127.0.0.1:49910,36725,1087513,28
16803953.225260001,83.151853800,127.0.0.1:49901,43010,1102953,28
16803953.225260001,83.151853800,127.0.0.1:49910,36763,1089501,28
16803953.245404199,83.171997998,127.0.0.1:49901,43131,1104958,28
16803953.245404199,83.171997998,127.0.0.1:49910,36801,1091637,28
16803953.267577901,83.194171701,127.0.0.1:49901,43207,1105044,28
16803953.267577901,83.194171701,127.0.0.1:49910,36923,1091723,28
16803953.280545700,83.207139499,127.0.0.1:49901,43245,1112857,28
16803953.280545700,83.207139499,127.0.0.1:49910,36961,1096052,28
16803953.293600298,83.220194098,127.0.0.1:49901,43245,1112857,28
16803953.293600298,83.220194098,127.0.0.1:49910,36999,1096090,28
16803953.311753199,83.238346998,127.0.0.1:49901,43283,1112895,28
16803953.311753199,83.238346998,127.0.0.1:49910,37037,1096128,28
16803953.328877699,83.255471498,127.0.0.1:49901,43404,1115033,28
16803953.328877699,83.255471498,127.0.0.1:49910,37075,1098279,28
16803953.346815299,83.273409098,127.0.0.1:49901,43404,1115324,28
16803953.346815299,83.273409098,127.0.0.1:49910,37197,1098571,28
16803953.369536001,83.296129800,127.0.0.1:49901,43442,1117451,28
16803953.369536001,83.296129800,127.0.0.1:49910,37197,1100711,28
16803953.381267499,83.307861298,127.0.0.1:49901,43480,1121726,28
16803953.381267499,83.307861298,127.0.0.1:49910,37235,1104995,28
16803953.394582700,83.321176499,127.0.0.1:49901,43518,1121827,28
16803953.394582700,83.321176499,127.0.0.1:49910,37273,1108558,28
16803953.415743101,83.342336901,127.0.0.1:49901,43556,1124068,28
16803953.415743101,83.342336901,127.0.0.1:49910,37311,1110684,28
16803953.428164899,83.354758698,127.0.0.1:49901,43677,1124106,28
16803953.428164899,83.354758698,127.0.0.1:49910,37349,1110722,28
16803953.447730400,83.374324199,127.0.0.1:49901,43715,1126226,28
16803953.447730400,83.374324199,127.0.0.1:49910,37471,1112856,28
16803953.468607899,83.395201698,127.0.0.1:49901,43753,1126312,28
16803953.468607899,83.395201698,127.0.0.1:49910,37509,1112942,28
16803953.483329002,83.409922801,127.0.0.1:49901,43791,1130680,28
16803953.483329002,83.409922801,127.0.0.1:49910,37509,1117323,28
16803953.493365701,83.419959500,127.0.0.1:49901,43829,1130718,28
16803953.493365701,83.419959500,127.0.0.1:49910,37547,1117361,28
16803953.514053501,83.440647300,127.0.0.1:49901,43867,1136514,28
16803953.514053501,83.440647300,127.0.0.1:49910,37585,1119614,28
16803953.527420301,83.454014100,127.0.0.1:49901,43988,1136600,28
16803953.527420301,83.454014100,127.0.0.1:49910,37623,1119700,28
