seconds,frame_ms,sim_steps,sim_ms,combat_ms,alive,ordered_moving,observed_moving,blocked,arrived,in_bytes_s,out_bytes_s,pose_age_ms
0.017136,17.13620,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,7.002
0.035277,18.14130,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,25.143
0.052922,17.64420,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,42.788
0.069840,16.91880,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,15.754
0.088486,18.64570,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,17.702
0.106596,18.10940,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,35.812
0.122495,15.89960,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,14.717
0.142213,19.71780,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,34.435
0.157875,15.66190,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,14.870
0.176340,18.46480,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,17.382
0.193078,16.73800,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,34.120
0.211067,17.98930,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,17.145
0.228113,17.04570,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,34.190
0.246143,18.03060,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,17.237
0.263563,17.41960,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,34.657
0.279908,16.34490,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,15.505
0.296302,16.39440,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,31.899
0.314554,18.25140,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,50.151
0.330476,15.92200,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,15.088
0.348658,18.18210,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,33.270
0.366086,17.42800,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,16.604
0.383261,17.17520,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,16.217
0.400861,17.59990,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,33.817
0.417896,17.03530,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,50.852
0.435257,17.36090,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,16.567
0.452723,17.46590,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,16.612
0.469776,17.05300,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,33.665
0.487041,17.26510,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,16.344
0.503665,16.62410,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,32.968
0.522400,18.73440,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,17.770
0.538448,16.04830,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,15.101
0.557419,18.97120,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,18.176
0.574204,16.78500,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,15.727
0.591826,17.62190,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,16.822
0.609482,17.65640,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,34.479
0.626475,16.99290,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,16.100
0.643890,17.41440,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,16.612
0.661872,17.98210,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,34.594
0.678811,16.93900,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,16.011
0.696055,17.24430,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,33.256
0.714575,18.51960,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,51.775
0.731035,16.46000,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,15.642
0.747585,16.55090,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,32.193
0.765103,17.51800,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,16.716
0.782206,17.10240,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,16.197
0.799434,17.22830,0,0.00000,0.00000,1200,1200,1200,0,0,57139,3051,33.425
0.817091,17.65730,0,0.00000,0.00000,1200,1200,1200,0,0,95129,2871,16.763
0.834369,17.27780,0,0.00000,0.00000,1200,1200,1200,0,0,95129,2871,34.041
0.852163,17.79390,0,0.00000,0.00000,1200,1200,1200,0,0,95129,2871,51.835
0.869237,17.07370,0,0.00000,0.00000,1200,1200,1200,0,0,95129,2871,16.096
0.885906,16.66930,0,0.00000,0.00000,1200,1200,1200,0,0,95129,2871,15.800
0.903934,18.02820,0,0.00000,0.00000,1200,1200,1200,0,0,95129,2871,33.828
0.920652,16.71760,0,0.00000,0.00000,1200,1200,1200,0,0,95129,2871,15.885
0.939789,19.13710,0,0.00000,0.00000,1200,1200,1200,0,0,95129,2871,35.023
0.955680,15.89080,0,0.00000,0.00000,1200,1200,1200,0,0,95129,2871,14.908
0.974754,19.07450,0,0.00000,0.00000,1200,1200,1200,0,0,95129,2871,18.200
0.990415,15.66090,0,0.00000,0.00000,1200,1200,1200,0,0,95129,2871,14.994
1.009372,18.95680,0,0.00000,0.00000,1200,1200,1200,0,0,95129,2871,17.973
1.025868,16.49570,0,0.00000,0.00000,1200,1200,1200,0,0,95129,2871,15.798
1.043443,17.57550,0,0.00000,0.00000,1200,1200,1200,0,0,95129,2871,16.570
1.060072,16.62840,0,0.00000,0.00000,1200,1200,1200,0,0,95129,2871,33.199
1.077438,17.36670,0,0.00000,0.00000,1200,1200,1200,0,0,95129,2871,16.303
