monotonic_seconds,send_ms,receive_ms,ack_ms,capture_ms,wire_read_ms,send_calls,receive_calls,ack_calls,capture_calls,wire_read_calls,decoded_samples,decode_failures,absolute_samples,delta_samples,payload_bytes,cache_bytes,peak_cache_bytes,sample_gap_count,sample_gap_ticks,gap_1,gap_2,gap_3,gap_4,gap_5,gap_6,gap_7,gap_8,gap_9,gap_10,gap_11,gap_12,gap_13,gap_14,gap_15,gap_16,gap_17,gap_18,gap_19,gap_20,gap_21
16806286.864050802,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,0,1897520,1897520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806286.881186999,0.000000000,0.103503466,0.000000000,0.000000000,0.004597008,0,13,0,0,13,300,0,0,0,0,1900464,1900464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806286.899328299,0.000000000,0.103503466,0.000000000,0.000000000,0.004597008,0,13,0,0,13,300,0,0,0,0,1900464,1900464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806286.916972499,0.000000000,0.103503466,0.000000000,0.000000000,0.004597008,0,13,0,0,13,300,0,0,0,0,1900464,1900464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806286.933891300,0.000000000,0.248804688,0.000000000,0.000000000,0.011716038,0,27,0,0,27,632,0,0,0,0,1903952,1903952,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806286.952537000,0.000000000,0.366114080,0.000000000,0.000000000,0.018008053,0,39,0,0,39,900,0,0,0,0,1906448,1906448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806286.970646400,0.000000000,0.366114080,0.041801482,0.000000000,0.018008053,0,39,1,0,39,900,0,0,0,0,1906448,1906448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806286.986545999,0.000000000,0.473510474,0.041801482,0.000000000,0.022597611,0,52,1,0,52,1200,0,0,0,0,1909584,1909584,200,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806287.006263800,0.000000000,0.473510474,0.041801482,0.000000000,0.022597611,0,52,1,0,52,1200,0,0,0,0,1909584,1909584,200,200,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806287.021925699,0.000000000,0.530809164,0.041801482,0.000000000,0.025097281,0,58,1,0,58,1392,0,0,0,0,1912464,1912464,392,392,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806287.040390499,0.000000000,0.664208084,0.041801482,0.000000000,0.032287091,0,78,1,0,78,1800,0,0,0,0,1915664,1915664,600,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806287.057128500,0.000000000,0.664208084,0.041801482,0.000000000,0.032287091,0,78,1,0,78,1800,0,0,0,0,1915664,1915664,600,600,600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806287.075117800,0.000000000,0.759210438,0.083100051,0.000000000,0.037178397,0,91,2,0,91,2100,0,0,0,0,1918512,1918512,900,1000,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806287.092163499,0.000000000,0.759210438,0.083100051,0.000000000,0.037178397,0,91,2,0,91,2100,0,0,0,0,1918512,1918512,900,1000,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806287.110194098,0.000000000,0.846806914,0.083100051,0.000000000,0.041577965,0,104,2,0,104,2400,0,0,0,0,1921488,1921488,1200,1400,1000,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806287.127613701,0.000000000,0.846806914,0.083100051,0.000000000,0.041577965,0,104,2,0,104,2400,0,0,0,0,1921488,1921488,1200,1400,1000,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806287.143958598,0.000000000,0.941902399,0.083100051,0.000000000,0.046771020,0,117,2,0,117,2700,0,0,0,0,1924400,1924400,1500,1800,1200,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806287.160353001,0.000000000,0.941902399,0.132299960,0.000000000,0.046771020,0,117,3,0,117,2700,0,0,0,0,1924400,1924400,1500,1800,1200,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
