"Seconds","QpcSeconds","Role","Pid","CpuCoreEquivalents","WorkingSetMiB","PrivateMiB"
"0.0013931","29025.4674527","server","36792","0","5465.00390625","6243.19140625"
"0.0013931","29025.4674527","client1","5928","0","58.30859375","47.73828125"
"0.0013931","29025.4674527","client2","14908","0","58.66015625","48.69921875"
"1.0743467","29026.5380685","server","36792","0.16018866053480785","5465.078125","6243.06640625"
"1.0743467","29026.5380685","client1","5928","1.3980101283037776","574.50390625","555.58984375"
"1.0743467","29026.5380685","client2","14908","1.4416979448132707","579.31640625","552.47265625"
"2.1074785","29027.5711726","server","36792","0.12099133914956446","5465.203125","6243.06640625"
"2.1074785","29027.5711726","client1","5928","0.4537175218108667","713.90625","605.640625"
"2.1074785","29027.5711726","client2","14908","0.6805762827163001","617.359375","605.34765625"
"3.1301157","29028.5938178","server","36792","0.18334948112585775","5465.33984375","6243.06640625"
"3.1301157","29028.5938178","client1","5928","0.733397924503431","703.734375","623.625"
"3.1301157","29028.5938178","client2","14908","0.9473056524835983","624.70703125","616.4296875"
"4.1493762","29029.613073","server","36792","0.16862715664935513","5465.6015625","6242.9609375"
"4.1493762","29029.613073","client1","5928","0.9504439738418198","627.703125","644.3515625"
"4.1493762","29029.613073","client2","14908","0.6898383681109982","688.890625","698.31640625"
"5.1694044","29030.633108","server","36792","0.15318203947694778","5465.71875","6242.9609375"
"5.1694044","29030.633108","client1","5928","0.8884558289662972","820.41796875","905.90625"
"5.1694044","29030.633108","client2","14908","0.6433645658031807","989.62109375","971.5234375"
"6.2006643","29031.6643622","server","36792","0.10605958788856233","5465.84375","6242.9609375"
"6.2006643","29031.6643622","client1","5928","0.3484815030624191","962.08984375","1092.9609375"
"6.2006643","29031.6643622","client2","14908","0.3030273939673209","1085.3515625","1098.70703125"
"7.2216177","29032.6853118","server","36792","0.16834754651877354","5465.96875","6242.9609375"
"7.2216177","29032.6853118","client1","5928","0.03060864482159519","962.09375","1092.9609375"
"7.2216177","29032.6853118","client2","14908","0.015304322410797594","1085.3515625","1098.70703125"
"8.2534868","29033.7171986","server","36792","0.22713636836300263","5466.10546875","6242.9609375"
"8.2534868","29033.7171986","client1","5928","0","962.26953125","1092.9609375"
"8.2534868","29033.7171986","client2","14908","0.015142424557533509","1085.39453125","1098.73828125"
"9.2800371","29034.7437279","server","36792","0.10654616729448133","5466.3125","6242.9609375"
"9.2800371","29034.7437279","client1","5928","7.503894353739899","1074.3515625","1203.7578125"
"9.2800371","29034.7437279","client2","14908","0","1085.39453125","1098.73828125"
"10.3013099","29035.7650054","server","36792","0.18359443235930695","5466.4375","6242.9609375"
"10.3013099","29035.7650054","client1","5928","0.7802763375270545","1093.68359375","1234.7265625"
"10.3013099","29035.7650054","client2","14908","0","1085.3984375","1098.73828125"
"11.33077","29036.7944626","server","36792","0.22766788144581804","5466.6015625","6242.9609375"
"11.33077","29036.7944626","client1","5928","0.9410272433093813","1605.36328125","1891.5078125"
"11.33077","29036.7944626","client2","14908","0.03035571752610907","1085.40234375","1098.73828125"
"12.3595187","29037.8232105","server","36792","0.1670719000665566","5466.74609375","6242.9609375"
"12.3595187","29037.8232105","client1","5928","0.9264896276418139","1686.85546875","1979.109375"
"12.3595187","29037.8232105","client2","14908","0.015188354551505145","1085.40234375","1098.73828125"
"13.4042158","29038.867913","server","36792","0.19443434848244529","5466.875","6242.9609375"
"13.4042158","29038.867913","client1","5928","1.510605322825152","1823.625","2070.640625"
"13.4042158","29038.867913","client2","14908","0.014956488344803483","1085.40234375","1098.73828125"
"14.4342467","29039.8979433","server","36792","0.24271116526698372","5467","6242.9609375"
"14.4342467","29039.8979433","client1","5928","1.5472836785770212","2062.33984375","2298.171875"
"14.4342467","29039.8979433","client2","14908","0.13652503046267833","1115.4921875","1124.84765625"
"15.4643029","29040.9279959","server","36792","0.15169075240749","5467.12890625","6242.9609375"
"15.4643029","29040.9279959","client1","5928","3.7619306597057522","2443.5625","2725.15625"
"15.4643029","29040.9279959","client2","14908","7.660382996578245","1197.3671875","1207.6953125"
"16.4925213","29041.9562358","server","36792","0.24313900626559493","5467.203125","6242.9609375"
"16.4925213","29041.9562358","client1","5928","2.87207951151234","2536.3671875","2848.36328125"
"16.4925213","29041.9562358","client2","14908","1.0029484008455791","1658.38671875","1718.73046875"
"17.5195335","29042.9833122","server","36792","0.15214035432101003","5467.4140625","6242.9609375"
"17.5195335","29042.9833122","client1","5928","1.0193403739507672","2734.9140625","3048.36328125"
"17.5195335","29042.9833122","client2","14908","0.9889123030865652","1780.53515625","1939.8828125"
"18.5443602","29044.0080573","server","36792","0.18295776251731147","5467.98828125","6242.9609375"
"18.5443602","29044.0080573","client1","5928","0.18295776251731147","2751.38671875","3064.39453125"
"18.5443602","29044.0080573","client2","14908","1.661866342865579","1917.4140625","2062.140625"
"19.5721287","29045.0358258","server","36792","0.16723123933064693","5468.11328125","6242.9609375"
"19.5721287","29045.0358258","client1","5928","0.2888539588438447","2790.671875","3112.98828125"
"19.5721287","29045.0358258","client2","14908","1.6115010335498703","2191.26953125","2307.53515625"
"20.5947698","29046.0584659","server","36792","0.1375115864206905","5468.23828125","6242.9609375"
"20.5947698","29046.0584659","client1","5928","1.100092691365524","2838.06640625","3170.22265625"
"20.5947698","29046.0584659","client2","14908","4.415649830619951","2582.984375","2753.9140625"
"21.6105101","29047.074202","server","36792","0.18459442831991602","5468.36328125","6242.9609375"
"21.6105101","29047.074202","client1","5928","4.3225861964913666","4141.05078125","4563.7109375"
"21.6105101","29047.074202","client2","14908","2.676619210638782","2795.9296875","2984.4453125"
"22.6276531","29048.0913553","server","36792","0.1997015168958544","5468.50390625","6242.9609375"
"22.6276531","29048.0913553","client1","5928","1.1828474462292913","2905.88671875","3244.53515625"
"22.6276531","29048.0913553","client2","14908","1.2750173771043012","2928.359375","3133.98828125"
"23.6669548","29049.1306511","server","36792","0.2856485272755736","5468.69140625","6242.9609375"
"23.6669548","29049.1306511","client1","5928","2.13484688805955","3242.015625","3596.640625"
"23.6669548","29049.1306511","client2","14908","0.9922527789572556","2977.046875","3190.09765625"
"24.6866745","29050.1504369","server","36792","0.19919689695119158","5468.81640625","6242.9609375"
"24.6866745","29050.1504369","client1","5928","1.6855122049716211","3630.23828125","4187.58984375"
"24.6866745","29050.1504369","client2","14908","7.324316672513045","4331.421875","4808.41796875"
"25.7172034","29051.1809143","server","36792","0.16678328962923797","5468.94140625","6242.9609375"
"25.7172034","29051.1809143","client1","5928","1.2584557308387956","4400.4375","5379.42578125"
"25.7172034","29051.1809143","client2","14908","2.2136691168971585","3031.16796875","3256.63671875"
"26.7413616","29052.2050587","server","36792","0.18307718475524581","5469.04296875","6242.9609375"
"26.7413616","29052.2050587","client1","5928","1.006924516153852","4474.8984375","5435.53515625"
"26.7413616","29052.2050587","client2","14908","1.7697461193007096","3405.19921875","3659.9765625"
"27.778691","29053.2423879","server","36792","0.2560662023075794","5470.30859375","6242.9609375"
"27.778691","29053.2423879","client1","5928","3.765679445699698","4815.0078125","9119.95703125"
"27.778691","29053.2423879","client2","14908","1.7472752628046597","3627.6171875","3919.84375"
"28.8064277","29054.2701299","server","36792","0.27365958615664887","5470.57421875","6242.9609375"
"28.8064277","29054.2701299","client1","5928","4.986685792187824","5115.53125","9599.8671875"
"28.8064277","29054.2701299","client2","14908","1.1706548963367758","4390.72265625","5138.34765625"
"29.8304336","29055.2941474","server","36792","0.2288805171923326","5470.765625","6242.9609375"
"29.8304336","29055.2941474","client1","5928","4.714938654162052","4899.73046875","9344.20703125"
"29.8304336","29055.2941474","client2","14908","1.0681090802308855","4567.30078125","5411.98828125"
"30.8563673","29056.3200657","server","36792","0.31983060893701026","5470.9765625","6242.9609375"
"30.8563673","29056.3200657","client1","5928","5.498040467917177","4937.7265625","9367.19921875"
"30.8563673","29056.3200657","client2","14908","2.893705509430093","4885.6875","8030.7890625"
"31.892055","29057.3557486","server","36792","0.21121231815343564","5471.16796875","6242.9609375"
"31.892055","29057.3557486","client1","5928","5.461347083681693","4718.12109375","9144.30078125"
"31.892055","29057.3557486","client2","14908","5.6423862135274945","5300.21875","9719.32421875"
"32.9204107","29058.3841294","server","36792","0.34946565667890983","5471.35546875","6242.9609375"
"32.9204107","29058.3841294","client1","5928","4.740577603644342","4514.1328125","8937.9453125"
"32.9204107","29058.3841294","client2","14908","3.6162098386774146","5311.3828125","9789.6796875"
