monotonic_seconds,send_ms,receive_ms,ack_ms,capture_ms,wire_read_ms,send_calls,receive_calls,ack_calls,capture_calls,wire_read_calls,decoded_samples,decode_failures,absolute_samples,delta_samples,payload_bytes,cache_bytes,peak_cache_bytes,sample_gap_count,sample_gap_ticks,gap_1,gap_2,gap_3,gap_4,gap_5,gap_6,gap_7,gap_8,gap_9,gap_10,gap_11,gap_12,gap_13,gap_14,gap_15,gap_16,gap_17,gap_18,gap_19,gap_20,gap_21
16806286.824886601,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,0,4032576,4032576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806286.856633201,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0,0,0,0,0,0,0,0,0,0,4032576,4032576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806286.867917001,0.624902546,0.000000000,0.044800341,0.000000000,0.000000000,26,0,1,0,0,0,0,0,600,3262,4038464,4038464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806286.886217799,0.624902546,0.000000000,0.044800341,0.000000000,0.000000000,26,0,1,0,0,0,0,0,600,3262,4038464,4038464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806286.911682401,1.150898635,0.000000000,0.044800341,0.000000000,0.000000000,52,0,1,0,0,0,0,0,1200,6528,4044608,4044608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806286.923237000,1.944098622,0.000000000,0.097699463,0.571798533,0.000000000,78,0,2,1,0,0,0,0,1800,10014,4050432,4050432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806286.934088599,1.944098622,0.000000000,0.097699463,0.571798533,0.000000000,78,0,2,1,0,0,0,0,1800,10014,4050432,4050432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806286.954852499,1.944098622,0.000000000,0.097699463,0.571798533,0.000000000,78,0,2,1,0,0,0,0,1800,10014,4050432,4050432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806286.970108099,2.510797232,0.000000000,0.161800534,0.571798533,0.000000000,104,0,3,1,0,0,0,0,2400,13550,4056704,4056704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806286.987841100,2.510797232,0.000000000,0.161800534,0.571798533,0.000000000,104,0,3,1,0,0,0,0,2400,13550,4056704,4056704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806287.008846801,3.159102052,0.000000000,0.161800534,0.571798533,0.000000000,130,0,3,1,0,0,0,0,3000,17113,4062784,4062784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806287.022539299,3.842208534,0.000000000,0.219300389,0.868298113,0.000000000,156,0,4,2,0,0,0,0,3600,20667,4068864,4068864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806287.034420900,3.842208534,0.000000000,0.219300389,0.868298113,0.000000000,156,0,4,2,0,0,0,0,3600,20667,4068864,4068864,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806287.057127502,4.660904408,0.000000000,0.219300389,0.868298113,0.000000000,182,0,4,2,0,0,0,0,4200,24397,4074560,4074560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806287.070096102,4.660904408,0.000000000,0.278901309,0.868298113,0.000000000,182,0,5,2,0,0,0,0,4200,24397,4074560,4074560,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806287.089533702,5.401905626,0.000000000,0.278901309,0.868298113,0.000000000,208,0,5,2,0,0,0,0,4800,28063,4080512,4080512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806287.110561401,5.401905626,0.000000000,0.325202942,0.868298113,0.000000000,208,0,6,2,0,0,0,0,4800,28063,4080512,4080512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806287.124537300,5.996398628,0.000000000,0.325202942,1.284494996,0.000000000,234,0,6,3,0,0,0,0,5400,31957,4086336,4086336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806287.135964800,5.996398628,0.000000000,0.325202942,1.284494996,0.000000000,234,0,6,3,0,0,0,0,5400,31957,4086336,4086336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806287.157769300,5.996398628,0.000000000,0.358205289,1.284494996,0.000000000,234,0,7,3,0,0,0,0,5400,31957,4086336,4086336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806287.169640198,6.550408900,0.000000000,0.358205289,1.284494996,0.000000000,260,0,7,3,0,0,0,0,6000,35767,4091776,4091776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806287.188567702,6.550408900,0.000000000,0.358205289,1.284494996,0.000000000,260,0,7,3,0,0,0,0,6000,35767,4091776,4091776,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806287.210718200,7.082805037,0.000000000,0.404603779,1.284494996,0.000000000,286,0,8,3,0,0,0,0,6600,39647,4096832,4096832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806287.224498700,7.751803845,0.000000000,0.404603779,1.704096794,0.000000000,312,0,8,4,0,0,0,0,7200,43421,4102848,4102848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806287.236157998,7.751803845,0.000000000,0.404603779,1.704096794,0.000000000,312,0,8,4,0,0,0,0,7200,43421,4102848,4102848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806287.254918300,7.751803845,0.000000000,0.404603779,1.704096794,0.000000000,312,0,8,4,0,0,0,0,7200,43421,4102848,4102848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806287.270963501,8.329201490,0.000000000,0.450804830,1.704096794,0.000000000,338,0,9,4,0,0,0,0,7800,47237,4108608,4108608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806287.289390400,8.902691305,0.000000000,0.450804830,1.704096794,0.000000000,364,0,9,4,0,0,0,0,8400,51235,4113600,4113600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806287.310162399,8.902691305,0.000000000,0.507604331,1.704096794,0.000000000,364,0,10,4,0,0,0,0,8400,51235,4113600,4113600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806287.325124200,9.774684906,0.000000000,0.507604331,2.118695527,0.000000000,390,0,10,5,0,0,0,0,9000,55215,4119744,4119744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806287.337104801,9.774684906,0.000000000,0.507604331,2.118695527,0.000000000,390,0,10,5,0,0,0,0,9000,55215,4119744,4119744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806287.355535701,9.774684906,0.000000000,0.507604331,2.118695527,0.000000000,390,0,10,5,0,0,0,0,9000,55215,4119744,4119744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806287.370491799,10.417684913,0.000000000,0.555902719,2.118695527,0.000000000,416,0,11,5,0,0,0,0,9600,59285,4126080,4126080,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806287.388350200,10.986391455,0.000000000,0.555902719,2.118695527,0.000000000,442,0,11,5,0,0,0,0,10200,63295,4132032,4132032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16806287.412962198,10.986391455,0.000000000,0.602401793,2.118695527,0.000000000,442,0,12,5,0,0,0,0,10200,63295,4132032,4132032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
