layer_id,layer_key,cell_x,cell_y,world_center_x_cm,world_center_y_cm,density_u8,density_01
02d50e4b-4c1a-7a1f-ceb4-60ae0ddf0ace,BlueOre,33,18,83750,46250,17,0.066666666666666666
02d50e4b-4c1a-7a1f-ceb4-60ae0ddf0ace,BlueOre,34,18,86250,46250,84,0.32941176470588235
02d50e4b-4c1a-7a1f-ceb4-60ae0ddf0ace,BlueOre,35,18,88750,46250,120,0.47058823529411764
02d50e4b-4c1a-7a1f-ceb4-60ae0ddf0ace,BlueOre,36,18,91250,46250,120,0.47058823529411764
02d50e4b-4c1a-7a1f-ceb4-60ae0ddf0ace,BlueOre,37,18,93750,46250,76,0.29803921568627451
02d50e4b-4c1a-7a1f-ceb4-60ae0ddf0ace,BlueOre,38,18,96250,46250,4,0.015686274509803921
02d50e4b-4c1a-7a1f-ceb4-60ae0ddf0ace,BlueOre,32,19,81250,48750,6,0.023529411764705882
02d50e4b-4c1a-7a1f-ceb4-60ae0ddf0ace,BlueOre,33,19,83750,48750,110,0.43137254901960786
02d50e4b-4c1a-7a1f-ceb4-60ae0ddf0ace,BlueOre,34,19,86250,48750,196,0.76862745098039209
02d50e4b-4c1a-7a1f-ceb4-60ae0ddf0ace,BlueOre,35,19,88750,48750,248,0.97254901960784312
02d50e4b-4c1a-7a1f-ceb4-60ae0ddf0ace,BlueOre,36,19,91250,48750,244,0.95686274509803915
02d50e4b-4c1a-7a1f-ceb4-60ae0ddf0ace,BlueOre,37,19,93750,48750,184,0.72156862745098038
02d50e4b-4c1a-7a1f-ceb4-60ae0ddf0ace,BlueOre,38,19,96250,48750,92,0.36078431372549019
02d50e4b-4c1a-7a1f-ceb4-60ae0ddf0ace,BlueOre,40,19,101250,48750,10,0.039215686274509803
02d50e4b-4c1a-7a1f-ceb4-60ae0ddf0ace,BlueOre,41,19,103750,48750,22,0.086274509803921567
02d50e4b-4c1a-7a1f-ceb4-60ae0ddf0ace,BlueOre,42,19,106250,48750,2,0.0078431372549019607
02d50e4b-4c1a-7a1f-ceb4-60ae0ddf0ace,BlueOre,32,20,81250,51250,59,0.23137254901960785
